ep_reward_mean,policy_loss,serial_timesteps,fps,ep_len_mean,value_loss,explained_variance,n_updates,total_timesteps,approxkl,clipfrac,time_elapsed,policy_entropy
529.3950415,-0.005227487,2048,534,789.5,6.343785,0.974035631865263,1,2048,0.0041204137,0.041552734,2.384185791015625e-06,6.6317124
379.37653660000007,-0.0041215727,4096,564,644.4,12.568848,0.9535336345434189,2,4096,0.0028549954,0.03310547,3.834266424179077,6.628772
615.6893231666667,-0.0015055364,6144,519,878.5,19.679981,0.8841885328292847,3,6144,0.0034595176,0.035302736,7.463864326477051,6.6308374
784.2806145714286,-0.0008560012,8192,516,1045.7142857142858,20.19035,0.8914463669061661,4,8192,0.0025586043,0.029394532,11.404721736907959,6.6308517
848.4405865555556,-0.0041417493,10240,494,1115.3333333333333,28.279903,0.90057073533535,5,10240,0.004550957,0.034863282,15.373000144958496,6.64404
942.8680756,-0.0020937475,12288,521,1208.7,20.534842,0.8823860138654709,6,12288,0.003908869,0.04018555,19.51191759109497,6.6347933
881.9174848333333,-0.0006987121,14336,561,1175.4166666666667,17.94435,0.8214061409235001,7,14336,0.0020059524,0.016748047,23.43841552734375,6.624887
842.1870352857143,-0.002090767,16384,560,1159.4285714285713,18.81578,0.7277969419956207,8,16384,0.003959707,0.046289064,27.089289903640747,6.626092
908.5850184,-0.0015580386,18432,518,1218.7333333333333,20.238335,0.8696901351213455,9,18432,0.0027903172,0.023144532,30.74401307106018,6.6173906
966.4879639374999,-0.0004592762,20480,511,1270.625,20.147484,0.8717139661312103,10,20480,0.0013421731,0.012060547,34.69592833518982,6.6097054
1015.2431513529411,-0.004399553,22528,531,1316.4117647058824,20.25636,0.8741646409034729,11,22528,0.004345822,0.05102539,38.69782876968384,6.601804
980.7429493333334,-0.004211347,24576,536,1284.0,8.806322,0.9570800177752972,12,24576,0.0026189466,0.025830079,42.55153703689575,6.598839
1023.0477186315788,-0.0032277373,26624,512,1324.2631578947369,20.294842,0.8674872517585754,13,26624,0.0046834936,0.05698242,46.36933517456055,6.5982757
1063.6863018999998,-0.0015687337,28672,524,1360.5,20.10404,0.8853129372000694,14,28672,0.0029638535,0.028466797,50.3652024269104,6.5875716
1098.4983149523807,-0.0024493972,30720,528,1393.2857142857142,20.246544,0.8742829412221909,15,30720,0.0026272438,0.016259765,54.26756143569946,6.5821786
1055.0045635416666,-0.0014885243,32768,543,1344.2916666666667,30.695312,0.8953264504671097,16,32768,0.00074872415,0.005029297,58.14386963844299,6.5877333
1052.731454423077,-0.00035161542,34816,523,1337.2307692307693,25.088444,0.8953707292675972,17,34816,0.0025657394,0.024267578,61.912872076034546,6.600567
1023.357167962963,-0.0015608295,36864,534,1307.0740740740741,6.4945884,0.9743370153009892,18,36864,0.0016664555,0.017382812,65.82405495643616,6.616122
1022.723297862069,-0.0031119597,38912,540,1302.1724137931035,26.131144,0.9047302901744843,19,38912,0.0026184418,0.025683593,69.65856051445007,6.635656
1049.7390342,-0.0042977342,40960,526,1327.0666666666666,20.11796,0.8706156760454178,20,40960,0.0052079265,0.06777344,73.44534254074097,6.641668
1047.4048726250003,-0.0027360884,43008,526,1323.71875,23.329166,0.9211862534284592,21,43008,0.0029277054,0.031982422,77.33434319496155,6.6283417
1042.7771590000002,-0.0020920997,45056,522,1313.9411764705883,26.336231,0.907286249101162,22,45056,0.0029777722,0.031982422,81.22394800186157,6.626982
993.9417864054057,-0.003829556,47104,551,1272.4324324324325,19.69635,0.826908528804779,23,47104,0.0019471546,0.025146484,85.14511442184448,6.6329737
944.00839625,-0.0040160324,49152,566,1224.1,15.955194,0.8487404435873032,24,49152,0.002796105,0.031933594,88.86156415939331,6.6375303
924.6284838571429,-0.0022335784,51200,558,1211.952380952381,11.08286,0.8686364740133286,25,51200,0.0019163874,0.01821289,92.47623705863953,6.637254
943.9217219767442,-0.0049830186,53248,535,1231.4186046511627,21.657885,0.8847278505563736,26,53248,0.0050764857,0.061523438,96.15528512001038,6.629351
962.2953523863636,-0.00381937,55296,537,1250.0,19.893208,0.8798012882471085,27,55296,0.0038565355,0.043652344,99.97930383682251,6.6308136
944.6746223478259,-0.0017798819,57344,552,1239.108695652174,12.229899,0.8193043172359467,28,57344,0.0032805663,0.038427733,103.78809571266174,6.6426554
935.2927707659572,-0.0039444515,59392,529,1232.404255319149,4.371166,0.9809501152485609,29,59392,0.0036081225,0.034082033,107.49498724937439,6.6501875
938.4558180408163,-0.0033274498,61440,538,1233.8163265306123,23.580618,0.912281759083271,30,61440,0.0026415065,0.029003907,111.36337089538574,6.678004
955.46275528,-0.00065405265,63488,523,1250.12,20.25182,0.8834784179925919,31,63488,0.0013854407,0.009667968,115.1696457862854,6.6965714
963.7968043461539,-0.0032703676,65536,512,1260.0,30.427923,0.8601024150848389,32,65536,0.002884844,0.02993164,119.08035707473755,6.7050233
968.9844470566037,-0.0023480202,67584,550,1274.8867924528302,11.734591,0.7028350234031677,33,67584,0.004170202,0.046728514,123.07713532447815,6.729369
984.2263773518519,-0.00086549576,69632,519,1289.2222222222222,20.236195,0.8883938863873482,34,69632,0.002364988,0.020214844,126.79859566688538,6.737883
997.4233574,-0.0017713159,71680,533,1303.0363636363636,20.548695,0.8943619951605797,35,71680,0.002433782,0.023974609,130.74316096305847,6.7280526
959.2299298103449,-0.0017024695,73728,572,1262.7758620689656,14.831533,0.8421951830387115,36,73728,0.0012254235,0.010546875,134.58057308197021,6.719082
960.4908932500001,-0.004787555,75776,512,1262.9166666666667,27.567799,0.8688675761222839,37,75776,0.0030575541,0.034179688,138.15662717819214,6.7227874
929.8297625873017,-0.006303034,77824,583,1230.5873015873017,14.431631,0.8866173624992371,38,77824,0.0018982074,0.019921875,142.1550374031067,6.7320533
943.141671203125,-0.0036387383,79872,528,1243.375,20.1024,0.8861022293567657,39,79872,0.004750222,0.059472658,145.6673994064331,6.7322044
955.6001868923078,-0.0025054996,81920,526,1255.7692307692307,20.260874,0.8998879566788673,40,81920,0.002872544,0.03173828,149.54207229614258,6.7335052
946.2429971060607,-0.0072033973,83968,547,1247.1060606060605,6.2201605,0.9707792904227972,41,83968,0.0026570566,0.031298827,153.4307119846344,6.7341866
937.7130034782609,-0.0039005198,86016,571,1238.5072463768115,27.857874,0.873930960893631,42,86016,0.002575044,0.027001953,157.17541027069092,6.7508173
