total_timesteps,fps,clipfrac,approxkl,n_updates,policy_entropy,serial_timesteps,policy_loss,value_loss,explained_variance,time_elapsed,ep_len_mean,ep_reward_mean
157696,529,0.029736329,0.003097195,77,5.022119,157696,-0.0015921232,19.619205,0.9148384407162666,280.7881672382355,956.64,664.24824099
159744,545,0.022705078,0.0023720742,78,5.041979,159744,-0.005195825,27.681461,0.9332345351576805,284.6604986190796,970.68,678.2678196100001
161792,579,0.035205077,0.0033080962,79,5.055564,161792,-0.005168967,10.172161,0.968533456325531,288.41437697410583,959.37,666.9883150900001
163840,561,0.01694336,0.0017171145,80,5.0659533,163840,-0.002740006,20.019688,0.9370922222733498,291.9504108428955,974.25,681.1023574300001
165888,554,0.0668457,0.0053135986,81,5.0757413,165888,-0.005314882,20.089382,0.9115332141518593,295.5973196029663,992.19,696.65267649
167936,567,0.040527344,0.0036131889,82,5.0743513,167936,-0.008395589,15.656862,0.9394056089222431,299.29360580444336,1006.98,709.74209158
169984,557,0.05419922,0.0044912775,83,5.07044,169984,-0.0022856353,20.674303,0.8914164677262306,302.9044780731201,1022.62,723.9152071200001
172032,588,0.025732422,0.002499801,84,5.0675945,172032,-0.0034677226,10.918089,0.9412128068506718,306.58106303215027,1013.6,714.5232727399999
174080,568,0.06088867,0.005608144,85,5.0761476,174080,-0.0067037507,26.833704,0.889307789504528,310.0611665248871,999.01,700.1496592100001
176128,555,0.047949217,0.003892867,86,5.0905104,176128,-0.0038549155,24.938385,0.913831502199173,313.6630458831787,996.52,697.7645824400001
178176,555,0.06928711,0.0054623005,87,5.1081495,178176,-0.0029060123,20.557903,0.8868787586688995,317.35104393959045,1010.46,710.85039728
180224,555,0.040966798,0.0036271862,88,5.1179457,180224,-0.0034201783,20.204824,0.9039865508675575,321.03940415382385,1025.93,725.63279425
182272,567,0.03803711,0.0036439623,89,5.1156564,182272,-0.00566383,11.132788,0.9307000786066055,324.72865056991577,1018.49,717.1190902600001
184320,541,0.038671874,0.0036047753,90,5.1129065,184320,-0.0011064451,19.429058,0.8980652689933777,328.3367476463318,1018.49,715.2773389
186368,529,0.048095703,0.004009313,91,5.1195135,186368,-0.0020022516,19.412556,0.8900210559368134,332.11694622039795,1030.92,727.9475533499999
188416,585,0.025341798,0.002348925,92,5.1226993,188416,-0.0038270503,28.811169,0.8691335320472717,335.9856185913086,1030.63,727.58506539
190464,561,0.039990235,0.0042289933,93,5.1309347,190464,-0.0052269795,35.018864,0.8997960835695267,339.48728108406067,1046.51,741.3698984499999
192512,579,0.023388673,0.002327321,94,5.133563,192512,-0.001917307,11.378542,0.9573814123868942,343.136501789093,1051.94,743.87524749
194560,566,0.03330078,0.0026901697,95,5.126835,194560,-0.0029831496,29.364239,0.8901647105813026,346.6743199825287,1072.1,759.0926001500001
196608,550,0.014599609,0.0016313918,96,5.1251745,196608,-0.002010611,9.609549,0.9597295522689819,350.2883393764496,1076.99,761.8837257700001
198656,542,0.04008789,0.003442632,97,5.1156416,198656,-0.002605984,19.812992,0.89804907143116,354.0110011100769,1094.7,777.29809861
200704,546,0.044042967,0.0040281797,98,5.1076207,200704,-0.003328941,19.879103,0.9017307832837105,357.7870976924896,1110.24,792.4012387700001
202752,538,0.121679686,0.008796541,99,5.1060038,202752,-0.004630825,19.345577,0.8701167851686478,361.536470413208,1110.24,791.9873567200002
204800,557,0.043066405,0.0036561056,100,5.101428,204800,-0.0031261593,18.256744,0.8910912722349167,365.33976769447327,1125.79,807.1839292099999
206848,540,0.028222656,0.0026170174,101,5.098634,206848,-0.0032052018,19.751507,0.8852546438574791,369.01907420158386,1125.79,810.7253494900001
208896,533,0.038330078,0.0037164479,102,5.101373,208896,-0.0053110467,19.508923,0.8767296820878983,372.81008791923523,1125.79,815.2526233499999
210944,542,0.04272461,0.003825251,103,5.094424,210944,-0.002943424,19.687565,0.887299194931984,376.6519091129303,1125.79,820.7900172399999
212992,550,0.03227539,0.002965304,104,5.079259,212992,-0.0017636202,19.598415,0.8881928771734238,380.424925327301,1139.85,835.2306700799999
215040,553,0.039453126,0.0034653475,105,5.072068,215040,-0.0022772471,20.310116,0.890137679874897,384.1449191570282,1139.85,836.2437738599998
217088,570,0.019824218,0.0018730093,106,5.066633,217088,-0.0031253616,31.657635,0.8851269111037254,387.8470706939697,1127.45,827.3267985599999
219136,557,0.044140626,0.0035731886,107,5.063672,219136,-0.005112653,21.612766,0.8907635435461998,391.4365770816803,1145.23,843.65567485
221184,559,0.040527344,0.0035794869,108,5.051514,221184,-0.0029125144,20.869404,0.9037628918886185,395.10945653915405,1160.68,857.93748313
223232,560,0.031591795,0.0029451468,109,5.0510454,223232,-0.0015311751,19.65371,0.8983382806181908,398.7707598209381,1178.58,873.5659841899999
225280,536,0.05024414,0.0041264417,110,5.0573654,225280,-0.005251759,30.228153,0.9110319837927818,402.4231986999512,1177.21,873.2144106500001
