serial_timesteps,value_loss,ep_reward_mean,policy_loss,approxkl,ep_len_mean,total_timesteps,n_updates,time_elapsed,clipfrac,policy_entropy,fps,explained_variance
2048,5.377015,180.82135599999998,-0.0036644028,0.0039670337,879.0,2048,1,1.6689300537109375e-06,0.043359376,1.4168137,556,-0.2236020565032959
4096,6.4949465,120.31559757142857,-0.0033772152,0.002506657,558.1428571428571,4096,2,3.6796770095825195,0.026416015,1.4262526,593,-0.05363202095031738
6144,4.0829344,88.76922914285713,-0.002361394,0.002050286,424.2142857142857,6144,3,7.129250526428223,0.015673827,1.4413478,593,-0.0613476037979126
8192,3.6205318,75.62197770000002,-0.0009163794,0.0020775143,372.4,8192,4,10.581119537353516,0.014208985,1.4423528,593,0.07540947198867798
10240,3.6776035,70.48045189655171,-0.0029461104,0.0047794427,348.3448275862069,10240,5,14.033494710922241,0.05683594,1.4459774,597,0.17221713066101074
12288,2.91149,58.87023357142857,-0.0014087392,0.0016201055,292.23809523809524,12288,6,17.45973253250122,0.010107422,1.4563333,625,0.43389075994491577
14336,2.991342,54.096665346153856,-0.002618376,0.003207523,268.21153846153845,14336,7,20.73479127883911,0.03227539,1.4577878,597,0.5436982214450836
16384,2.8303623,52.74643685483873,-0.0070654945,0.005212845,261.16129032258067,16384,8,24.16480803489685,0.06430664,1.4556123,604,0.5924839377403259
18432,2.2465959,51.40568718055556,-0.0051990906,0.005125113,255.34722222222223,18432,9,27.5519540309906,0.065136716,1.4609567,605,0.7070752084255219
20480,1.8355324,50.77796258227848,-0.006685295,0.005831003,253.68354430379748,20480,10,30.937467336654663,0.07607422,1.4734112,593,0.8032618016004562
22528,2.1457047,51.98960513580247,-0.0008308946,0.0035265926,260.9259259259259,22528,11,34.38998079299927,0.03652344,1.4753083,621,0.6996095478534698
24576,2.2721634,55.58557507317073,-0.0031249872,0.004556287,282.7317073170732,24576,12,37.68532872200012,0.055029295,1.4802551,631,0.24652284383773804
26624,1.9151945,59.45040075903614,-0.0020154242,0.004090392,304.0120481927711,26624,13,40.92849683761597,0.040966798,1.4773028,613,0.5993351936340332
28672,1.6538794,62.8875010595238,-0.001952284,0.0042480566,324.7857142857143,28672,14,44.26922154426575,0.049121093,1.4717581,633,0.6339263617992401
30720,1.413449,66.19448737209302,-0.002752477,0.004766732,344.3837209302326,30720,15,47.500845432281494,0.05698242,1.4779055,638,0.7376363277435303
32768,1.3817165,68.14096605747126,-0.0074825995,0.0075256056,356.28735632183907,32768,16,50.70805883407593,0.09335937,1.4897286,617,0.8277993202209473
34816,1.2859266,71.38386014772728,-0.0013628689,0.0035593926,375.52272727272725,34816,17,54.02678728103638,0.038378906,1.4955842,629,0.6607667803764343
36864,1.2333773,74.85176162921348,-0.003368869,0.006150126,394.3258426966292,36864,18,57.28182625770569,0.07695313,1.4858999,597,0.6885775327682495
38912,1.1967626,78.29471812222222,-0.0012697517,0.0048504253,412.7111111111111,38912,19,60.7112832069397,0.061767578,1.488933,608,0.6101541221141815
40960,1.2309053,81.89102842857143,-0.0015154198,0.003375439,430.6923076923077,40960,20,64.07987308502197,0.035986327,1.4929504,614,0.4605218768119812
43008,1.4529406,85.60239792391305,-0.0011038133,0.0027267789,448.2826086956522,43008,21,67.41576051712036,0.025976563,1.4937817,608,0.37116074562072754
45056,1.3099592,89.43306906451612,-0.0039928546,0.004843249,465.494623655914,45056,22,70.7793824672699,0.058544923,1.4926724,613,0.5501869320869446
47104,1.2450489,93.02952935106381,0.00047841325,0.0028919757,482.3404255319149,47104,23,74.1189796924591,0.025097657,1.4745897,621,0.4299493432044983
49152,1.0079898,96.47547249473682,-0.0012688055,0.0041248472,498.8315789473684,49152,24,77.41649842262268,0.044628907,1.4559137,602,0.5622745156288147
51200,0.85356915,99.77952672916668,-0.0017527292,0.0041247075,514.9791666666666,51200,25,80.81426787376404,0.050683595,1.4604304,622,0.5889294445514679
53248,0.80270994,103.00272613402063,-0.004581157,0.005183083,530.7938144329897,53248,26,84.11342072486877,0.0640625,1.464708,630,0.5657625496387482
55296,0.792543,106.13974460204082,-0.0015296692,0.0043239305,546.2857142857143,55296,27,87.36396908760071,0.054589845,1.4743009,595,0.5820338129997253
57344,0.83286494,109.14782408080809,-0.00018507366,0.0021308013,561.4646464646464,57344,28,90.80075883865356,0.016552735,1.4769684,606,0.49241822957992554
59392,0.756894,112.23268737000002,-0.00085085846,0.004025419,576.34,59392,29,94.17757225036621,0.04609375,1.473933,619,0.5571366250514984
61440,0.7505541,114.10955979000002,-0.0021604854,0.0040909033,586.46,61440,30,97.48421573638916,0.04584961,1.480753,611,0.5712705254554749
63488,0.71939856,116.96144396000001,-0.00073595083,0.0028007978,599.74,63488,31,100.83550357818604,0.027148437,1.4802874,617,0.5625426769256592
65536,0.72725457,120.55294689,-0.002431906,0.004497295,617.27,65536,32,104.1502251625061,0.052197266,1.468324,613,0.5500517189502716
67584,0.7611729,124.21868166,-0.002736555,0.004196359,635.16,67584,33,107.48678207397461,0.04926758,1.4631399,614,0.6322058737277985
69632,0.83772147,125.55824472999998,-0.002528519,0.0040875482,644.4,69632,34,110.82156467437744,0.042773437,1.4558121,613,0.37598371505737305
71680,0.6971156,129.52712298999998,0.00016830643,0.0032773628,662.82,71680,35,114.16287732124329,0.034472656,1.4444432,596,0.5539965033531189
73728,0.7013076,133.25532158,-0.0006489284,0.0044955886,680.7,73728,36,117.59831690788269,0.047607422,1.431967,585,0.4938557744026184
75776,0.71531904,136.7835519,-0.0011279293,0.0043543573,697.27,75776,37,121.09709358215332,0.050439455,1.4203999,587,0.4013751745223999
77824,0.7590191,140.59885434999998,-0.0012378808,0.0048653088,714.86,77824,38,124.58121395111084,0.059033204,1.4214884,607,0.37746095657348633
79872,0.711897,144.41247235999995,-0.0023023346,0.006886644,731.86,79872,39,127.95095348358154,0.091992185,1.4257843,594,0.45763498544692993
81920,0.8683278,148.40539495999997,-0.0026718269,0.0051705427,749.41,81920,40,131.39388155937195,0.06572266,1.4211515,599,0.3517552614212036
83968,0.8993826,152.69132052999998,-0.0018288255,0.0040517105,767.54,83968,41,134.8097288608551,0.046582032,1.4251443,591,0.3169093728065491
86016,0.9476634,157.16760382,-0.0015009216,0.0047392016,786.26,86016,42,138.27030897140503,0.06020508,1.4324392,594,0.18705034255981445
88064,0.8897874,161.40125245,-0.00049737503,0.0029847084,803.81,88064,43,141.7163815498352,0.030859375,1.4384273,600,0.38172459602355957
90112,0.91866314,165.78373591,0.00020121927,0.0029730373,821.26,90112,44,145.12744426727295,0.029736329,1.4421062,586,0.19590294361114502
92160,0.89203084,170.24189572,0.00071382,0.0041568917,839.66,92160,45,148.6227924823761,0.047753908,1.4399964,588,0.30185675621032715
94208,0.8470875,174.55355404000002,-0.00028378272,0.0050900555,857.74,94208,46,152.1024158000946,0.06196289,1.4354641,569,0.38127487897872925
96256,0.93505704,178.89524950999999,-0.0025304689,0.006310092,875.58,96256,47,155.6989197731018,0.080078125,1.4333255,601,0.25328391790390015
98304,0.8405555,183.21194225,-0.00044019287,0.0044596065,893.7,98304,48,159.10586667060852,0.05356445,1.4398463,588,0.3298739790916443
100352,0.87703925,187.55400132000003,0.0010603082,0.0030779364,911.66,100352,49,162.5885956287384,0.03330078,1.4436924,598,0.3522225022315979
102400,0.9332492,190.94152762,-0.002967618,0.0066087754,924.25,102400,50,166.01175904273987,0.08115234,1.4433174,593,0.1407504677772522
104448,0.937743,195.35759505000001,-0.0018078372,0.0046969294,942.56,104448,51,169.46252822875977,0.057519533,1.4415088,594,0.28234297037124634
106496,1.0320122,199.88247377,-0.0010199666,0.0035661622,960.96,106496,52,172.91014623641968,0.039208986,1.4449813,602,0.20107418298721313
108544,1.0122952,204.31505569,0.00040795706,0.0043944092,979.08,108544,53,176.3126084804535,0.051953126,1.4408884,587,0.1793438196182251
