policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,ep_reward_mean,ep_len_mean,fps,total_timesteps,n_updates
5.1697006,2.384185791015625e-06,10.980848,0.003365976,0.031640626,0.9451140686869621,2048,-0.00038499964,161.396018,314.0,315,2048,1
5.1758623,6.487309455871582,20.764332,0.002579627,0.025146484,0.8938549906015396,4096,-0.0011575671,1012.8117844999999,1181.5,344,4096,2
5.177642,12.43016505241394,20.71082,0.002621851,0.023486327,0.8482965677976608,6144,-0.0012934748,1246.2825253333333,1470.6666666666667,334,6144,3
5.185578,18.544994354248047,20.885744,0.0069526224,0.08706055,0.8543246686458588,8192,-0.007865404,1386.57848425,1615.25,340,8192,4
5.1956215,24.55981755256653,27.956257,0.0031319552,0.034228515,0.8793921768665314,10240,-0.002146953,1260.0721624999999,1483.3333333333333,361,10240,5
5.20046,30.22385311126709,22.625595,0.0021629746,0.02265625,0.8968396708369255,12288,-0.0016898181,1237.1700216250001,1467.5,373,12288,6
5.201481,35.70212268829346,20.85469,0.0023797986,0.024316406,0.8387661427259445,14336,-0.0028248609,1286.1339462222224,1532.111111111111,336,14336,7
5.2071595,41.787433385849,14.560663,0.005532787,0.06743164,0.8312682658433914,16384,-0.006392222,1287.5798204000002,1583.8,362,16384,8
5.2067285,47.43223261833191,19.89487,0.0052834027,0.06323242,0.7837563753128052,18432,-0.0020554145,1342.4738253636367,1626.090909090909,342,18432,9
5.225277,53.41183376312256,20.068676,0.006256628,0.07050781,0.8445725589990616,20480,-0.005162319,1388.2778023333337,1661.3333333333333,342,20480,10
5.2460895,59.39674162864685,20.669544,0.0020961044,0.018701172,0.85428087413311,22528,-0.0011846384,1410.7537130000003,1691.1538461538462,332,22528,11
5.2472467,65.55750727653503,31.39513,0.0023255215,0.019482423,0.8529810756444931,24576,-0.0034828174,1356.2819676666668,1633.9333333333334,313,24576,12
5.2550664,72.09331703186035,9.760595,0.0029314961,0.036083985,0.9082228094339371,26624,-0.0049053268,1278.801616625,1550.375,373,26624,13
5.2523565,77.58411908149719,20.121794,0.0042648497,0.050927736,0.8428463190793991,28672,-0.0021538676,1288.6822491764706,1579.7058823529412,349,28672,14
5.253354,83.45081448554993,20.014215,0.0033018857,0.03769531,0.8585605919361115,30720,-0.0018930634,1314.6294882777777,1605.7777777777778,336,30720,15
5.2720327,89.53111791610718,32.47773,0.0024928418,0.027978515,0.879098691046238,32768,-0.0032018789,1232.374889095238,1513.7142857142858,383,32768,16
5.2830048,94.86873936653137,19.716047,0.004119334,0.04951172,0.8718134164810181,34816,-0.0040261312,1262.0380584545453,1538.0454545454545,354,34816,17
5.2775955,100.6537721157074,9.560534,0.0059090964,0.06728516,0.7352842390537262,36864,-0.003570636,1264.3037099565217,1560.2608695652175,385,36864,18
5.273844,105.96033954620361,21.061262,0.0025815452,0.028271485,0.7120328545570374,38912,-0.0025934237,1267.7908099583335,1580.625,381,38912,19
5.2767916,111.33345818519592,14.4260025,0.0028778212,0.029492188,0.8773791640996933,40960,-0.0003289471,1268.0622881600002,1599.36,373,40960,20
5.283712,116.81043314933777,19.138035,0.0046039512,0.051708985,0.8236944377422333,43008,-0.0033515512,1290.2205526923078,1616.6538461538462,340,43008,21
5.281176,122.82326889038086,19.443665,0.003319706,0.036816407,0.8826351091265678,45056,-0.0029511224,1310.5059235555557,1632.6666666666667,349,45056,22
5.289695,128.68699645996094,28.95692,0.0030412846,0.033496093,0.8689489513635635,47104,-0.0024643147,1287.514695310345,1608.5862068965516,351,47104,23
5.2992716,134.51847100257874,19.510286,0.0035447266,0.03793945,0.8709924668073654,49152,-0.002855029,1301.202257266667,1623.2666666666667,373,49152,24
5.3219867,139.99866795539856,20.189983,0.005169439,0.05444336,0.9228637889027596,51200,-0.005883082,1169.5419532647059,1478.4411764705883,362,51200,25
5.3405867,145.66599678993225,19.379787,0.0044943946,0.052441407,0.8758547008037567,53248,-0.0038117194,1186.3247582285715,1494.7428571428572,347,53248,26
5.3394437,151.55492639541626,26.766357,0.003317767,0.041796874,0.8774373456835747,55296,-0.004221595,1176.2592414324324,1490.2162162162163,368,55296,27
5.346216,157.11306071281433,4.7129626,0.0040933653,0.038720705,0.9761257097125053,57344,-0.006767304,1147.8740354210527,1457.7368421052631,371,57344,28
5.3578672,162.63324213027954,38.36677,0.0014253485,0.013916016,0.690037190914154,59392,-0.0020433473,1100.9148128809522,1412.5238095238096,393,59392,29
5.374946,167.8435091972351,19.45068,0.00547088,0.06943359,0.8679343312978745,61440,-0.0049870266,1116.466635372093,1427.3255813953488,346,61440,30
5.3828635,173.76113533973694,18.880428,0.0034677684,0.033935547,0.9445260390639305,63488,-0.0045025283,1030.8369419148935,1329.2340425531916,390,63488,31
5.3771253,179.0104193687439,35.74946,0.0012054722,0.007519531,0.8938505724072456,65536,-0.0014554542,1010.1724152800001,1301.96,350,65536,32
5.3689384,184.86126375198364,18.487663,0.0019367818,0.02055664,0.8638230860233307,67584,-0.002927016,957.9083850185187,1247.5,392,67584,33
5.3670692,190.07878947257996,19.525,0.006456948,0.08730469,0.8866210356354713,69632,-0.00416255,972.5504968363638,1262.0727272727272,340,69632,34
