approxkl,ep_len_mean,fps,n_updates,clipfrac,policy_loss,time_elapsed,value_loss,policy_entropy,total_timesteps,ep_reward_mean,explained_variance,serial_timesteps
0.0018795676,467.5,400,1,0.014892578,-0.00080995646,1.6689300537109375e-06,42.252552,1.4149339,2048,287.9411025,0.03886711597442627,2048
0.00076177024,994.6666666666666,407,2,0.0011230469,-0.00037125577,5.118154764175415,19.517076,1.408849,4096,437.122865,-0.016677379608154297,4096
0.0020482275,969.6666666666666,419,3,0.019189453,-0.0019277852,10.149118661880493,36.55145,1.4067606,6144,445.2236883333333,0.031344830989837646,6144
0.002624148,736.9090909090909,429,4,0.023828125,-0.0021504906,15.0292489528656,40.404644,1.413483,8192,358.20590336363637,0.0828249454498291,8192
0.003351751,628.8125,423,5,0.036865234,-0.00357803,19.797769784927368,42.809265,1.4253643,10240,317.1517986875,0.09681761264801025,10240
0.0017039587,603.3,448,6,0.011523438,-0.001193504,24.632253885269165,42.15935,1.4286548,12288,311.03857144999995,0.1413254737854004,12288
0.0030270494,570.48,441,7,0.034326173,-0.0026699465,29.202524423599243,36.384914,1.4340632,14336,297.71400411999997,0.1313115358352661,14336
0.0030863762,537.0333333333333,436,8,0.027929688,-0.0011274576,33.83976697921753,41.040855,1.4469377,16384,284.66970203333335,0.1948215365409851,16384
0.0032366316,537.3235294117648,449,9,0.0362793,-0.0018950982,38.53440308570862,35.604454,1.4559323,18432,286.2415074411765,0.23748838901519775,18432
0.0025702305,529.8947368421053,457,10,0.022216797,-0.0015453967,43.09290599822998,35.052876,1.4568698,20480,283.6182322368421,0.2868773341178894,20480
0.0022466984,543.925,456,11,0.020166015,-0.0017885003,47.573713541030884,21.54904,1.4525597,22528,286.01465365,0.3386498689651489,22528
0.0040828483,539.9777777777778,455,12,0.049609374,-0.0029126718,52.06243968009949,34.742023,1.463121,24576,285.7686856666667,0.48065197467803955,24576
0.002456473,525.36,444,13,0.02055664,-0.0011396634,56.561715841293335,30.036718,1.4690838,26624,278.93556846,0.5123004913330078,26624
0.0020363233,515.7272727272727,452,14,0.018847656,-0.0017404864,61.17262601852417,30.71203,1.4710594,28672,275.5091323090909,0.539266049861908,28672
0.003543791,502.2950819672131,441,15,0.039794922,-0.0041656373,65.6964521408081,29.635303,1.481046,30720,270.0095862786886,0.5873614847660065,30720
