ep_len_mean,fps,ep_reward_mean,explained_variance,approxkl,time_elapsed,value_loss,clipfrac,policy_entropy,serial_timesteps,policy_loss,n_updates,total_timesteps
453.0,285,90.68943033333333,0.16184604167938232,0.001745235,2.1457672119140625e-06,4.7355165,0.009863282,1.4045284,2048,-0.0014985672,1,2048
735.0,277,154.1136428,-0.09283733367919922,0.003809819,7.173096179962158,6.3690376,0.03984375,1.3991308,4096,-0.0029558847,2,4096
809.8333333333334,274,176.0723386666667,0.05805093050003052,0.0019736143,14.545015811920166,7.599144,0.013720703,1.4113847,6144,-0.0010935857,3,6144
739.9090909090909,275,163.12948345454546,-0.0385669469833374,0.0034105994,22.01584219932556,5.489232,0.025830079,1.410521,8192,-0.0012207492,4,8192
741.1538461538462,286,161.83993523076924,-0.0076923370361328125,0.0016050177,29.4420223236084,4.44318,0.008837891,1.3971949,10240,-0.0014407644,5,10240
662.3333333333334,279,141.6278396111111,0.05342888832092285,0.0039382773,36.57875442504883,3.6730456,0.047265626,1.3925462,12288,-0.0065364875,6,12288
735.3157894736842,296,158.44502515789472,0.06223231554031372,0.0041779806,43.90082383155823,5.0132527,0.040283203,1.3877916,14336,-0.003740875,7,14336
801.0,297,171.39517759999998,0.4374445676803589,0.0029695577,50.817840337753296,3.5334983,0.028710937,1.3869436,16384,-0.002998673,8,16384
860.4285714285714,264,185.2175485238095,0.04701125621795654,0.0032188469,57.70114779472351,4.7185025,0.029394532,1.3941293,18432,-0.0027172533,9,18432
914.4545454545455,247,200.83458318181818,-0.24848532676696777,0.004519283,65.45403265953064,6.2653513,0.047802735,1.3779747,20480,-0.004635623,10,20480
963.7826086956521,275,216.11451499999998,-0.5421591997146606,0.0034053233,73.72218132019043,6.528707,0.03413086,1.3703595,22528,-0.0023375237,11,22528
1009.0,282,229.5147668333333,-0.16703557968139648,0.0035171304,81.14872550964355,5.4862356,0.033251952,1.3674983,24576,-0.0027970483,12,24576
1050.6,278,242.55539828000002,-0.11395752429962158,0.0019340847,88.40004897117615,5.55848,0.012304688,1.3572346,26624,-0.0014600351,13,26624
1089.0,254,255.37073184615386,-0.28471267223358154,0.0020893763,95.75920486450195,6.13531,0.017724609,1.3638519,28672,-0.00066852255,14,28672
1124.5555555555557,258,267.50111840740743,-0.3945831060409546,0.001995437,103.80773544311523,5.691911,0.016601562,1.3678434,30720,-0.0015895817,15,30720
1157.5714285714287,277,278.75227885714287,-0.24843049049377441,0.004193133,111.72442436218262,5.532979,0.04824219,1.3782547,32768,-0.003053605,16,32768
1188.3103448275863,272,289.3158731724138,-0.07975172996520996,0.003241603,119.1038146018982,5.765691,0.028955078,1.3726132,34816,-0.0042870115,17,34816
1217.0,245,301.31164376666663,-0.012360930442810059,0.002228834,126.629230260849,6.6145096,0.017529298,1.3560004,36864,-0.0012801506,18,36864
1243.8387096774193,259,311.94352619354834,-0.029017925262451172,0.0029980603,134.9580135345459,6.3444858,0.029833984,1.3463069,38912,-0.002457305,19,38912
1269.0,270,320.013488875,-0.05851280689239502,0.0015812966,142.85477828979492,4.4117804,0.010449219,1.3394281,40960,-0.0015116038,20,40960
1292.6363636363637,251,331.3208834242424,-0.0073435306549072266,0.005124586,150.43061113357544,7.5343676,0.06708984,1.3433928,43008,-0.0029032484,21,43008
1314.8823529411766,261,342.235208382353,-0.03957176208496094,0.00396341,158.5632622241974,7.141938,0.046191406,1.350515,45056,-0.0035939526,22,45056
1335.857142857143,272,349.25328274285715,0.03394705057144165,0.004241893,166.39665579795837,4.0326796,0.04711914,1.3427424,47104,-0.0018074054,23,47104
1355.6666666666667,231,357.6049221666667,0.03606677055358887,0.001976384,173.90773010253906,5.5290823,0.01821289,1.3342073,49152,-4.7568583e-06,24,49152
1374.4054054054054,260,365.8671251891892,0.07008600234985352,0.0040041753,182.7410011291504,5.6339445,0.046142578,1.3337703,51200,-0.0026301013,25,51200
1392.157894736842,258,374.6839193947369,-0.010771751403808594,0.0036838786,190.62211060523987,6.2123556,0.039501954,1.3308882,53248,-0.000767514,26,53248
1409.0,244,383.5191288461539,-0.017250418663024902,0.0029143621,198.54177284240723,6.8430824,0.02866211,1.3191469,55296,-0.0013397408,27,55296
1425.0,262,392.78489415,0.10612380504608154,0.0036757968,206.9034833908081,7.547808,0.042675782,1.3124495,57344,-0.0011746392,28,57344
1440.219512195122,263,400.72449334146347,-0.07686209678649902,0.0028705047,214.6980917453766,5.8815513,0.02998047,1.3098524,59392,-0.00033466826,29,59392
1454.7142857142858,249,410.18570385714287,0.026152193546295166,0.0028209651,222.45654034614563,9.742961,0.02890625,1.3097035,61440,-0.00019453486,30,61440
1468.5348837209303,271,425.86308553488374,0.06479912996292114,0.0037713726,230.653089761734,22.325584,0.042382814,1.3225067,63488,-0.0023249467,31,63488
1481.7272727272727,256,436.2799740454546,-0.020742297172546387,0.003388609,238.20974445343018,10.584314,0.034814455,1.3256345,65536,-0.002573308,32,65536
1494.3333333333333,260,443.52429380000007,0.01983553171157837,0.0023481478,246.20046472549438,6.623988,0.023242187,1.3292301,67584,-0.0016950311,33,67584
1506.391304347826,248,450.27564686956526,-0.06721413135528564,0.0020674388,254.07735204696655,6.1642666,0.017138671,1.3271037,69632,-0.00042727488,34,69632
1517.936170212766,251,458.22625104255326,-0.003293752670288086,0.002809289,262.3084714412689,8.264649,0.02631836,1.3292654,71680,-0.0016101596,35,71680
1529.0,260,462.9612319374999,6.175041198730469e-05,0.0046183723,270.44859504699707,4.0062346,0.055908203,1.3533013,73728,-0.0022387875,36,73728
