policy_entropy,fps,approxkl,explained_variance,n_updates,serial_timesteps,total_timesteps,policy_loss,value_loss,time_elapsed,clipfrac,ep_reward_mean,ep_len_mean
7.1421022,397,0.0031501811,0.7965088486671448,1,2048,2048,-0.002954252,0.007630896,2.384185791015625e-06,0.02841797,,
7.1116056,412,0.0017347677,0.016143858432769775,2,4096,4096,-0.0043573347,2.330214,5.150269031524658,0.013769532,2023.584476,2049.0
7.087941,411,0.0052509145,0.002386152744293213,3,6144,6144,-0.0065999264,4.38655,10.116316318511963,0.06542969,2023.143873,2049.0
7.057149,411,0.0076250485,0.0023801326751708984,4,8192,8192,-0.0074226544,6.210081,15.094168901443481,0.091113284,2023.9217046666665,2049.0
7.019101,399,0.006105402,-0.0009783506393432617,5,10240,10240,-0.0072421758,7.8262124,20.071502923965454,0.07441406,2024.05050225,2049.0
6.985649,419,0.0038083368,0.003152787685394287,6,12288,12288,-0.0029680561,9.2750225,25.201290607452393,0.03725586,2024.8931774,2049.0
6.9589567,412,0.008388835,0.004278123378753662,7,14336,14336,-0.007217805,10.51498,30.08255124092102,0.1184082,2026.286378,2049.0
6.947046,409,0.0051235748,0.004136145114898682,8,16384,16384,-0.0040170727,11.70101,35.048712730407715,0.06342773,2027.7216690000002,2049.0
6.9317093,409,0.0040926505,0.007816910743713379,9,18432,18432,-0.004374421,12.683814,40.046855449676514,0.046289064,2029.0259975000001,2049.0
6.9186873,402,0.007440307,0.011752605438232422,10,20480,20480,-0.005889525,13.526878,45.04763960838318,0.10410156,2030.2215438888888,2049.0
6.910823,416,0.007157148,0.011573970317840576,11,22528,22528,-0.005522008,14.334631,50.13330912590027,0.09394531,2031.4096806999999,2049.0
6.892006,386,0.0064007146,0.0045771002769470215,12,24576,24576,-0.0032344486,15.132696,55.052001953125,0.08515625,2032.5893456363635,2049.0
6.8687606,415,0.0033132962,0.0005091428756713867,13,26624,26624,-0.0017623905,15.852608,60.350988149642944,0.03701172,2033.6048709166664,2049.0
6.8555984,389,0.0013870656,0.6879510283470154,14,28672,28672,-0.0012994374,30.944458,65.28394746780396,0.010546875,1768.2189197333332,1780.9333333333334
6.8496275,409,0.001940826,-0.01706087589263916,15,30720,30720,-0.00025984668,20.461292,70.5367431640625,0.020214844,1785.4544250625,1797.6875
6.8521132,425,0.0034140474,0.014825999736785889,16,32768,32768,-0.0018541673,20.178339,75.54079246520996,0.039208986,1800.486417235294,1812.4705882352941
6.8610854,410,0.0049900115,-0.009430408477783203,17,34816,34816,-0.002597274,20.42356,80.35132956504822,0.06660156,1814.1500518888888,1825.611111111111
6.8715515,396,0.0012112434,0.5243592858314514,18,36864,36864,-0.0017400936,27.288876,85.33619976043701,0.008203125,1736.9488262999998,1747.65
6.8762527,411,0.0037436031,-0.0053369998931884766,19,38912,38912,-0.002253488,20.357616,90.4997148513794,0.049804688,1751.6497226190477,1762.0
6.8803434,415,0.0020978246,-0.0005058050155639648,20,40960,40960,-0.002607099,20.242142,95.48105382919312,0.023925781,1764.9089575909093,1775.0454545454545
6.8871994,392,0.0011959652,0.5239712595939636,21,43008,43008,-0.00061238784,26.46322,100.40554690361023,0.009521484,1704.2690515833335,1713.9166666666667
6.8962045,383,0.0013841942,-0.005868077278137207,22,45056,45056,-0.0010815357,20.138578,105.62583923339844,0.014111328,1717.79895892,1727.32
6.9002976,381,0.0018573441,0.5488214194774628,23,47104,47104,-0.002552968,25.268312,110.96471285820007,0.019433593,1667.2312745555555,1676.3333333333333
6.9148493,395,0.0017293682,-0.006547331809997559,24,49152,49152,-0.00012320155,20.212708,116.33300471305847,0.018847656,1680.6473872857143,1689.642857142857
6.9172273,409,0.0013362542,0.012619316577911377,25,51200,51200,5.1349984e-06,19.96112,121.50589418411255,0.012060547,1693.0668408965519,1702.0344827586207
6.919828,386,0.002312711,-0.005969405174255371,26,53248,53248,-0.00076394976,20.14328,126.52140736579895,0.02734375,1704.7055976333334,1713.6
6.9271975,426,0.0020944495,0.010239362716674805,27,55296,55296,-0.00060245895,19.963066,131.8275921344757,0.02368164,1715.505628483871,1724.4193548387098
6.933139,404,0.0044170083,-0.00248110294342041,28,57344,57344,-0.0022399132,20.235882,136.63509130477905,0.058984376,1725.8087519375,1734.5625
6.936001,407,0.00070189603,0.6351649165153503,29,59392,59392,-0.00043788188,24.90907,141.70384430885315,0.003125,1685.8698631176467,1694.2941176470588
6.951285,391,0.0009142627,0.6246035695075989,30,61440,61440,-0.000374434,24.390842,146.7299497127533,0.006298828,1650.1016810555552,1658.25
6.9761877,381,0.0013418356,0.7375817000865936,31,63488,63488,-0.0032642577,30.632374,151.95500540733337,0.012890625,1578.1171451025639,1585.923076923077
6.999234,423,0.0009499021,-0.005087018013000488,32,65536,65536,-0.00032375348,20.1162,157.33062863349915,0.008007812,1589.7511565,1597.5
7.0189004,395,0.0008739705,-0.003401517868041992,33,67584,67584,0.0005801546,20.066704,162.16838836669922,0.0069335937,1600.7717571219514,1608.5121951219512
7.0221505,393,0.003969894,-0.0014644861221313477,34,69632,69632,-0.0015047981,20.11868,167.34286832809448,0.057373047,1611.3049634523811,1619.0
7.0157866,381,0.0013700651,-0.0003083944320678711,35,71680,71680,-0.00031001904,20.01326,172.54250645637512,0.013623047,1621.350139023256,1629.0
7.0137367,387,0.0004974249,0.6496194005012512,36,73728,73728,-0.0009781211,24.225037,177.9164958000183,0.0034179688,1596.0180130666668,1603.4888888888888
