fps,serial_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,value_loss,time_elapsed,ep_len_mean,ep_reward_mean
397,2048,3.3035235,0.04111328,0.9831498544663191,0.004020477,1,-0.0070690713,2048,0.7211731,1.9073486328125e-06,,
439,4096,3.293504,0.027832031,0.8629908710718155,0.0024734247,2,-0.00093971443,4096,13.01508,5.159268379211426,1209.6666666666667,704.6833583333333
463,6144,3.3011692,0.015283203,0.7752242088317871,0.0017793551,3,-0.002518359,6144,14.703123,9.815547227859497,1206.8,688.7247348
450,8192,3.2999578,0.035302736,0.9390637837350368,0.0030271425,4,-0.0042707263,8192,4.034966,14.232961893081665,1067.8333333333333,603.9428125000001
450,10240,3.2991328,0.041992188,0.8587463945150375,0.0035210117,5,-0.0022533198,10240,8.919354,18.778199434280396,1208.0,683.7931090000001
467,12288,3.3019059,0.03261719,0.8301089853048325,0.0029527524,6,-0.002882398,12288,11.744974,23.32437300682068,1238.111111111111,713.8456116666666
457,14336,3.3081906,0.03793945,0.8256191909313202,0.003511592,7,-0.003390602,14336,16.520725,27.703031301498413,1171.4166666666667,684.730705
202,16384,3.3068404,0.046044923,0.9303879141807556,0.0040445747,8,-0.003773699,16384,12.592865,32.18114185333252,1101.2857142857142,632.0396199285714
216,18432,3.2953422,0.05703125,0.9662680812180042,0.0047756857,9,-0.0056521026,18432,5.80096,42.30381417274475,1164.4666666666667,614.6850295333332
169,20480,3.2933545,0.055761717,0.9432768002152443,0.0051353797,10,-0.005451119,20480,11.0725765,51.75490999221802,1219.75,660.8235676875
196,22528,3.294394,0.05883789,0.9785971119999886,0.004724073,11,-0.0063261585,22528,3.5215447,63.82618689537048,1268.5294117647059,644.9267810588235
146,24576,3.3080056,0.13066407,0.9328803196549416,0.009596854,12,-0.006531718,24576,7.4403954,74.25921678543091,1266.388888888889,648.7129984444445
138,26624,3.3087196,0.11010742,-0.07628107070922852,0.007995604,13,-0.0038455552,26624,5.034425,88.22084736824036,1307.578947368421,634.7376294210526
351,28672,3.3068016,0.021875,0.889350101351738,0.002033393,14,-0.0033979001,28672,12.844446,103.0481116771698,1362.095238095238,636.4770655238095
