approxkl,value_loss,policy_entropy,clipfrac,ep_reward_mean,time_elapsed,n_updates,total_timesteps,explained_variance,serial_timesteps,policy_loss,ep_len_mean,fps
0.0027171546,4.802995,1.4121708,0.023876954,107.498025,2.86102294921875e-06,1,2048,-0.32371699810028076,2048,-0.0024937768,565.6666666666666,536
0.0008616114,5.5480156,1.4023771,0.002783203,117.1969284,3.8214848041534424,2,4096,-0.1413280963897705,4096,-0.00083561486,599.6,626
0.0043245414,4.71188,1.3999387,0.044189453,129.67448885714285,7.093889236450195,3,6144,0.04826974868774414,6144,-0.004282976,647.2857142857143,629
0.003521897,3.4084096,1.4081196,0.03701172,111.00357221428574,10.347223997116089,4,8192,0.22687280178070068,8192,-0.004153462,562.2857142857143,596
0.0063867173,3.9411025,1.4026109,0.078125,113.75051762499999,13.780193567276001,5,10240,0.14544284343719482,10240,-0.005569736,577.125,617
0.002962312,3.9583328,1.3917105,0.029492188,126.50965305263158,17.096921682357788,6,12288,0.20772278308868408,12288,-0.0024961024,643.0526315789474,602
0.003239372,3.4789543,1.3942173,0.038085938,123.00833338095237,20.495614051818848,7,14336,0.44270265102386475,14336,-0.005006126,627.4285714285714,607
0.0019324453,3.2710922,1.3975837,0.01508789,136.19821154545454,23.868857383728027,8,16384,0.4607618451118469,16384,-0.00066891266,692.0454545454545,634
0.0026492795,3.6203187,1.393602,0.025927734,144.173038625,27.09947395324707,9,18432,0.22252994775772095,18432,-0.0042642066,734.125,629
0.0033589364,3.9552097,1.389884,0.034326173,156.3032024,30.354173183441162,10,20480,0.12650686502456665,20480,-0.0029476425,786.72,640
0.001740528,3.5900588,1.388027,0.011230469,166.95863834615386,33.550846338272095,11,22528,0.13164198398590088,22528,-0.0007720647,835.2692307692307,608
0.0027556068,3.8003776,1.3864163,0.020068359,177.21391125925928,36.91475510597229,12,24576,-0.14512717723846436,24576,-0.0013851487,880.2222222222222,599
0.0016854638,3.2132308,1.3879758,0.014111328,186.97374617857145,40.3297324180603,13,26624,0.14907550811767578,26624,-0.0011122331,921.9642857142857,619
0.0037939835,3.5540066,1.3960876,0.04248047,196.2765006551724,43.63670253753662,14,28672,-0.17052090167999268,28672,-0.0025205754,960.8275862068965,577
0.002866544,3.044991,1.4051921,0.031152343,205.30070056666668,47.182146072387695,15,30720,-0.07939708232879639,30720,-0.0018727761,997.1,620
0.0037369796,2.7829428,1.4088881,0.04033203,213.33023793548386,50.4827356338501,16,32768,0.0363425612449646,32768,-0.0020471043,1031.032258064516,596
0.0019944753,2.626313,1.4182681,0.01875,220.71222303125,53.915709257125854,17,34816,0.014310717582702637,34816,-0.0011186731,1062.84375,614
0.002375618,2.334281,1.4275815,0.021435548,227.16254436363636,57.2489287853241,18,36864,-0.09482276439666748,36864,-0.00077978976,1092.7272727272727,555
0.0040642237,2.4418766,1.4252495,0.046972655,233.90107605882355,60.93505263328552,19,38912,-0.12711834907531738,38912,-0.005113175,1120.8529411764705,602
0.0036279843,2.380666,1.4356357,0.038232423,239.7576364857143,64.33569478988647,20,40960,-0.2479010820388794,40960,-0.002667985,1147.3714285714286,574
0.0017089797,2.247852,1.4437535,0.01171875,245.82237008333337,67.89846348762512,21,43008,-0.09706282615661621,43008,0.00034513208,1172.4166666666667,621
0.0028845633,2.177063,1.4515413,0.028027344,251.4112307837838,71.19400143623352,22,45056,-0.02839958667755127,45056,-0.0007915726,1196.1081081081081,604
0.0034793213,2.176474,1.467111,0.041552734,257.01319084210525,74.58140659332275,23,47104,-0.06593513488769531,47104,-0.0042331493,1218.5526315789473,577
0.00206408,2.2438965,1.4707128,0.018310547,262.4734522307693,78.1275999546051,24,49152,-0.2918127775192261,49152,0.00018833802,1239.8461538461538,594
0.0031067007,1.8715534,1.475908,0.03227539,267.5520323,81.57138514518738,25,51200,0.04552048444747925,51200,-0.0022958645,1260.075,594
0.0027923277,1.8920343,1.4694754,0.022509765,272.2769091463415,85.03161072731018,26,53248,-0.16715240478515625,53248,-0.001220792,1279.3170731707316,589
0.005692612,1.7656091,1.4575028,0.06533203,276.8935186666667,88.50888729095459,27,55296,0.1317102313041687,55296,-0.005060896,1297.642857142857,636
0.0031864014,1.7965342,1.4560338,0.03276367,281.494624883721,91.72863435745239,28,57344,-0.05723559856414795,57344,-0.0018602846,1315.1162790697674,535
0.003061054,1.7267244,1.4605969,0.031835936,286.11351111363643,95.55723929405212,29,59392,-0.1590808629989624,59392,-0.0013038618,1331.7954545454545,586
0.0039067785,1.6652788,1.4619601,0.04345703,290.46936088888896,99.04761171340942,30,61440,0.07986587285995483,61440,-0.002534709,1347.7333333333333,629
0.0041374904,1.8733046,1.4533902,0.043066405,295.0762897173913,102.30146408081055,31,63488,0.1339361071586609,63488,-0.0034509283,1362.9782608695652,615
0.006218331,1.9545162,1.4485103,0.083300784,299.8521565531915,105.63157033920288,32,65536,0.007658660411834717,65536,-0.0061411466,1377.5744680851064,642
0.004353615,1.9790022,1.4465535,0.050732423,304.4932862291667,108.81873774528503,33,67584,0.02650398015975952,67584,-0.0017095081,1391.5625,626
