policy_entropy,time_elapsed,value_loss,approxkl,clipfrac,explained_variance,serial_timesteps,policy_loss,fps,total_timesteps,n_updates,ep_reward_mean,ep_len_mean
3.5368462,3.0994415283203125e-06,0.83993304,0.0037914366,0.044287108,0.9795894622802734,2048,-0.0052589467,427,2048,1,,
3.530785,4.793365001678467,3.072864,0.0054389746,0.06689453,0.9626068994402885,4096,-0.009619227,433,4096,2,1430.831046,2049.0
3.524732,9.517647504806519,11.954963,0.0025371914,0.022900391,0.8624293208122253,6144,-0.0033846677,450,6144,3,1418.8912843333335,1960.0
3.523049,14.061856031417847,10.008832,0.0031718756,0.031542968,0.8759130090475082,8192,-0.006376131,449,8192,4,1089.3081484,1556.4
3.5182037,18.621612310409546,5.0084395,0.0032311785,0.035351563,0.9264185428619385,10240,-0.0049392628,437,10240,5,1077.4229598333334,1542.5
3.517793,23.30146050453186,10.566301,0.0083570415,0.103271484,0.6274704337120056,12288,-0.008938281,435,12288,6,1100.5610081428572,1614.857142857143
3.5411556,28.006210565567017,8.006662,0.003081304,0.03461914,0.8943801149725914,14336,-0.0044460394,459,14336,7,1012.6946093333333,1514.111111111111
3.5790966,32.46553325653076,22.315298,0.0033557988,0.040966798,0.7804078161716461,16384,-0.0039696326,428,16384,8,899.8360565000002,1351.25
3.607327,37.24009084701538,3.4933586,0.002948619,0.029443359,0.9666764847934246,18432,-0.0026948317,392,18432,9,923.9806825384616,1375.1538461538462
3.6107724,42.452837228775024,7.9999948,0.0031804573,0.030664062,0.9104542210698128,20480,-0.0041204216,412,20480,10,888.1162709333333,1331.2
3.6017635,47.41795873641968,8.480642,0.0018199878,0.015332031,0.813052237033844,22528,-0.0038218931,416,22528,11,906.9597110625,1365.25
3.6043758,52.33403134346008,13.973013,0.0022584707,0.02421875,0.788492739200592,24576,-0.0033977584,399,24576,12,900.1024104444446,1361.3333333333333
3.6059258,57.45644998550415,8.618723,0.003620296,0.037744142,0.8811129108071327,26624,-0.0043145004,410,26624,13,868.9819257368422,1317.9473684210527
3.601298,62.44466543197632,15.520607,0.0049965237,0.053955078,0.7909851372241974,28672,-0.0031223036,384,28672,14,900.28545565,1354.5
3.5875669,67.77364349365234,12.902097,0.0042503793,0.046435546,0.8522009700536728,30720,-0.0037519415,423,30720,15,922.1334440454547,1378.0454545454545
3.5838718,72.61266350746155,4.709565,0.0042857532,0.048535157,0.9515854641795158,32768,-0.005282647,430,32768,16,930.3007090000001,1390.2608695652175
3.5872536,77.37009072303772,10.667314,0.0018461415,0.017822266,0.9079904109239578,34816,-0.003216707,471,34816,17,890.7503870769231,1334.8846153846155
3.5915973,81.71773719787598,4.517107,0.0034919172,0.041650392,0.9216382130980492,36864,-0.005829625,505,36864,18,869.6280783333333,1307.7407407407406
3.5934207,85.76885175704956,16.308142,0.004208179,0.037646484,0.4646930694580078,38912,-0.003130934,446,38912,19,885.9167679999999,1334.2142857142858
3.6045158,90.35884237289429,16.830801,0.00351105,0.043798827,0.5663067102432251,40960,-0.002778333,462,40960,20,902.0271251034482,1358.8620689655172
3.6040661,94.78573060035706,16.071613,0.0035378833,0.039453126,0.7712746411561966,43008,-0.004220056,481,43008,21,914.7859200333332,1381.8666666666666
3.5913615,99.03715991973877,14.034943,0.0039666994,0.042578124,0.5408093631267548,45056,-0.002514915,500,45056,22,931.9571707096773,1403.3870967741937
3.5932899,103.13324999809265,12.022359,0.007438074,0.092285156,0.5741249620914459,47104,-0.0035420519,469,47104,23,944.3697061875,1423.5625
3.589985,107.49269986152649,11.432105,0.0042676856,0.045654297,0.5725666582584381,49152,-0.0037159459,483,49152,24,955.262049090909,1442.5151515151515
3.5748677,111.73094272613525,11.793556,0.005080115,0.058154296,0.8521831184625626,51200,-0.0049846056,460,51200,25,966.8129234117647,1460.3529411764705
3.564738,116.1905243396759,10.707642,0.0028256695,0.027636718,0.8198553919792175,53248,-0.0028867782,465,53248,26,978.7024172571428,1477.1714285714286
3.559219,120.5880184173584,12.688918,0.0025576255,0.028271485,0.7851559072732925,55296,-0.0034693412,481,55296,27,992.4030844166666,1493.0555555555557
3.55326,124.84370112419128,9.760745,0.0041954615,0.04506836,0.7317672371864319,57344,-0.004082097,475,57344,28,1002.2630453783784,1508.081081081081
3.5408878,129.14832091331482,16.295937,0.0059011956,0.07304688,0.8063596189022064,59392,-0.008319352,475,59392,29,1012.6780571578948,1522.3157894736842
3.5438666,133.45982933044434,6.746703,0.004500329,0.050732423,0.7938700914382935,61440,-0.0034504894,471,61440,30,1021.8594286923078,1530.871794871795
3.5475006,137.80687403678894,13.362066,0.00416596,0.05205078,0.7894466072320938,63488,-0.003377291,466,63488,31,1029.116360575,1543.825
3.5525029,142.20054030418396,10.910326,0.0045913714,0.052099608,0.7303903102874756,65536,-0.007535869,480,65536,32,1037.5421103658537,1556.1463414634147
3.574262,146.46322679519653,11.679285,0.006150056,0.068798825,0.6492812931537628,67584,-0.003882828,482,67584,33,1041.8088207857143,1567.8809523809523
3.590959,150.7126181125641,12.684362,0.0028011668,0.030566406,0.7308967709541321,69632,-0.0031032816,470,69632,34,1048.806531116279,1579.0697674418604
3.5882854,155.06605005264282,12.169126,0.0028767565,0.026855469,0.8013587892055511,71680,-0.0019329272,455,71680,35,1058.3291502045454,1589.75
3.581873,159.56230807304382,10.592329,0.004286995,0.050976563,0.8500879257917404,73728,-0.005006168,452,73728,36,1067.9864752444444,1599.9555555555555
3.584067,164.09285378456116,13.241083,0.0040629283,0.047851562,0.437114953994751,75776,-0.0032312502,405,75776,37,1077.2134239565216,1609.7173913043478
3.5884519,169.1482605934143,14.288656,0.004567476,0.052978516,0.7560466527938843,77824,-0.003844921,428,77824,38,1083.6827201458334,1621.1875
3.588562,173.9321608543396,8.897546,0.0044536362,0.053271484,0.9377339407801628,79872,-0.004326771,415,79872,39,1066.85211126,1595.8
3.5955093,178.86198091506958,3.9339309,0.0043173144,0.048535157,0.9068985879421234,81920,-0.0049731378,433,81920,40,1054.2935552745098,1579.137254901961
3.5974903,183.58966302871704,10.619082,0.004146577,0.049121093,0.7966246455907822,83968,-0.0043799197,409,83968,41,1059.37223,1588.173076923077
3.6068184,188.58723998069763,15.0903,0.004574764,0.050048828,0.8820950090885162,86016,-0.0041416967,385,86016,42,1067.0839142592592,1592.037037037037
3.6028411,193.9016833305359,6.5945067,0.004793964,0.050830077,0.9042648673057556,88064,-0.006385068,414,88064,43,1058.4487147636364,1580.6363636363637
3.5933805,198.84647846221924,9.745616,0.004003673,0.045898438,0.9191421493887901,90112,-0.0063097603,419,90112,44,1030.518210137931,1541.103448275862
3.5956924,203.72890305519104,11.966016,0.004174623,0.049804688,0.8237170279026031,92160,-0.003012955,422,92160,45,1025.21751275,1535.1333333333334
3.5963104,208.5787479877472,4.9703407,0.0041558584,0.046777345,0.9495959170162678,94208,-0.005811552,427,94208,46,1013.8780527540983,1519.655737704918
3.6063066,213.3740358352661,10.2283,0.006473691,0.07124023,0.8432101160287857,96256,-0.0033672242,438,96256,47,1019.8733371774193,1528.1935483870968
3.609092,218.04187893867493,18.690609,0.0035431471,0.04018555,0.8410229533910751,98304,-0.0030859222,419,98304,48,996.5361498923077,1497.3384615384616
3.6076913,222.9259307384491,13.150009,0.0040079122,0.04868164,0.8593029975891113,100352,-0.00589985,419,100352,49,995.4765495820895,1494.0597014925372
3.6109843,227.8042755126953,5.8662615,0.0029711016,0.034375,0.8663951009511948,102400,-0.0045775673,412,102400,50,995.4510792794118,1493.6176470588234
3.619821,232.77029585838318,12.850551,0.0034511809,0.038916014,0.7490386366844177,104448,-0.0055138445,421,104448,51,1000.9935705507247,1501.6666666666667
3.6201832,237.6263132095337,16.232573,0.0022739894,0.022802735,0.7934195846319199,106496,-0.003212881,407,106496,52,995.4117279014085,1493.774647887324
3.6164958,242.65728616714478,13.038416,0.0027828612,0.028759766,0.7301629781723022,108544,-0.0031875693,413,108544,53,1001.3897191805554,1501.486111111111
3.614287,247.6057105064392,16.196148,0.0032949946,0.03676758,0.7547523528337479,110592,-0.002681551,418,110592,54,1007.8192307534244,1508.986301369863
3.6141753,252.5020272731781,11.448144,0.008404743,0.107177734,0.5534839928150177,112640,-0.003637265,413,112640,55,1011.9962589729727,1516.2837837837837
3.6115367,257.45937037467957,9.24801,0.0054098233,0.06318359,0.6980866193771362,114688,-0.004729065,409,114688,56,1016.4842298133332,1523.3866666666668
3.593652,262.46201181411743,9.402765,0.00477747,0.055126954,0.8816573545336723,116736,-0.0039189877,427,116736,57,1022.1299573421051,1530.3026315789473
3.5813909,267.2522203922272,7.178102,0.0041022613,0.04506836,0.8659102916717529,118784,-0.004383298,427,118784,58,1027.412103116883,1537.0389610389611
3.5780933,272.0392746925354,9.149715,0.004737252,0.056884766,0.7201105654239655,120832,-0.0028236557,432,120832,59,1032.0556803205125,1543.6025641025642
3.5806766,276.7730510234833,9.079902,0.007582853,0.09038086,0.6357759237289429,122880,-0.0045818957,413,122880,60,1036.1101956455693,1550.0
3.590877,281.7321629524231,9.436052,0.003760002,0.039453126,0.83946892619133,124928,-0.0033619963,412,124928,61,1041.6901225124998,1556.2375
3.5943656,286.69645977020264,12.947638,0.0029134331,0.026708985,0.8623733818531036,126976,-0.0014950533,426,126976,62,1026.8109561585366,1535.1951219512196
3.5957444,291.4991292953491,6.107743,0.0019371066,0.019140625,0.9033232107758522,129024,-0.0025125989,439,129024,63,1026.558476445783,1533.3855421686746
