value_loss,clipfrac,total_timesteps,serial_timesteps,fps,policy_loss,explained_variance,approxkl,time_elapsed,policy_entropy,n_updates,ep_reward_mean,ep_len_mean
0.21205692,0.023095703,2048,2048,455,-0.006464469,0.9983999687246978,0.0031002322,2.86102294921875e-06,5.806388,1,,
14.903033,0.009423828,4096,4096,500,-0.002192047,0.9323216006159782,0.0011577078,4.4970176219940186,5.7891607,2,1093.491733,1373.0
20.482288,0.05698242,6144,6144,479,-0.003632554,0.8913806527853012,0.0043923426,8.592318773269653,5.7875457,3,1315.2130556666668,1598.3333333333333
20.193499,0.039941408,8192,8192,476,-0.0030767638,0.8734167963266373,0.0034179543,12.86071252822876,5.782504,4,1409.41460725,1711.0
20.125921,0.033203125,10240,10240,488,-0.0018456534,0.8780653476715088,0.0031425736,17.156954765319824,5.7785034,5,1486.1675914,1778.6
20.821316,0.055859376,12288,12288,492,-0.004387772,0.8731886595487595,0.0046502566,21.348461389541626,5.78164,6,1536.1294498333334,1823.6666666666667
20.858881,0.0668457,14336,14336,501,-0.003030813,0.8764679953455925,0.0053182538,25.508793592453003,5.781131,7,1558.8810992857143,1855.857142857143
32.08373,0.019335937,16384,16384,519,-0.002913313,0.8503734320402145,0.0018104411,29.591666221618652,5.7855844,8,1440.8260032222222,1745.5555555555557
26.730026,0.04711914,18432,18432,491,-0.003138664,0.8831364810466766,0.004059856,33.53545093536377,5.7962523,9,1369.5814970000001,1670.1818181818182
20.349487,0.019140625,20480,20480,494,-0.0014109246,0.8719542175531387,0.0020929892,37.704474449157715,5.8085756,10,1398.0842330000003,1701.75
20.550343,0.04453125,22528,22528,500,-0.0047827186,0.8646276742219925,0.0038252429,41.84292912483215,5.8130317,11,1423.3146713076926,1728.4615384615386
19.650743,0.021044921,24576,24576,484,-0.0032940782,0.8584122806787491,0.0020103052,45.93728852272034,5.817461,12,1445.8903907857145,1751.357142857143
7.98852,0.029833984,26624,26624,486,-0.007661081,0.960819523781538,0.0029900842,50.16294503211975,5.815961,13,1365.4375837333334,1665.2
19.613794,0.053759765,28672,28672,470,-0.0015161348,0.8620359897613525,0.004444881,54.37724423408508,5.812669,14,1390.666863875,1689.1875
20.644493,0.046826173,30720,30720,487,-0.0070538647,0.8688219338655472,0.003908755,58.73034858703613,5.8264184,15,1413.7135292352941,1710.3529411764705
19.8819,0.019580077,32768,32768,494,-0.0018190393,0.8690480291843414,0.002023741,62.92879247665405,5.843123,16,1432.3080256111111,1729.1666666666667
27.762716,0.017871093,34816,34816,510,-0.005375633,0.8923055157065392,0.0018201524,67.06968188285828,5.849915,17,1387.9714111500002,1684.65
29.720242,0.034814455,36864,36864,504,-0.00458032,0.8676118850708008,0.00309115,71.0853476524353,5.8508997,18,1364.8417873636363,1663.7727272727273
14.064829,0.029101562,38912,38912,511,-0.005694627,0.9399366043508053,0.0030182903,75.14589476585388,5.8483305,19,1269.790747,1561.125
19.476912,0.02060547,40960,40960,486,-0.0016929663,0.8596505373716354,0.0021672794,79.15035843849182,5.850457,20,1290.06069344,1580.64
19.671822,0.041992188,43008,43008,487,-0.0030063135,0.8651567846536636,0.0035967776,83.36081910133362,5.84904,21,1310.2194880384616,1598.6538461538462
19.94149,0.015966797,45056,45056,495,-0.0019590934,0.8771646246314049,0.002104677,87.56049132347107,5.8457127,22,1326.5391485925925,1615.3333333333333
37.250187,0.033837892,47104,47104,519,-0.0060527786,0.8459487855434418,0.0034021183,91.69227838516235,5.8547544,23,1272.8728414666666,1564.2666666666667
8.636445,0.014111328,49152,49152,512,-0.0027618918,0.953293900936842,0.0016122491,95.63748025894165,5.857242,24,1244.117755,1535.5483870967741
20.033266,0.051123045,51200,51200,488,-0.0021226858,0.862000584602356,0.0044889534,99.6322557926178,5.8429494,25,1261.4043140625,1551.59375
31.089981,0.017724609,53248,53248,507,-0.0037812707,0.8641452193260193,0.001884466,103.84451794624329,5.8371854,26,1252.4699257647057,1540.5882352941176
31.749308,0.020703126,55296,55296,497,-0.004572043,0.8948305547237396,0.0027361563,107.88186287879944,5.845644,27,1211.153479972973,1493.6486486486488
15.044136,0.009326172,57344,57344,486,-0.0022962128,0.9200020059943199,0.0011640799,111.99680042266846,5.855334,28,1161.0220318205127,1441.0
26.036804,0.027832031,59392,59392,487,-0.0046586436,0.8979450911283493,0.0025681166,116.20331239700317,5.849817,29,1150.6656824878048,1431.439024390244
26.0154,0.038330078,61440,61440,481,-0.005640771,0.9008914679288864,0.0033169196,120.4065637588501,5.853194,30,1145.186047372093,1423.3255813953488
6.598033,0.018115234,63488,63488,502,-0.0033942969,0.9642702974379063,0.0020663773,124.66255617141724,5.8512583,31,1125.7132728636363,1403.5227272727273
33.347923,0.015234375,65536,65536,511,-0.002982628,0.8683901578187943,0.0014690366,128.74170398712158,5.856572,32,1104.0588499361702,1379.936170212766
19.895697,0.014550781,67584,67584,477,-0.0014467847,0.8759025558829308,0.0018002089,132.7495973110199,5.866652,33,1119.006643625,1393.875
20.36711,0.038476564,69632,69632,499,-0.0019630773,0.8682391792535782,0.0037134488,137.03723669052124,5.8605337,34,1132.5583939591836,1407.2448979591836
24.465916,0.05053711,71680,71680,492,-0.007137701,0.9104892909526825,0.004352808,141.14107584953308,5.8572087,35,1127.4139257254901,1401.137254901961
16.175518,0.052734375,73728,73728,512,-0.007858296,0.8954013735055923,0.0044009183,145.29687881469727,5.8600345,36,1131.5572157115384,1407.2692307692307
19.922695,0.02055664,75776,75776,493,-0.0027022047,0.874069482088089,0.0022722303,149.2897765636444,5.848668,37,1144.4325190377358,1419.377358490566
