approxkl,serial_timesteps,explained_variance,policy_entropy,n_updates,value_loss,fps,clipfrac,total_timesteps,policy_loss,time_elapsed,ep_reward_mean,ep_len_mean
0.0022415319,55296,0.9215559735894203,4.2513294,27,11.003923,484,0.023925781,55296,-0.0030028652,117.80379247665405,548.4804008142858,788.9857142857143
0.0031829146,57344,0.733713686466217,4.246688,28,11.57303,495,0.036035158,57344,-0.0026073596,122.027587890625,545.7110321805555,789.0555555555555
0.0034386404,59392,0.8222066909074783,4.246375,29,17.025867,488,0.039013673,59392,-0.004419943,126.15889501571655,522.5207622727273,761.3506493506494
0.004149885,61440,0.6628731191158295,4.2524996,30,12.020017,448,0.05029297,61440,-0.005028116,130.35021781921387,516.8938895822785,756.2278481012659
0.006355647,63488,0.5866684913635254,4.255567,31,8.7315235,482,0.07714844,63488,-0.0069973236,134.91570568084717,525.6702875125,772.3875
0.003536528,65536,0.7917178273200989,4.254301,32,21.713512,492,0.040478516,65536,-0.0047016954,139.16040563583374,514.5942746705882,763.2117647058824
0.0049019055,67584,0.4128882884979248,4.2567964,33,7.979628,438,0.054833986,67584,-0.0019024689,143.31756377220154,522.5304488720931,778.1627906976744
0.004401713,69632,0.5809637606143951,4.254518,34,10.193141,455,0.048876952,69632,-0.003810662,147.98415207862854,530.3582206206896,792.7701149425287
0.0036794401,71680,0.7923638820648193,4.2517557,35,14.1336975,471,0.038769532,71680,-0.003239577,152.48123455047607,529.4524370666668,795.2222222222222
0.0055456655,73728,0.7848749160766602,4.253415,36,9.172217,464,0.06782226,73728,-0.003951855,156.8274245262146,537.3799109890111,809.0
0.0032183654,75776,0.8613666296005249,4.2423887,37,8.367262,484,0.03300781,75776,-0.0045332774,161.2335398197174,528.9968947956991,798.3978494623656
0.0033826265,77824,0.46138250827789307,4.231593,38,8.647528,464,0.038671874,77824,-0.0020499656,165.45978498458862,536.3209801276596,811.7021276595744
0.004418017,79872,0.8868173584342003,4.230962,39,9.871866,471,0.051953126,79872,-0.0029160432,169.8677637577057,543.6604951052633,824.7263157894737
0.0052967765,81920,0.9431546181440353,4.232353,40,9.222541,464,0.06337891,81920,-0.0039421543,174.21632862091064,552.1998275000001,837.4791666666666
0.0044441535,83968,0.880223348736763,4.226861,41,25.476818,472,0.05292969,83968,-0.0024359333,178.62559342384338,560.4157606428572,844.030612244898
0.003300354,86016,0.9469689130783081,4.2174454,42,14.135553,475,0.036474608,86016,-0.0040532653,182.95716285705566,568.52432189,850.12
0.003288778,88064,0.9168685600161552,4.214151,43,24.75587,468,0.036474608,88064,-0.0028000718,187.2688925266266,570.26783942,852.72
0.0026434117,90112,0.966800969094038,4.2164683,44,5.5661387,463,0.028857421,90112,-0.0026242235,191.64436388015747,576.46210696,861.41
0.0041585737,92160,0.8207931965589523,4.2221217,45,20.26221,446,0.051123045,92160,-0.0040597967,196.06263732910156,592.34629421,878.33
0.0026445612,94208,0.898290179669857,4.228154,46,23.159624,484,0.025683593,94208,-0.0028680682,200.65259623527527,609.58040199,897.2
0.0036111611,96256,0.884035162627697,4.2257476,47,24.50032,487,0.042871095,96256,-0.0041580964,204.87929487228394,627.26954697,916.59
0.0024384153,98304,0.6638479232788086,4.2259054,48,10.887583,481,0.022607422,98304,-0.0017666407,209.07946944236755,640.0739077499999,936.51
0.0047428315,100352,0.8493067175149918,4.2167063,49,20.300663,473,0.054345705,100352,-0.0024116938,213.3291256427765,658.4925446100001,956.42
0.0043353857,102400,0.6989208161830902,4.216056,50,45.597054,537,0.053759765,102400,-0.00685138,217.65514993667603,627.18341456,918.98
0.005993181,104448,0.8982482701539993,4.231936,51,23.70696,468,0.07866211,104448,-0.006231139,221.46590042114258,616.45339072,900.93
0.002128195,106496,0.977941557765007,4.2463036,52,6.536145,492,0.021289062,106496,-0.0044661826,225.83980917930603,611.32938879,894.31
0.0036108182,108544,0.912948451936245,4.233943,53,35.534073,493,0.043164063,108544,-0.0055186725,229.99746799468994,615.52091409,892.18
0.0029495608,110592,0.7127358913421631,4.22422,54,36.054863,517,0.032177735,110592,-0.004605327,234.14585328102112,549.14060254,813.2
0.0021242416,112640,0.9484563432633877,4.220973,55,16.681429,499,0.021337891,112640,-0.005426907,238.10234379768372,494.9785995600001,754.73
0.0044452613,114688,0.9026569575071335,4.2251787,56,25.82851,478,0.05595703,114688,-0.0041941106,242.20150113105774,501.5666340799999,761.4
0.0032616598,116736,0.7396528422832489,4.22925,57,23.568687,456,0.035742186,116736,-0.004860584,246.48009252548218,495.00680231999996,749.22
0.002993653,118784,0.981514934450388,4.2403455,58,3.9465656,439,0.030810546,118784,-0.0047307867,250.96707105636597,494.61958828,748.58
0.005032973,120832,0.5313051044940948,4.24928,59,19.849169,416,0.062451173,120832,-0.0026127074,255.62575387954712,512.43482632,766.73
0.0020618264,122880,0.9327341318130493,4.246194,60,13.574664,437,0.019970704,122880,-0.00050361396,260.5401813983917,511.08692222999997,767.03
0.0019863858,124928,0.8043381720781326,4.2428503,61,42.85555,458,0.01796875,124928,-0.0041239806,265.21760153770447,489.62220950000005,731.34
0.002696253,126976,0.8338881880044937,4.2396326,62,22.36102,462,0.029394532,126976,-0.0031708784,269.6832580566406,496.7510032999999,735.32
0.003665898,129024,0.8659469187259674,4.239951,63,20.78175,482,0.046972655,129024,-0.0040405435,274.1143355369568,512.8098311900001,752.26
0.0019509678,131072,0.7369179427623749,4.241046,64,12.079864,479,0.02109375,131072,-0.0008866353,278.36244344711304,513.3872185800001,755.13
