#{"t_start": 1751035972.0700285, "env_id": null}
r,l,t
1842.487888,2049,6.297172
18.273991,59,6.56174
112.359484,262,7.235984
116.907775,255,7.78891
191.855589,357,8.615762
246.084669,460,9.601786
17.366978,59,9.711604
389.123153,659,11.917976
88.44381,239,12.454072
17.764221,57,12.659273
17.419909,58,12.838057
18.055982,58,13.053853
111.809723,227,13.736032
736.721063,949,16.080669
157.374581,343,16.702363
135.761161,285,17.532778
410.151074,590,18.551766
195.503696,367,19.274557
19.703798,64,19.38495
1809.843458,2049,23.956178
133.613905,277,24.43533
140.352722,272,24.931721
110.204793,259,25.747326
1179.704203,2049,30.665029
1809.327082,2049,34.97295
377.931007,654,36.266177
431.028156,679,37.538052
107.928327,256,37.986278
203.303012,383,38.640449
134.476642,262,39.428251
131.334453,289,40.004294
112.612482,254,40.686193
1198.91764,2049,47.004031
662.077225,1164,49.448545
20.274183,72,49.574175
1814.233155,2049,53.946196
162.987629,365,54.9814
1771.914536,2049,59.216773
96.231062,245,59.638379
98.039387,215,60.020154
1904.512137,2049,64.35039
105.215329,245,64.753743
558.088663,982,66.652007
340.639173,611,68.153462
353.204675,602,69.15968
1731.977414,2049,73.458135
1874.653377,2049,77.910429
1869.66064,2049,82.297145
1395.897982,1726,86.187739
117.309896,249,86.598757
151.290613,303,87.125176
1072.089252,1871,91.306357
258.888249,470,92.182153
302.96055,501,93.437753
335.212096,609,94.475867
138.192626,312,94.9965
84.409275,234,95.439992
377.060418,652,96.64996
986.820239,1419,99.683923
334.125019,609,100.906314
855.713924,1407,103.936853
308.589852,563,104.921081
1788.138249,2049,109.17519
1214.927535,1907,113.132194
93.342396,240,113.521036
964.371562,1651,117.211973
177.9493,355,117.810658
594.460474,815,119.716025
735.886907,1253,122.063717
18.536631,61,122.172816
270.684288,483,123.362636
626.881972,1100,125.492178
546.176276,957,127.649078
18.256403,57,127.741558
124.841503,244,128.154954
123.454256,280,128.639654
130.17594,274,129.113312
439.468126,800,131.013908
161.050456,318,131.72039
1219.005724,2049,136.208293
1215.324404,2049,140.512764
133.906465,284,141.003357
129.346742,255,141.420727
98.651795,241,141.812205
109.66094,253,142.2177
1197.105256,2049,146.780535
1203.546591,2049,151.495173
498.044074,816,153.349178
901.425536,1528,156.400851
110.084532,255,156.851965
1250.852564,2049,161.296485
183.883466,378,162.270023
111.25585,254,162.69377
1217.460916,2049,167.114188
1233.574903,2049,171.492697
1363.436405,2049,175.853289
1800.255819,2049,180.209668
109.305284,268,180.772488
1842.950358,2049,185.197909
88.737288,248,185.660285
1865.204929,2049,190.171988
168.413301,355,190.752341
113.854886,226,191.127266
736.334529,1124,193.668372
1780.274314,2049,198.21731
1820.269226,2049,202.686258
166.593199,357,203.312581
1765.397887,2049,207.592718
481.083574,788,208.982044
1298.200299,2049,213.238509
1859.283595,2049,217.569867
106.154307,261,218.343214
18.246862,60,218.442
18.791801,64,218.549454
110.268198,265,218.998458
185.421814,373,219.597622
16.968297,55,219.683646
158.614661,346,220.254321
17.357766,55,220.34
162.797672,348,220.96762
17.544531,54,221.083175
19.370461,63,221.184253
16.646581,52,221.266743
1831.283495,2049,225.650196
84.745406,244,226.075004
161.914154,351,226.9735
134.644816,320,227.550164
1801.252585,2049,231.912405
18.313842,61,232.029476
101.434014,258,232.464778
193.340402,387,233.135375
109.071617,286,233.699748
84.312626,239,234.113499
100.426405,260,234.91808
18.524631,60,235.007956
18.720609,60,235.109613
88.467962,248,235.510145
157.312241,352,236.10319
18.269803,61,236.213752
20.528014,68,236.327882
162.556773,346,236.912484
197.032593,383,237.717703
18.644176,63,237.82502
95.698117,247,238.248158
96.496524,267,239.062541
165.709605,313,239.559325
18.734835,61,239.656296
132.354844,261,240.077046
1814.465108,2049,244.49642
490.470661,839,246.057436
18.366174,57,246.148423
1257.963484,2049,250.653913
16.593945,55,250.751995
19.042675,65,250.860769
19.566867,64,251.000581
99.471222,248,251.782103
1865.933079,2049,256.542553
1213.036033,2049,261.435229
16.054215,52,261.518003
1870.985708,2049,266.211467
16.168616,50,266.300398
19.039555,60,266.406851
169.772686,338,267.060778
18.280962,61,267.208378
354.118175,648,268.589962
1677.250942,2049,273.098534
1783.832089,2049,277.3541
1231.339537,2049,281.704576
156.746583,306,282.206737
1231.431591,2049,286.504667
152.671073,332,287.076226
17.903983,59,287.49062
176.244803,368,288.185319
1243.018303,2049,292.458164
1409.524532,2049,296.705132
1817.286578,2049,301.129626
1676.675964,2049,305.29842
1815.621059,2049,309.542856
20.342944,65,309.647871
155.240734,335,310.198063
1900.246718,2049,314.667313
141.656159,286,315.253784
1797.946579,2049,319.601898
1758.171709,2049,323.939265
1656.692401,2049,328.219375
502.772846,904,329.895565
1713.434743,2049,334.152276
1733.052964,2049,338.696603
1797.880646,2049,343.302722
435.481651,704,344.822063
1610.082824,2049,349.030063
1853.98572,2049,353.463185
159.069027,357,354.131216
1911.025942,2049,358.65855
1791.398327,2049,362.997421
1671.103903,2049,367.110949
127.269346,256,367.530746
1226.051305,2049,371.928057
1805.637311,2049,376.25711
1636.410116,2049,380.489964
1617.408679,2049,384.81925
111.760206,243,385.231687
1290.371044,2049,389.826173
127.492305,255,390.30305
130.733623,275,390.87213
376.46474,666,392.789719
160.369641,339,393.393033
342.294527,589,394.391305
1910.168676,2049,399.388547
137.181548,267,399.939848
585.746499,852,401.813617
254.345165,521,402.746317
602.475897,958,405.154057
365.875434,613,406.375643
410.245311,711,407.724316
1513.493095,2049,412.510277
1798.209883,2049,417.339457
91.830013,198,417.654692
1770.905044,2049,421.854879
1882.617116,2049,426.337221
1844.444382,2049,430.619295
1645.401101,2049,434.862716
337.21976,605,436.320865
1626.232041,2049,440.419297
1889.810039,2049,444.847667
1810.815217,2049,449.184383
1075.50682,1663,452.081582
99.806697,214,452.434951
1792.847581,2049,456.816503
1770.795656,2049,461.129559
1791.126693,2049,465.546599
136.965105,288,466.34514
1862.728093,2049,470.993586
164.776415,310,471.551234
228.348655,458,472.356689
229.227707,442,473.116719
264.688134,472,473.969032
1811.104233,2049,478.375443
325.625057,582,479.71897
