value_loss,fps,explained_variance,clipfrac,n_updates,time_elapsed,serial_timesteps,policy_loss,total_timesteps,ep_reward_mean,approxkl,ep_len_mean,policy_entropy
15.906346,551,0.7859763354063034,0.03354492,1,1.6689300537109375e-06,2048,-0.0064743683,2048,307.100611,0.0031624916,636.6666666666666,5.631213
2.421313,524,0.9875641027465463,0.053613283,2,3.712415933609009,4096,-0.007284852,4096,251.063786,0.0044080396,538.75,5.6521077
25.97025,580,0.8054104000329971,0.023388673,3,7.616780757904053,6144,-0.003870479,6144,496.5656882857143,0.0021468562,808.1428571428571,5.6585655
20.08545,555,0.9165971800684929,0.030371094,4,11.147807359695435,8192,-0.0050324807,8192,449.29665088888896,0.003252204,746.3333333333334,5.67024
27.90981,555,0.8849217742681503,0.02578125,5,14.838058710098267,10240,-0.0044740336,10240,520.8666546666667,0.002376076,819.25,5.6882277
14.86719,581,0.8411718010902405,0.050683595,6,18.524648427963257,12288,-0.009359801,12288,482.30291460000007,0.0045918897,785.0666666666667,5.704595
3.5825088,527,0.9807881619781256,0.0803711,7,22.045374631881714,14336,-0.008271777,14336,469.23283437500004,0.0072745318,770.75,5.720175
22.655014,539,0.913389042019844,0.035595704,8,25.930744409561157,16384,-0.0049850014,16384,522.6994031111112,0.0032226336,818.1111111111111,5.717265
19.469091,524,0.8663295060396194,0.050878905,9,29.730327606201172,18432,-0.0043962807,18432,589.148445631579,0.0042723264,882.8947368421053,5.7074976
19.58375,525,0.8793148845434189,0.04033203,10,33.637192726135254,20480,-0.0035894841,20480,649.9825331000001,0.003844961,941.2,5.6961927
21.427715,544,0.8682172298431396,0.019384766,11,37.538031339645386,22528,-0.0015094925,22528,703.7108002380953,0.001957891,993.952380952381,5.6870737
20.041903,529,0.8769803568720818,0.042089842,12,41.30242443084717,24576,-0.0041141594,24576,747.4344640454547,0.0033738695,1041.909090909091,5.6750383
23.237055,544,0.9138945713639259,0.039404295,13,45.17423605918884,26624,-0.0045399535,26624,762.2726643333332,0.0038799066,1050.9166666666667,5.6664596
36.521477,557,0.8737484216690063,0.021435548,14,48.93635582923889,28672,-0.0032868925,28672,760.8505314074073,0.0017934737,1045.111111111111,5.667035
7.7277656,536,0.9498910270631313,0.016162109,15,52.61119532585144,30720,-0.004341458,30720,743.030161392857,0.0016538562,1026.9285714285713,5.6748157
25.798864,553,0.8998272269964218,0.012744141,16,56.431708574295044,32768,-0.002327891,32768,760.4796573999998,0.0013001848,1038.5333333333333,5.680032
20.71873,533,0.8795877024531364,0.043896485,17,60.13135385513306,34816,-0.0030589085,34816,790.7473886451612,0.0036568132,1071.1290322580646,5.6795473
20.201088,528,0.8808949589729309,0.016015625,18,63.96981883049011,36864,-0.0017918639,36864,820.29816959375,0.0018051394,1101.6875,5.6794233
19.915152,538,0.8868567273020744,0.030761719,19,67.8483190536499,38912,-0.004263875,38912,848.3013543636364,0.0026004242,1130.3939393939395,5.687051
24.681374,541,0.9009412601590157,0.010693359,20,71.65180206298828,40960,-0.0018809868,40960,854.8809626285715,0.0014206225,1137.0285714285715,5.683457
31.098944,552,0.8956645578145981,0.02060547,21,75.43723917007446,43008,-0.0033259627,43008,848.0183174210528,0.0020167944,1125.1842105263158,5.6796556
3.8447719,534,0.9812677800655365,0.021191407,22,79.14545512199402,45056,-0.0023959854,45056,830.769051897436,0.0021407446,1105.6410256410256,5.681134
20.008963,524,0.8770308420062065,0.015429688,23,82.97920632362366,47104,-0.0011994812,47104,853.54886945,0.0019885502,1129.225,5.6768317
24.32245,510,0.9072884544730186,0.024902344,24,86.88308954238892,49152,-0.0043015936,49152,857.6440671904761,0.002393802,1130.1666666666667,5.676194
20.159378,521,0.8823864534497261,0.015966797,25,90.89783692359924,51200,-0.0013408227,51200,879.9578091395348,0.001915448,1151.5348837209303,5.6745157
19.788721,519,0.8377856016159058,0.05126953,26,94.83528447151184,53248,-0.0029493724,53248,900.0132353636363,0.0042702677,1171.9318181818182,5.6648846
20.00535,526,0.8701411336660385,0.03769531,27,98.77629327774048,55296,-0.0031330667,55296,921.1877837555555,0.0032306942,1191.4222222222222,5.660296
19.900414,518,0.8677728176116943,0.054101564,28,102.66973519325256,57344,-0.004303752,57344,940.3296347173913,0.004426149,1210.0652173913043,5.651945
20.042141,523,0.860026091337204,0.028564453,29,106.61805272102356,59392,-0.0035333328,59392,958.9621919574467,0.002664219,1227.9148936170213,5.648012
25.91418,532,0.9026692286133766,0.013818359,30,110.53218150138855,61440,-0.00038829228,61440,961.8235553265307,0.0014236406,1229.469387755102,5.6524334
20.488508,530,0.8599409908056259,0.021142578,31,114.37640833854675,63488,-0.0034889062,63488,978.9810604800001,0.002192699,1245.86,5.6512847
34.433483,534,0.8892300501465797,0.011914062,32,118.23871684074402,65536,-0.0027438877,65536,962.5898553207549,0.0013424137,1227.9433962264152,5.6525464
19.820087,519,0.8817231580615044,0.014941406,33,122.0704870223999,67584,-0.002145707,67584,979.2467190925927,0.0017292339,1243.148148148148,5.6529574
25.383999,521,0.8838428184390068,0.032910157,34,126.0148012638092,69632,-0.0034568266,69632,979.295517267857,0.0030980597,1241.4107142857142,5.6542134
20.9138,528,0.8697380721569061,0.045947265,35,129.94032859802246,71680,-0.003015703,71680,993.0341734210525,0.0037582759,1255.578947368421,5.664274
20.018408,523,0.8483316749334335,0.043066405,36,133.81713128089905,73728,-0.0034336082,73728,1007.776772275862,0.0038997948,1269.2586206896551,5.6692405
