serial_timesteps,policy_loss,policy_entropy,n_updates,total_timesteps,approxkl,time_elapsed,value_loss,fps,explained_variance,clipfrac,ep_len_mean,ep_reward_mean
2048,-0.0046273614,2.527082,1,2048,0.0039606504,2.1457672119140625e-06,0.45451564,438,0.9831062257289886,0.042578124,,
4096,-0.00371574,2.5181832,2,4096,0.002886161,4.670708894729614,1.3270309,442,0.9580921344459057,0.027197266,2049.0,1337.433046
6144,-0.005890686,2.5067153,3,6144,0.0038955226,9.294394493103027,2.8301542,455,0.9399447441101074,0.039697267,2049.0,1333.606463
8192,-0.005289376,2.4938998,4,8192,0.005256114,13.793686151504517,3.101173,454,0.9391405954957008,0.059423827,2049.0,1345.2045576666667
10240,-0.0024942239,2.4921865,5,10240,0.0030516922,18.296371936798096,4.4271593,459,0.9110031351447105,0.03305664,2049.0,1357.3521
12288,-0.0013408165,2.4926577,6,12288,0.003485178,22.756202936172485,11.582125,434,0.8275712877511978,0.033203125,2020.0,1347.3134646666667
14336,-0.0018318748,2.4779866,7,14336,0.004675995,27.472358465194702,9.1253395,445,0.8393861353397369,0.05078125,2024.142857142857,1357.172889
16384,-0.006977787,2.469766,8,16384,0.0058658095,32.073641538619995,30.7086,460,0.6236756443977356,0.06293945,1423.1818181818182,923.9996370909089
18432,-0.0018508922,2.468846,9,18432,0.0033085097,36.52206301689148,21.367216,454,0.7410245835781097,0.03691406,1402.6153846153845,910.4251025384614
20480,0.0003070053,2.4738164,10,20480,0.0046590776,41.02668881416321,11.652767,430,0.6981633007526398,0.0546875,1448.7857142857142,937.3632612857142
22528,-0.0036672852,2.4817986,11,22528,0.0037884421,45.78732681274414,17.105103,473,0.833302840590477,0.04321289,1261.9411764705883,803.6108382352941
24576,-0.0034319654,2.4772944,12,24576,0.0030534351,50.11358666419983,15.323306,433,0.8025745004415512,0.033935547,1256.842105263158,802.7861375263158
26624,-0.0013463488,2.474401,13,26624,0.002627507,54.8357675075531,11.975862,436,0.7788241505622864,0.02446289,1296.45,831.6942511
28672,-0.0046502342,2.4716246,14,28672,0.004014976,59.53031921386719,12.415895,454,0.7782303541898727,0.044140626,1332.2857142857142,858.8181322857142
30720,-0.00749851,2.4552264,15,30720,0.004683754,64.03276634216309,9.824464,442,0.8049585670232773,0.046044923,1364.8636363636363,881.9148644090909
32768,-0.0052940976,2.4461505,16,32768,0.004356462,68.66201758384705,27.539953,462,0.631831556558609,0.051074218,1283.28,821.2088788799999
34816,-0.0009379291,2.4534187,17,34816,0.0029227708,73.09256482124329,16.294937,462,0.7521453946828842,0.032128908,1277.7407407407406,817.0857357777778
36864,-0.00058915,2.4494803,18,36864,0.0024311577,77.52286219596863,8.722506,465,0.8138084411621094,0.023535157,1305.2857142857142,836.6963780357144
38912,-0.0025138005,2.4395118,19,38912,0.0035809546,81.92587947845459,12.805199,445,0.7893192768096924,0.040234376,1330.9310344827586,858.4179602758621
40960,-0.0031910453,2.4398532,20,40960,0.0042470274,86.52572178840637,9.801815,454,0.8103460818529129,0.05078125,1354.8666666666666,876.4699762666667
43008,-0.003920232,2.4434006,21,43008,0.0045732562,91.02870464324951,11.515537,465,0.7928499728441238,0.04838867,1377.258064516129,892.8073285161291
45056,-0.005827858,2.4454074,22,45056,0.0052563744,95.42486095428467,9.51411,488,0.8311641067266464,0.0652832,1398.25,907.69771046875
47104,-0.0016553381,2.4443316,23,47104,0.0048132506,99.61406087875366,17.793667,446,0.7960478216409683,0.054541014,1383.264705882353,898.5557305588235
