ep_reward_mean,serial_timesteps,n_updates,explained_variance,policy_entropy,total_timesteps,fps,value_loss,approxkl,clipfrac,time_elapsed,ep_len_mean,policy_loss
115.01948900000001,2048,1,0.023439526557922363,1.4153616,2048,504,4.548082,0.0038482728,0.04135742,3.0994415283203125e-06,606.6666666666666,-0.004118136
113.15139399999998,4096,2,-0.035065531730651855,1.4101646,4096,553,4.466386,0.0022160474,0.01821289,4.056399822235107,583.3333333333334,-0.003269948
97.53325233333334,6144,3,-0.008825302124023438,1.4163449,6144,563,4.383747,0.0029001175,0.02861328,7.7579615116119385,499.3333333333333,-0.0027592047
74.76557404761904,8192,4,0.07205832004547119,1.426362,8192,545,3.6558738,0.0027788996,0.029443359,11.390292644500732,382.6666666666667,-0.0037264358
68.43490644827585,10240,5,0.1479250192642212,1.4329612,10240,586,4.01097,0.0037056878,0.038867187,15.148340463638306,347.82758620689657,-0.0024197572
60.582119375000005,12288,6,0.3544597625732422,1.4389393,12288,580,3.5634015,0.0022807221,0.021728516,18.64331364631653,305.05,-0.0034006462
55.39090286274509,14336,7,0.5848057568073273,1.4576699,14336,532,3.0293314,0.003654939,0.039648436,22.1716730594635,276.94117647058823,-0.0034556165
52.64273438709678,16384,8,0.6928011178970337,1.4690416,16384,588,2.6585484,0.0048889834,0.06098633,26.017051696777344,261.758064516129,-0.0038330469
50.56890772222222,18432,9,0.7763634920120239,1.4852011,18432,608,2.1195638,0.0041739247,0.047509767,29.498173713684082,251.90277777777777,-0.00475767
51.221224275,20480,10,0.8045398741960526,1.5059077,20480,596,2.0013187,0.0051787416,0.06508789,32.86701250076294,255.3,-0.0039979075
52.53685885542168,22528,11,0.901201531291008,1.5242722,22528,607,1.6375529,0.005157914,0.06757812,36.29811453819275,264.5301204819277,-0.00563915
54.85993470114941,24576,12,0.931675560772419,1.540738,24576,578,1.276493,0.0056530666,0.06953125,39.6701865196228,280.0,-0.006271232
57.891889159090915,26624,13,0.9389396905899048,1.5374627,26624,604,1.4571846,0.00375642,0.040722657,43.20813775062561,300.10227272727275,-0.0032906733
61.26219538202248,28672,14,0.7626959830522537,1.5299257,28672,589,1.3769104,0.0048968876,0.060058594,46.59819197654724,319.75280898876406,-0.0015650094
63.625776582417586,30720,15,0.9320049807429314,1.5368193,30720,591,1.1634507,0.004722356,0.05126953,50.072956562042236,333.4175824175824,-0.004579409
66.67886164130435,32768,16,0.9155421555042267,1.544892,32768,613,1.2895191,0.0038827502,0.043408204,53.538087129592896,352.0652173913044,-0.0018884123
69.17194424731184,34816,17,0.9101402461528778,1.546529,34816,611,0.9434555,0.0044427174,0.054101564,56.877436876297,365.5376344086022,-0.0045546074
72.61073845744681,36864,18,0.5958194136619568,1.5523878,36864,607,1.1572473,0.0027507858,0.026611328,60.22735047340393,383.4468085106383,-0.0005148306
76.17071997894737,38912,19,0.5282027125358582,1.5531883,38912,614,1.2186725,0.0025803926,0.022998046,63.60089039802551,400.9789473684211,-0.00059446204
79.86419947916666,40960,20,0.5395494103431702,1.5464848,40960,574,1.12626,0.0061031533,0.07954101,66.93379330635071,418.1458333333333,-0.004922929
83.60437681443298,43008,21,0.3654618263244629,1.539091,43008,600,1.1867752,0.0036577142,0.038916014,70.49610376358032,434.9587628865979,-0.0011924896
87.27645304081634,45056,22,0.2163061499595642,1.534386,45056,614,1.1434826,0.006079017,0.080029294,73.90500521659851,451.42857142857144,-0.002124432
90.95778043434345,47104,23,0.573320209980011,1.5458704,47104,602,1.2433249,0.0042501525,0.050488282,77.23582983016968,467.5656565656566,-0.0027702176
94.84673355000001,49152,24,0.17159247398376465,1.550473,49152,606,1.2001052,0.0055805095,0.07373047,80.6348831653595,483.38,-0.005365965
98.18945426,51200,25,0.2032110095024109,1.5454957,51200,613,1.1397,0.0035767765,0.039746094,84.01167154312134,496.23,-0.002784226
101.39916081999999,53248,26,0.4145296812057495,1.5428954,53248,595,1.0954592,0.004044379,0.043945312,87.36280369758606,508.66,-0.0022147468
105.86673087,55296,27,0.23009639978408813,1.5497683,55296,598,1.0114633,0.004784654,0.055908203,90.80216360092163,526.65,-0.0017325148
109.3861127,57344,28,0.03519529104232788,1.5491488,57344,606,1.1810569,0.004656851,0.055029295,94.22308254241943,539.42,-0.002597839
113.72997003999998,59392,29,0.057752370834350586,1.5377251,59392,591,1.1325753,0.003983007,0.042822264,97.59895420074463,556.36,-0.0010461455
117.56766558999998,61440,30,0.1261754035949707,1.5388157,61440,542,1.1623936,0.0028784908,0.029736329,101.06246423721313,571.32,-0.0005356093
120.96343445999999,63488,31,0.1669139266014099,1.551666,63488,610,1.1596695,0.0048550833,0.061865233,104.84095287322998,582.82,0.0005902609
125.13337793,65536,32,0.09109866619110107,1.5481195,65536,610,1.2618748,0.0032495838,0.03461914,108.19546747207642,598.4,-0.0012283449
129.87972213999998,67584,33,0.0038056373596191406,1.5460342,67584,601,1.1929566,0.002362946,0.01977539,111.54829716682434,616.65,-0.0006659486
134.63400148,69632,34,0.15430819988250732,1.5520363,69632,597,1.1726639,0.005755991,0.0730957,114.95518589019775,634.62,-0.0037414264
139.06180142000002,71680,35,0.1447407603263855,1.56233,71680,585,1.1752741,0.004435596,0.049560547,118.38499355316162,651.04,-0.0017313607
143.9174615,73728,36,0.045862674713134766,1.5572082,73728,478,1.0910715,0.0030345558,0.028857421,121.88503885269165,669.34,-0.0025831866
148.76533274000002,75776,37,0.0166243314743042,1.5596617,75776,459,1.1950512,0.0035695657,0.04082031,126.16329026222229,687.63,-0.00023153152
