#{"t_start": 1747305386.76991, "env_id": null}
r,l,t
1017.114905,1562,3.592205
1062.627279,1599,6.897346
1241.904862,1877,10.526403
1285.139906,1994,14.326921
1327.881559,2049,18.20255
1157.834688,1751,21.637518
845.555517,1353,23.984284
289.806222,629,25.424643
1278.65034,1864,28.881809
317.799873,618,29.984131
1384.949953,2049,33.903661
227.902015,494,34.799422
980.705765,1485,38.106205
467.0351,805,39.379484
655.353106,1118,41.749968
302.912517,611,42.758071
1351.113615,2049,46.713125
1324.861679,2049,50.501915
122.086075,293,50.994039
1360.026132,2049,55.063971
217.664673,486,56.40388
216.54259,491,57.353876
319.054837,620,58.3383
1493.776375,2049,62.400181
97.188908,257,62.846794
297.83353,612,64.136779
110.093625,275,64.716485
1355.739687,2049,68.714903
111.50727,288,69.214412
106.843349,273,69.752955
96.44339,254,70.184541
204.856197,493,70.973054
1421.516458,2049,74.981481
1342.854271,2049,78.831578
1007.400793,1575,81.977115
108.544603,280,82.439252
93.762996,259,82.866826
115.46115,282,83.419908
1357.817176,2049,87.234579
228.807015,505,88.422448
208.945697,493,89.28019
283.706338,611,90.399781
91.816102,259,90.898558
1395.119209,2049,94.739089
89.796127,244,95.215404
153.365069,394,96.17644
628.661376,1096,98.04324
231.937491,525,98.989735
685.150434,1151,101.177462
119.976241,300,101.75568
220.9891,499,102.664969
102.883845,272,103.477382
95.918056,260,103.90467
1149.389307,1703,107.16348
239.674116,524,108.00598
837.655892,1270,110.313946
309.671718,649,111.648047
1398.309257,2049,115.479545
309.803059,648,116.561786
203.568058,485,117.527314
117.241739,309,118.054256
422.47312,763,119.601805
90.504322,254,120.025591
108.206427,277,120.466286
232.061085,506,121.43491
152.070724,389,122.133087
79.468882,231,122.837125
205.354972,486,123.654474
1312.161778,2049,127.502082
221.090478,499,128.387315
1408.762245,2049,132.358734
223.207223,509,133.403457
106.469044,278,133.863129
206.870754,489,134.951478
105.363043,269,135.380818
95.252675,261,135.81655
441.136328,779,137.293434
1301.887444,2049,141.170826
391.270292,706,142.648458
1273.293987,2049,146.594629
1288.827196,2049,150.596729
475.283401,871,152.063545
395.323406,733,153.339391
1288.596149,2049,157.257488
1327.182533,2049,161.145203
111.61158,291,161.918956
433.85503,786,163.294069
1418.84733,2049,167.093852
276.971215,606,168.0713
104.061753,272,168.60804
210.953498,497,170.059055
202.300736,485,170.98418
110.705545,289,171.481206
101.599054,268,171.935447
210.731087,485,172.783483
97.41924,270,173.625621
210.609501,488,174.45618
223.372408,494,175.335879
319.626973,660,176.480355
1412.816865,2049,180.425711
226.73435,513,181.642346
108.035035,282,182.118616
226.925367,507,183.079831
201.722918,487,183.908872
43.956112,156,184.180536
128.058651,361,184.751056
209.811414,500,185.91559
216.13917,490,186.792821
1032.263398,1629,189.809904
338.919264,686,191.027687
84.53179,233,191.396212
98.730083,271,191.830482
192.512034,475,192.96263
182.581205,474,193.882503
226.350299,507,194.744652
98.617292,273,195.219476
104.628052,293,195.678151
44.622303,159,195.941642
216.191574,497,197.168176
205.111563,490,198.037489
203.094527,491,198.847373
110.243577,302,199.352584
215.930396,516,200.514292
92.431593,255,200.992655
