ep_reward_mean,value_loss,clipfrac,total_timesteps,serial_timesteps,fps,policy_loss,explained_variance,ep_len_mean,approxkl,time_elapsed,policy_entropy,n_updates
1017.114905,6.238126,0.03461914,2048,2048,479,-0.005217765,0.9237340316176414,1562.0,0.0031000336,2.86102294921875e-06,3.6805573,1
1039.871092,7.5788393,0.02861328,4096,4096,514,-0.0016469804,0.8837629333138466,1580.5,0.002674921,4.270842552185059,3.6826198,2
1107.215682,4.9313173,0.030908203,6144,6144,533,-0.0041053277,0.9283252358436584,1679.3333333333333,0.0028843507,8.25164532661438,3.6814313,3
1151.696738,7.9626074,0.040966798,8192,8192,519,-0.0053166384,0.8769408762454987,1758.0,0.0035290376,12.08788537979126,3.6855724,4
1186.9337022,11.55043,0.055078126,10240,10240,521,-0.0056857527,0.7547796964645386,1816.2,0.0044677006,16.033819913864136,3.6938953,5
1134.008388,13.053548,0.02631836,12288,12288,526,-0.0019108331,0.8793920576572418,1740.7142857142858,0.0026115016,19.959785223007202,3.7015762,6
1028.48311725,7.589485,0.03564453,14336,14336,534,-0.0046413,0.9080373346805573,1601.75,0.0033542062,23.848668813705444,3.7104366,7
982.4315151000001,17.426928,0.031298827,16384,16384,523,-0.002986004,0.8227981626987457,1529.6,0.002926506,27.68065619468689,3.721321,8
953.0972599166666,12.399734,0.030566406,18432,18432,487,-0.0044382056,0.867807075381279,1486.5833333333333,0.0028521304,31.596548795700073,3.7241921,9
920.3505702857143,13.900122,0.036816407,20480,20480,522,-0.006960624,0.8608765453100204,1437.7857142857142,0.0033778907,35.80052185058594,3.7212894,10
865.1983504375,9.364174,0.043945312,22528,22528,522,-0.0042887568,0.8902439773082733,1366.125,0.003962291,39.72360014915466,3.7306418,11
893.7816012941176,9.688032,0.047949217,24576,24576,530,-0.0038601947,0.8241706937551498,1406.2941176470588,0.0045020483,43.64530968666077,3.749871,12
875.8544724210526,16.00912,0.04951172,26624,26624,538,-0.005710408,0.8162077516317368,1381.5263157894738,0.0042427755,47.5079882144928,3.7645252,13
900.0630553999999,12.516886,0.038476564,28672,28672,490,-0.005103119,0.7837554067373276,1414.9,0.0034122847,51.31336069107056,3.780643,14
815.4140525217391,15.656375,0.039501954,30720,30720,522,-0.0014082443,0.8582774251699448,1299.7826086956522,0.0036498145,55.485087633132935,3.787094,15
813.81953964,14.881975,0.046582032,32768,32768,508,-0.006111483,0.8809886947274208,1288.04,0.003838766,59.40592932701111,3.7945244,16
768.645023925926,13.2493,0.023925781,34816,34816,500,-0.0022099556,0.8707436323165894,1225.4814814814815,0.0022675586,63.43238663673401,3.7993321,17
707.15017309375,36.55269,0.04916992,36864,36864,519,-0.009409268,0.6399908363819122,1138.90625,0.0041708667,67.5216658115387,3.8081584,18
728.7976362727272,12.0783415,0.040039062,38912,38912,515,-0.0045570545,0.8368446230888367,1166.4848484848485,0.0037200123,71.46388363838196,3.8186607,19
746.8581255294117,12.184027,0.05571289,40960,40960,524,-0.0025203042,0.7827158421278,1192.4411764705883,0.0048208367,75.4404878616333,3.8171182,20
703.1143634210526,25.288284,0.050830077,43008,43008,525,-0.007554599,0.8226317465305328,1129.9736842105262,0.004727442,79.34811687469482,3.814778,21
719.901615025641,10.437155,0.027978515,45056,45056,538,-0.0052110627,0.8175679594278336,1153.5384615384614,0.0027691063,83.24612927436829,3.8119655,22
671.8473985581396,19.31419,0.03852539,47104,47104,514,-0.0047554756,0.6980937719345093,1089.6744186046512,0.0034614932,87.05248761177063,3.8177867,23
674.9856327555556,15.108572,0.033837892,49152,49152,527,-0.003259215,0.8181708455085754,1092.2,0.0030516835,91.0324354171753,3.8264775,24
653.923279375,15.474882,0.04272461,51200,51200,535,-0.004200863,0.8454659879207611,1065.9166666666667,0.0037034098,94.91410374641418,3.8294988,25
635.5771212745098,18.03211,0.03564453,53248,53248,528,-0.0062083015,0.8201148808002472,1041.450980392157,0.0032459963,98.75324964523315,3.8295772,26
615.3440582264151,9.67937,0.04526367,55296,55296,534,-0.008831949,0.9185890182852745,1012.188679245283,0.0040508066,102.63024425506592,3.8272731,27
622.1420428749999,24.338467,0.026953125,57344,57344,525,-0.0028193633,0.8034838438034058,1020.4107142857143,0.0025467123,106.46008658409119,3.8273296,28
616.6601073508771,5.970023,0.015478516,59392,59392,540,-0.0030478034,0.9240304157137871,1013.8947368421053,0.0015392508,110.35444116592407,3.8344474,29
609.4843972459014,22.601414,0.031835936,61440,61440,530,-0.00491466,0.7997555434703827,1004.639344262295,0.002829357,114.14338970184326,3.841107,30
578.5433925757576,24.387218,0.03017578,63488,63488,531,-0.0062360293,0.7555136531591415,961.6969696969697,0.0031516184,118.00620603561401,3.8480077,31
565.7159965294118,6.1178794,0.04941406,65536,65536,536,-0.007929547,0.946993350982666,943.9558823529412,0.004470909,121.85921168327332,3.8531964,32
571.456286,17.372414,0.037597656,67584,67584,516,-0.004233164,0.8071783632040024,953.3857142857142,0.0033967278,125.67579913139343,3.8561883,33
571.7860072876712,24.07011,0.027685547,69632,69632,511,-0.0009500628,0.8495066463947296,953.054794520548,0.0024198075,129.6420567035675,3.8594902,34
553.1039134025974,17.794014,0.027148437,71680,71680,532,-0.005025187,0.7987970411777496,926.8961038961039,0.0027027293,133.6475031375885,3.8583894,35
562.7037022564102,15.777301,0.048876952,73728,73728,529,-0.0024561356,0.6951360106468201,941.2820512820513,0.004118746,137.4974262714386,3.8637948,36
560.5336590886076,6.790344,0.050732423,75776,75776,527,-0.0074915164,0.8751912340521812,938.3037974683544,0.004749836,141.36714053153992,3.860464,37
