n_updates,serial_timesteps,fps,approxkl,explained_variance,policy_entropy,time_elapsed,value_loss,policy_loss,total_timesteps,ep_reward_mean,clipfrac,ep_len_mean
43,88064,107,0.001807146,0.9075066968798637,4.5385256,688.0827269554138,20.03041,-0.004665753,88064,600.44819534,0.018847656,829.03
44,90112,104,0.0038694185,0.9312043637037277,4.5437536,707.1718673706055,17.174461,-0.008140621,90112,581.8907734599999,0.042626955,806.79
45,92160,203,0.0044622924,0.971048153936863,4.5375056,726.8263943195343,2.512529,-0.002534787,92160,573.93899807,0.04736328,798.72
46,94208,198,0.0075830505,0.958172831684351,4.5087466,736.8910140991211,2.7543342,-0.0056366385,94208,573.73932424,0.08344726,798.72
47,96256,64,0.0019910238,0.7318601012229919,4.4869127,747.2184669971466,27.43479,-0.0043245945,96256,583.8118867500001,0.016796876,803.28
48,98304,196,0.0035448018,0.9805486872792244,4.4814186,778.8869938850403,1.5789772,-0.00176019,98304,581.01858597,0.03691406,798.72
49,100352,136,0.0012040258,0.9361887574195862,4.4777727,789.3249702453613,13.443316,-0.0023876275,100352,555.1596699500001,0.010693359,766.84
50,102400,203,0.0031282876,0.9698871206492186,4.479741,804.3635492324829,3.0682607,-0.008458213,102400,545.87403909,0.033740234,757.76
51,104448,198,0.002535039,0.9688892178237438,4.4734025,814.4307224750519,3.3666668,-0.0019519916,104448,561.83313675,0.026708985,774.48
52,106496,143,0.0036511607,0.8428930193185806,4.4651194,824.7619340419769,10.114004,-0.0032564446,106496,588.2484863599999,0.042236328,807.26
53,108544,98,0.0030206586,0.8708075433969498,4.4628987,839.0772016048431,10.312174,-0.003157797,108544,589.05292971,0.03354492,808.86
54,110592,179,0.0042836354,0.856243684887886,4.4606256,859.9428956508636,2.7775471,-0.004213378,110592,595.86492776,0.051611327,819.33
55,112640,86,0.0023725252,0.9031370878219604,4.4586687,871.3649389743805,13.78779,-0.004611996,112640,581.2410293199999,0.024365235,815.09
56,114688,167,0.0032971282,0.8759359270334244,4.4560366,894.9491150379181,1.846646,-0.0051944028,114688,565.03214651,0.040478516,798.72
57,116736,176,0.0040955795,0.9843732323497534,4.4449186,907.178516626358,1.2148812,-0.0046264296,116736,576.3785039300001,0.042871095,815.8
58,118784,114,0.0022404778,0.9491975978016853,4.4364343,918.8130917549133,12.413579,-0.0029899566,118784,595.44012698,0.021826172,835.32
59,120832,164,0.004887522,0.9692522995173931,4.405872,936.7025454044342,2.5974212,-0.006772057,120832,600.24539651,0.047070313,839.68
60,122880,178,0.0055379635,0.7762489765882492,4.3788815,949.1489129066467,3.4346519,-0.006491947,122880,616.7622675999999,0.06796875,856.43
61,124928,184,0.004410353,0.9738509878516197,4.3649116,960.6255614757538,1.8561779,-0.0075118504,124928,614.5214902499999,0.046435546,860.16
62,126976,198,0.00486365,0.9613540358841419,4.340872,971.7059450149536,2.5011363,-0.0065477537,126976,614.2246933700001,0.05419922,860.16
63,129024,145,0.0024184226,0.9577564187347889,4.3371744,982.0328097343445,7.486543,-0.002354193,129024,622.4525820499999,0.02626953,861.63
64,131072,131,0.0022587248,0.9600971639156342,4.350288,996.1310527324677,9.797883,-0.003522107,131072,610.0977968999999,0.018896485,843.94
65,133120,198,0.0067819366,0.9604134522378445,4.3380194,1011.7068815231323,2.3962975,-0.0051889387,133120,605.5397304899999,0.08100586,839.68
66,135168,97,0.002784125,0.8933836296200752,4.3263674,1022.0089473724365,22.105196,-0.002636507,135168,615.29497268,0.02861328,843.36
67,137216,164,0.003822736,0.9599225632846355,4.307002,1042.9394707679749,2.560807,-0.0070930384,137216,619.5172363500001,0.039355468,847.28
68,139264,171,0.003478244,0.9328804984688759,4.2836447,1055.3542988300323,9.337267,-0.007266268,139264,637.53285353,0.037353516,864.49
69,141312,165,0.0040267413,0.9573236927390099,4.2795534,1067.310883283615,2.5881615,-0.0044279317,141312,652.66639259,0.039892577,880.64
70,143360,170,0.001774109,0.9598326794803143,4.2682157,1079.6717946529388,2.4946232,-0.00625475,143360,653.0748144699999,0.016796876,880.64
71,145408,198,0.005492921,0.9580716490745544,4.2400136,1091.6720705032349,2.422374,-0.006737878,145408,659.5081133,0.061425783,880.64
72,147456,170,0.0033245354,0.9587113708257675,4.2236915,1101.9871299266815,2.4882188,-0.0059394743,147456,676.78265432,0.032666016,897.39
73,149504,143,0.0028603137,0.88614172488451,4.229195,1113.9808735847473,14.618192,-0.00720526,149504,668.3673711199999,0.023583984,883.24
74,151552,171,0.0022262672,0.9595520794391632,4.22814,1128.2955062389374,2.4588733,-0.0036821445,151552,682.98125393,0.018798828,897.37
75,153600,129,0.0027819204,0.9155323058366776,4.227183,1140.2582285404205,11.124118,-0.0070539517,153600,686.5554883100002,0.032226562,900.17
