value_loss,time_elapsed,policy_entropy,total_timesteps,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates,ep_len_mean,ep_reward_mean
0.7931429,4.5299530029296875e-06,2.6741505,2048,2048,420,0.9745344296097755,-0.004076153,0.04018555,0.0038591824,1,,
5.634819,4.876186370849609,2.6705964,4096,4096,450,0.9204503819346428,-0.0082404995,0.058886718,0.0050742747,2,1136.5,673.897866
29.077118,9.426183223724365,2.673618,6144,6144,447,0.6674216985702515,-0.0053569777,0.029394532,0.0026240074,3,988.8333333333334,569.3678926666668
19.705118,14.006503343582153,2.6814542,8192,8192,449,0.8480561077594757,-0.0031505115,0.05,0.004567572,4,813.2,463.19744840000004
9.9600525,18.561891555786133,2.6895375,10240,10240,465,0.892281636595726,-0.0008726392,0.035009764,0.0031166247,5,717.8333333333334,399.63278883333334
16.695415,22.9654221534729,2.6979914,12288,12288,491,0.7961260676383972,-0.00326483,0.032958984,0.0030414439,6,811.8666666666667,459.3591580666667
18.889145,27.13563060760498,2.7014403,14336,14336,424,0.758283942937851,-0.0042528464,0.05415039,0.004731353,7,792.3888888888889,443.2467745
13.888229,31.965213298797607,2.7191908,16384,16384,463,0.8709884732961655,-0.005239661,0.05961914,0.005619542,8,761.4285714285714,424.350767
7.8887405,36.38463091850281,2.740488,18432,18432,356,0.9155584946274757,-0.002353935,0.023925781,0.0025473149,9,758.695652173913,422.05779078260866
14.595694,42.13013410568237,2.7458923,20480,20480,395,0.8241416811943054,-0.003140293,0.028710937,0.00279675,10,801.96,452.31230168
7.7811837,47.3127920627594,2.754496,22528,22528,422,0.8745147585868835,-0.0033870135,0.0390625,0.0036511193,11,808.5769230769231,455.86328469230773
8.868759,52.155592918395996,2.758152,24576,24576,514,0.831109419465065,-0.0036490075,0.05288086,0.0046401266,12,854.5185185185185,488.1813020740741
8.67872,56.13820767402649,2.764514,26624,26624,473,0.8840809836983681,-0.0034535234,0.05102539,0.004237974,13,897.1785714285714,518.57952525
18.695816,60.46135354042053,2.7699778,28672,28672,464,0.8348293900489807,-0.0026342187,0.038427733,0.0034849395,14,901.8709677419355,519.1112448387097
16.416952,64.86882638931274,2.7796075,30720,30720,476,0.8792780861258507,-0.007235029,0.04423828,0.003899488,15,896.5588235294117,515.7832847647059
11.20221,69.16378355026245,2.7916846,32768,32768,453,0.8700971454381943,-0.002317384,0.04111328,0.0038225513,16,929.4857142857143,539.1868123999999
9.7537565,73.68390822410583,2.7887752,34816,34816,436,0.8974982127547264,-0.0017976284,0.03339844,0.003163686,17,923.8378378378378,533.4146843513514
18.036272,78.37305974960327,2.7927978,36864,36864,437,0.835646390914917,-0.0041016666,0.053125,0.0047444236,18,873.547619047619,495.56295573809524
6.8785944,83.0546863079071,2.800776,38912,38912,465,0.943772479891777,-0.0014786476,0.0265625,0.0026573958,19,844.7727272727273,476.6417440681818
10.705309,87.4577910900116,2.8043747,40960,40960,494,0.856472373008728,-0.004531652,0.057666015,0.004773963,20,871.5333333333333,493.23909024444447
12.012728,91.59820365905762,2.80801,43008,43008,417,0.8858942985534668,-0.0037655507,0.047265626,0.003919981,21,882.8723404255319,500.9693492765957
11.45288,96.50456500053406,2.8160243,45056,45056,411,0.8324901759624481,-0.002058977,0.038183592,0.0034004897,22,907.1666666666666,516.7171150208334
11.297846,101.48132181167603,2.8227541,47104,47104,456,0.8276459872722626,-0.005920565,0.1,0.008532913,23,930.469387755102,532.2964774693878
9.492118,105.97291541099548,2.8187153,49152,49152,440,0.879826232790947,-0.0046952907,0.065625,0.005816699,24,952.84,547.35487834
8.644586,110.6273775100708,2.815098,51200,51200,478,0.8800737708806992,-0.0026810179,0.035449218,0.0032374181,25,974.3333333333334,561.6268071764706
17.692692,114.9219753742218,2.814579,53248,53248,456,0.8445536345243454,-0.00310356,0.02475586,0.0025364151,26,1001.1320754716982,579.0330026792453
9.777275,119.40452098846436,2.819303,55296,55296,487,0.8622518628835678,-0.006962499,0.08886719,0.0067374124,27,1020.5370370370371,591.422853925926
9.436422,123.60807657241821,2.823829,57344,57344,442,0.8869187757372856,-0.004110918,0.057861328,0.004811826,28,1039.2363636363636,603.6826552545455
13.055735,128.2386348247528,2.824534,59392,59392,472,0.8076664060354233,-0.0025340463,0.029541016,0.002894916,29,1057.267857142857,615.857965375
8.765898,132.577299118042,2.8299747,61440,61440,459,0.9230859577655792,-0.0007663168,0.03828125,0.003607986,30,1034.551724137931,599.8617057241379
10.53475,137.0362582206726,2.8244975,63488,63488,490,0.8853318020701408,-0.003039341,0.046044923,0.004083157,31,1051.7457627118645,612.1321409322034
16.356327,141.21342515945435,2.8210812,65536,65536,482,0.8630383610725403,-0.00077622803,0.04067383,0.00364106,32,1055.049180327869,614.2211901967214
9.931818,145.45502090454102,2.8190856,67584,67584,481,0.8759468719363213,-0.0037428488,0.03852539,0.0037973411,33,1071.0806451612902,626.8053162741936
14.833923,149.71000170707703,2.8263125,69632,69632,478,0.8665766716003418,-0.0026939234,0.039892577,0.0038324643,34,1078.53125,632.168351
8.702539,153.992258310318,2.827886,71680,71680,486,0.8868000209331512,-0.0028578513,0.06254883,0.005262031,35,1093.4615384615386,643.2067746153847
5.434427,158.20514154434204,2.8268254,73728,73728,457,0.9198080822825432,-0.0034465678,0.07001953,0.006405458,36,1088.060606060606,639.0886260757576
17.682873,162.68055129051208,2.8348806,75776,75776,410,0.8725317567586899,-0.0022550137,0.06616211,0.0053680614,37,1077.231884057971,631.531620478261
17.976053,167.66499400138855,2.8371387,77824,77824,467,0.7902402430772781,-0.002222705,0.020458985,0.0022168565,38,1095.8450704225352,643.818306943662
6.76439,172.04434084892273,2.8380039,79872,79872,492,0.9510446675121784,-0.003488866,0.06171875,0.005953209,39,1072.5753424657535,628.363560739726
10.894127,176.20143365859985,2.8396952,81920,81920,498,0.8270826488733292,-0.0013112718,0.03881836,0.0034140684,40,1085.7702702702702,637.8177140540541
13.074907,180.31401014328003,2.8371243,83968,83968,504,0.8795844987034798,-0.0041195625,0.046240233,0.0043686717,41,1102.6315789473683,650.6421975657895
8.217397,184.3765778541565,2.8320012,86016,86016,500,0.8918372839689255,-0.0042638043,0.03359375,0.0037680664,42,1100.4285714285713,649.1695300389612
9.838114,188.4661922454834,2.8377132,88064,88064,502,0.927024595439434,-0.004566853,0.0640625,0.0075299977,43,1093.6835443037974,644.7619967341774
13.591444,192.54372215270996,2.8337843,90112,90112,506,0.8806704729795456,-0.003202015,0.048193358,0.004498654,44,1095.0,646.7509364320988
9.590086,196.58393955230713,2.8264139,92160,92160,483,0.8558716475963593,-0.0001742285,0.036621094,0.003377342,45,1106.6341463414635,655.223331097561
13.06062,200.82330965995789,2.8234477,94208,94208,456,0.7906539291143417,-0.00407876,0.030810546,0.002964632,46,1117.987951807229,663.591285566265
15.340963,205.30545926094055,2.8184707,96256,96256,320,0.8175147026777267,-0.0037901648,0.050195314,0.0045857066,47,1127.9882352941177,670.0340439647059
11.248343,211.69560146331787,2.8167853,98304,98304,442,0.8570688217878342,-0.0029974864,0.07978515,0.006423979,48,1138.6976744186047,678.4972500465116
13.80827,216.32876014709473,2.8190637,100352,100352,458,0.867885947227478,-0.0020018076,0.04091797,0.003717427,49,1138.9772727272727,679.3257725681818
4.6332254,220.79534792900085,2.8103235,102400,102400,462,0.9377234764397144,-0.002165888,0.051074218,0.004420948,50,1129.0337078651685,672.683908988764
6.2650003,225.22795367240906,2.8037407,104448,104448,467,0.9171373471617699,-0.007134483,0.05234375,0.005233617,51,1138.0111111111112,678.719326
10.217326,229.6107816696167,2.8026023,106496,106496,471,0.8362759500741959,-0.0031219418,0.04111328,0.003547654,52,1148.021978021978,685.3950107692307
10.17329,233.95282077789307,2.7877042,108544,108544,495,0.8219555765390396,-0.0030684636,0.04975586,0.0042394805,53,1157.8152173913043,692.0511288369565
12.87855,238.08471155166626,2.7643678,110592,110592,488,0.798176720738411,-0.0022011918,0.04453125,0.0039209216,54,1167.3978494623657,698.5257703333333
11.86273,242.27940583229065,2.7533956,112640,112640,500,0.8854632899165154,-0.0038292892,0.050683595,0.0046131657,55,1167.1263157894737,698.8971628736842
16.117884,246.37164855003357,2.7588432,114688,114688,477,0.8296052664518356,-0.003635106,0.04638672,0.0040064184,56,1180.7835051546392,708.7385938453608
4.755251,250.66212272644043,2.767925,116736,116736,477,0.934977300465107,-0.00356411,0.04296875,0.0038909204,57,1171.5,702.5020545204083
12.409718,254.9530918598175,2.7782686,118784,118784,457,0.8487979769706726,-0.0038398418,0.06337891,0.005328917,58,1180.3636363636363,708.6794967878789
8.7793865,259.42609429359436,2.7718034,120832,120832,461,0.8625214844942093,-0.0023452325,0.043115236,0.004185713,59,1189.05,714.94907416
11.706612,263.86387610435486,2.769065,122880,122880,469,0.8268577754497528,-0.00438834,0.055419922,0.0045615933,60,1189.05,715.5322903399999
24.65572,268.22594809532166,2.7769322,124928,124928,457,0.8135394603013992,-0.0049927616,0.05419922,0.004704686,61,1180.68,710.1625212899999
9.773825,272.70389580726624,2.7825663,126976,126976,452,0.8903815224766731,-0.004887493,0.058447264,0.005100495,62,1198.91,723.0083679799999
8.501455,277.22890281677246,2.7739053,129024,129024,487,0.8852892741560936,-0.0019122999,0.054541014,0.0049441652,63,1217.03,735.0995435099999
10.195575,281.42739939689636,2.768374,131072,131072,470,0.8710071593523026,-0.0021665967,0.046044923,0.0041268463,64,1235.18,748.0661876299997
20.600227,285.7791473865509,2.7757154,133120,133120,445,0.7884081453084946,-0.007131836,0.06757812,0.0060072597,65,1244.03,752.44537809
11.974206,290.3771402835846,2.7884755,135168,135168,477,0.8457730710506439,-0.004262195,0.0362793,0.0033602368,66,1262.13,765.1444570300002
13.624921,294.6632750034332,2.797245,137216,137216,478,0.8656674325466156,-0.003390486,0.033251952,0.002791553,67,1256.89,761.99850802
12.897284,298.94517850875854,2.808027,139264,139264,449,0.8152099698781967,-0.0053704055,0.06318359,0.005182418,68,1270.16,771.8843303199999
18.591648,303.501184463501,2.8075862,141312,141312,452,0.7689097076654434,-0.0021633876,0.061083984,0.005197392,69,1260.56,765.1623442299999
12.396303,308.0266156196594,2.792457,143360,143360,468,0.886185497045517,-0.0038433238,0.05053711,0.0043450654,70,1253.86,760.9887547699999
15.510991,312.39830255508423,2.7851868,145408,145408,459,0.8935772106051445,-0.00492734,0.060839843,0.0053752433,71,1251.13,758.4875514099999
10.816021,316.8580539226532,2.7883484,147456,147456,449,0.854555681347847,-0.00090341025,0.031884767,0.0028468617,72,1261.88,766.20435452
11.320996,321.41168093681335,2.7883198,149504,149504,425,0.8558124899864197,-0.00080905313,0.058154296,0.0048037376,73,1236.09,746.99471366
