ep_reward_mean,time_elapsed,fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,ep_len_mean,policy_loss,approxkl,total_timesteps
272.7539033333333,2.1457672119140625e-06,377,0.7550264149904251,2.4944577,1,2048,20.239923,0.07680664,552.3333333333334,-0.001617436,0.006327209,2048
398.33055275000004,5.4263834953308105,462,0.8340659737586975,2.4847515,2,4096,8.888023,0.040527344,776.75,-0.0018655251,0.0037562451,4096
540.7788978333334,9.850174903869629,456,0.8659440875053406,2.4845357,3,6144,14.863024,0.047460936,921.8333333333334,-0.0010913691,0.0044372086,6144
369.6690195833334,14.333852291107178,452,0.7175512611865997,2.4903722,4,8192,30.77329,0.061035156,671.0,-0.004852934,0.0051057464,8192
259.70467999999994,18.86455535888672,397,0.8482636511325836,2.5039246,5,10240,29.99559,0.064697266,483.0,-0.004308383,0.0053935773,10240
285.26282426086954,24.01236367225647,442,0.8068715333938599,2.5245302,6,12288,18.270151,0.044433594,533.0,-0.0047273547,0.0038433217,12288
239.58966448387093,28.645752906799316,466,0.8027473837137222,2.537434,7,14336,28.130564,0.038671874,455.80645161290323,-0.0027254422,0.0033477359,14336
266.43279121875,33.03797745704651,503,0.7125840187072754,2.551804,8,16384,12.886691,0.03642578,505.59375,-0.00034974117,0.003429919,16384
264.4691176944445,37.10744905471802,477,0.8330830037593842,2.5494647,9,18432,16.733479,0.05234375,502.75,-0.004206811,0.004230057,18432
266.09832052499996,41.39486241340637,489,0.8575508296489716,2.5507987,10,20480,16.045088,0.05341797,503.5,-0.0010478173,0.0048275725,20480
241.36697878723402,45.58056092262268,487,0.7654768526554108,2.5560358,11,22528,25.089851,0.058154296,463.468085106383,-0.0049544326,0.0047145453,22528
234.70541241509432,49.77835464477539,445,0.8139773607254028,2.5678935,12,24576,24.141394,0.037158202,453.0566037735849,-0.0057619843,0.00359802,24576
252.03692107272724,54.37986755371094,447,0.8537674993276596,2.567421,13,26624,12.940954,0.03251953,483.7818181818182,-0.0034428127,0.0029711053,26624
246.39448326315792,58.96080255508423,403,0.918932281434536,2.5629344,14,28672,9.208931,0.03691406,475.4561403508772,-0.004126528,0.0033751628,28672
250.673563703125,64.0336344242096,403,0.8131986856460571,2.5599613,15,30720,28.354786,0.04902344,475.5625,-0.0010551268,0.004194582,30720
256.07449344615384,69.11322784423828,420,0.8772137314081192,2.5638742,16,32768,6.363443,0.039208986,486.0,-0.0026902545,0.0037051071,32768
266.1189255882353,73.985830783844,467,0.8337038606405258,2.57079,17,34816,18.063454,0.037890624,505.79411764705884,-0.0037683006,0.003442882,34816
257.8593749041096,78.36377882957458,432,0.6491341292858124,2.570982,18,36864,18.451141,0.048583984,496.0,-0.005177171,0.0043402934,36864
266.29644306666665,83.10035514831543,427,0.8040209114551544,2.570843,19,38912,14.303595,0.04506836,510.85333333333335,-0.002619518,0.0040177857,38912
261.5909948888889,87.89152479171753,458,0.7399450838565826,2.57667,20,40960,26.14679,0.024902344,504.5308641975309,-0.0018944893,0.0022436439,40960
259.3570471585366,92.36097526550293,457,0.9398188963532448,2.5823412,21,43008,3.8715553,0.08178711,501.2317073170732,-0.0038870468,0.007139678,43008
259.8775365617978,96.84082746505737,485,0.751136839389801,2.5848465,22,45056,30.556385,0.041552734,502.65168539325845,-0.0031629466,0.0038925551,45056
258.66964216129037,101.05667638778687,444,0.7895826250314713,2.5898914,23,47104,18.985744,0.034277342,502.31182795698925,-0.002611329,0.003124559,47104
248.48515065,105.66461944580078,444,0.7319536507129669,2.5919034,24,49152,29.357962,0.030273438,484.3,-0.004162838,0.0029082973,49152
260.55331057,110.27188539505005,484,0.7670335918664932,2.5984678,25,51200,9.780774,0.067871094,500.29,-0.0056993216,0.005703063,51200
264.54664374000004,114.51323580741882,490,0.9183927401900291,2.6018715,26,53248,5.884272,0.06567383,501.41,-0.0013031599,0.0057838163,53248
250.75588965999998,118.68682193756104,446,0.8891775980591774,2.6006117,27,55296,8.216298,0.037744142,483.34,-0.002828196,0.00344077,55296
255.18682507999998,123.27476644515991,430,0.8093788027763367,2.6151335,28,57344,24.489449,0.046044923,491.01,-0.005975255,0.0037011479,57344
258.42550769999997,128.03386759757996,429,0.8934520110487938,2.6300817,29,59392,6.52136,0.030419922,496.11,-0.002388803,0.0028410566,59392
268.65113943000006,132.80536532402039,439,0.7418812215328217,2.6384475,30,61440,31.941778,0.0418457,518.56,-0.0044635134,0.0038476712,61440
266.03799334,137.4705455303192,382,0.8688441663980484,2.6380591,31,63488,14.092516,0.06298828,514.4,-0.0042493045,0.0054295706,63488
272.94838675999995,142.8260519504547,330,0.8799093663692474,2.640201,32,65536,11.00179,0.050048828,528.06,-0.005142132,0.004494055,65536
251.24580611000005,149.01569986343384,378,0.6878149807453156,2.6386588,33,67584,28.513718,0.04799805,490.91,-0.0043880804,0.004289078,67584
256.61909354000005,154.42538022994995,382,0.8647232204675674,2.6383398,34,69632,11.826304,0.040283203,501.19,-0.0055626365,0.003616531,69632
252.88883036,159.77412223815918,379,0.9160437285900116,2.6369512,35,71680,8.957568,0.029199218,495.33,-0.0033291802,0.0027753392,71680
254.94000107,165.1691460609436,352,0.8005487322807312,2.6325037,36,73728,26.952084,0.035058595,498.87,-0.004032403,0.0032282514,73728
259.53231087,170.98589634895325,438,0.862377792596817,2.6326249,37,75776,16.348114,0.07353516,508.34,-0.006562176,0.0063715195,75776
258.91245675000005,175.65428757667542,349,0.8340084701776505,2.6371553,38,77824,19.162045,0.040478516,506.66,-0.0038572685,0.0037083682,77824
246.04306395000003,181.5137643814087,380,0.6868267953395844,2.6434548,39,79872,19.79624,0.072705075,490.51,-0.007618428,0.0073966407,79872
239.85841234,186.90299725532532,409,0.8027014434337616,2.6505687,40,81920,18.880384,0.049072266,481.91,-0.004874804,0.004504133,81920
251.52245249999999,191.90147399902344,418,0.8152625858783722,2.6507773,41,83968,12.270731,0.05678711,499.14,0.00033762306,0.0051686894,83968
261.61057695999995,196.7957239151001,427,0.80601005256176,2.6409848,42,86016,11.413765,0.044628907,515.34,-0.000569526,0.003979739,86016
271.867004,201.59193754196167,432,0.792601004242897,2.6356835,43,88064,12.141499,0.056689452,528.2,-0.0050021363,0.005106789,88064
263.48926849,206.33201122283936,390,0.8852486312389374,2.6493087,44,90112,9.358882,0.04926758,510.9,-0.0024635436,0.004255283,90112
272.74108179,211.582750082016,442,0.8137642741203308,2.6656291,45,92160,17.44853,0.057519533,524.18,-0.0027645098,0.0048617614,92160
