total_timesteps,approxkl,n_updates,ep_len_mean,serial_timesteps,policy_entropy,clipfrac,policy_loss,value_loss,time_elapsed,fps,explained_variance,ep_reward_mean
79872,0.0033249012,39,254.72,79872,1.8551733,0.035791017,-0.0041556773,41.734455,133.8146414756775,588,0.8220767676830292,245.50301441999997
81920,0.0022575622,40,251.48,81920,1.8686612,0.021875,-0.002307335,39.852627,137.29622220993042,604,0.8505305796861649,242.39578081000002
83968,0.0018178957,41,251.33,83968,1.8952124,0.0147949215,-0.0025042589,42.53281,140.68337440490723,587,0.848826989531517,242.24256853999995
86016,0.0027643384,42,251.29,86016,1.9164636,0.029541016,-0.0023655016,43.264763,144.17066383361816,599,0.7616982609033585,242.14847525000002
88064,0.0021995823,43,252.42,88064,1.9248205,0.020458985,-0.00063090224,47.394966,147.58575916290283,604,0.4643019437789917,243.16255938000003
90112,0.0028197553,44,257.48,90112,1.9323089,0.028515626,-0.004212111,43.686882,150.97441935539246,610,0.7451542615890503,247.99929140000003
92160,0.0024945454,45,270.71,92160,1.937431,0.022900391,-0.0021559005,43.653355,154.33243441581726,539,0.6680422723293304,260.62754614
94208,0.0014401736,46,278.93,94208,1.9480207,0.013671875,-0.00040279515,44.36299,158.12988114356995,588,0.6579324007034302,268.26249457
96256,0.0030070345,47,286.08,96256,1.9678319,0.034082033,-0.0037932037,45.05687,161.61205315589905,590,0.6210649609565735,275.17590223999997
98304,0.0027127455,48,295.67,98304,1.9898993,0.025732422,-0.0014363113,43.313473,165.0801236629486,590,0.7208234369754791,284.39858454
100352,0.0025473125,49,304.26,100352,2.0109994,0.025927734,-0.003891313,39.85711,168.54636883735657,585,0.8197559714317322,292.72541542000005
102400,0.0021485402,50,312.35,102400,2.0233257,0.022021484,-0.003145234,42.5593,172.04236555099487,575,0.654716968536377,300.56763501
104448,0.0037188823,51,324.98,104448,2.0329788,0.044433594,-0.0048634303,41.595753,175.60426783561707,597,0.622911274433136,312.59266401
106496,0.0030425643,52,333.98,106496,2.0433557,0.03730469,-0.00352811,42.944576,179.03021264076233,589,0.437380850315094,321.20155858000004
108544,0.0016202636,53,343.87,108544,2.0486526,0.012890625,-0.0010888218,41.22067,182.50324034690857,605,0.5102786421775818,330.65392775
110592,0.002075422,54,350.77,110592,2.059234,0.017773438,-0.000547517,39.352043,185.888827085495,569,0.5486315190792084,337.09894885
