n_updates,explained_variance,fps,ep_reward_mean,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,ep_len_mean,policy_entropy,value_loss
14,-0.13291919231414795,569,134.12515561363637,28672,48.7581787109375,0.0025450839,-0.0005702176,0.022705078,28672,628.25,1.4379764,3.506913
15,-0.21574044227600098,573,141.50778559999998,30720,52.354339599609375,0.004117539,-0.002073859,0.03984375,30720,659.8222222222222,1.4377764,3.358413
16,-0.030451416969299316,560,148.45609941304346,32768,55.922908306121826,0.0028000674,-0.0010178481,0.021728516,32768,690.0217391304348,1.4329758,3.396785
17,-0.07129514217376709,558,155.80779923404256,34816,59.5770480632782,0.0025019674,-0.0012571194,0.023828125,34816,718.936170212766,1.4381766,3.878991
18,-0.26400113105773926,566,162.86085591666665,36864,63.24606776237488,0.003021897,-0.001853854,0.02998047,36864,746.6458333333334,1.4483447,3.102317
19,0.15121597051620483,577,168.81703877551018,38912,66.86404347419739,0.0033266544,-0.0006360528,0.03701172,38912,773.2244897959183,1.4589456,2.1325536
20,-0.025818228721618652,578,174.25893399999998,40960,70.40805006027222,0.0025149223,-0.00068764074,0.019384766,40960,798.74,1.4610237,2.120504
21,-0.08247578144073486,581,179.53359639215682,43008,73.95123624801636,0.0036312253,-0.0018200834,0.03803711,43008,823.2549019607843,1.4506721,1.8878018
22,0.04504895210266113,575,184.7213738076923,45056,77.47509527206421,0.003380837,-0.002431891,0.03515625,45056,846.8269230769231,1.4527782,2.0254781
23,-0.017673850059509277,570,189.3549316981132,47104,81.03431510925293,0.0042488594,-0.0015282225,0.04916992,47104,869.5094339622641,1.451335,1.704147
24,0.0945587158203125,561,193.1296051090909,49152,84.6256890296936,0.0032643075,-0.00030494103,0.03339844,49152,887.2181818181818,1.453645,1.8936447
25,-0.024361252784729004,555,197.52287864285714,51200,88.27404832839966,0.0031507157,-0.0013412124,0.033691406,51200,907.9642857142857,1.4639881,1.6703863
26,0.16615331172943115,557,197.48287379310347,53248,91.97656106948853,0.0029230588,-0.0023022399,0.032226562,53248,909.5,1.4683853,1.4581282
27,0.3487255573272705,571,198.13726313559323,55296,95.64950776100159,0.0032096629,-0.0007421487,0.030126953,55296,913.8135593220339,1.4729918,1.2569425
28,0.400789737701416,516,199.99839626229507,57344,99.23298740386963,0.0034402914,-0.0035949242,0.035742186,57344,922.8196721311475,1.4687064,1.5900013
29,0.4493091106414795,529,203.91267925806451,59392,103.19750142097473,0.0063870824,-0.004642075,0.08408203,59392,940.983870967742,1.4702821,1.0655
30,0.4513621926307678,553,205.94475446875,61440,107.0642557144165,0.005396804,-0.006246305,0.06337891,61440,952.140625,1.471943,1.0463089
31,0.60983607172966,559,203.37135070149253,63488,110.76534795761108,0.003952972,-0.0033277392,0.047558594,63488,942.6268656716418,1.4664497,1.0910323
32,0.7381296157836914,551,205.69621714705883,65536,114.42845153808594,0.00376602,-0.0018388234,0.044873048,65536,955.2941176470588,1.4650561,0.6571282
33,0.6518213152885437,553,208.8168654347826,67584,118.13998413085938,0.004805907,-0.0020354784,0.055517577,67584,971.1449275362319,1.4555132,0.77747196
34,0.4108734130859375,550,212.16148589999997,69632,121.84323716163635,0.0039413716,0.00026446173,0.04350586,69632,986.5428571428571,1.4447422,0.77465814
35,0.21903318166732788,564,215.5094107887324,71680,125.56539368629456,0.004917397,-0.0025349627,0.057666015,71680,1001.5070422535211,1.4409184,0.8514757
36,0.2971053719520569,526,218.85583351388888,73728,129.19292449951172,0.005220378,-0.0021890556,0.06459961,73728,1016.0555555555555,1.4321291,0.8217576
37,0.23415762186050415,578,222.19961012328767,75776,133.08522939682007,0.0051045376,-0.0041077477,0.06293945,75776,1030.2054794520548,1.4419261,0.8728694
38,0.10491889715194702,586,225.56988886486485,77824,136.62547993659973,0.0055732913,-0.0018213505,0.069726564,77824,1043.972972972973,1.4648929,0.8762026
39,0.035826146602630615,539,228.97419006666664,79872,140.11897993087769,0.005897513,-0.002849903,0.07558594,79872,1057.3733333333332,1.4780265,0.93309325
40,0.05735814571380615,557,232.3312239473684,81920,143.9140284061432,0.003197005,-0.001373877,0.03466797,81920,1070.421052631579,1.4954214,0.9074127
