policy_loss,fps,total_timesteps,clipfrac,n_updates,approxkl,time_elapsed,policy_entropy,serial_timesteps,value_loss,explained_variance,ep_reward_mean,ep_len_mean
-0.007915128,233,2048,0.06601562,1,0.00563986,1.0728836059570312e-05,4.808179,2048,0.7871481,0.9898076532408595,,
-0.0060275653,116,4096,0.05126953,2,0.0044877874,8.780256509780884,4.805138,4096,27.092478,0.8714024275541306,1068.338867,1238.3333333333333
-0.004325022,97,6144,0.015625,3,0.0015537741,26.38038468360901,4.80914,6144,23.769825,0.903760515153408,573.3830634285715,744.2857142857143
-0.0037597741,106,8192,0.031445313,4,0.0026754474,47.39257073402405,4.8167634,8192,22.432728,0.9157494232058525,453.58733716666666,626.8333333333334
-0.004435611,78,10240,0.026171874,5,0.002464413,66.63719892501831,4.8217945,10240,24.371426,0.85065096616745,385.4181748333333,560.0
-0.0028996903,126,12288,0.019433593,6,0.0018951644,92.72025656700134,4.822949,12288,10.102128,0.9599233083426952,354.89375919047615,529.0952380952381
-0.006951383,178,14336,0.06933594,7,0.006490629,108.86970734596252,4.8169847,14336,2.708085,0.9621161632239819,385.4588954999999,558.5909090909091
-0.0011919105,67,16384,0.008984375,8,0.0009950742,120.33121800422668,4.805404,16384,28.114685,0.7815468609333038,414.08226992592586,592.4444444444445
-0.002975543,101,18432,0.019628907,9,0.0019713384,150.48950481414795,4.803565,18432,25.098606,0.8406449258327484,383.47135615624995,564.46875
-0.010272777,188,20480,0.061816406,10,0.0058057234,170.59937167167664,4.7725286,20480,1.39889,0.9835793878883123,377.98763609090906,558.5757575757576
-0.0060284995,119,22528,0.038867187,11,0.0039253994,181.49085760116577,4.750038,22528,12.995328,0.9479614719748497,409.3204480833333,590.3333333333334
-0.0051773936,200,24576,0.03828125,12,0.0043229917,198.5916392803192,4.7207503,24576,2.5718756,0.9639057330787182,429.07459348648644,608.8918918918919
-0.0048413174,178,26624,0.02578125,13,0.0029413437,208.7997214794159,4.6844907,26624,2.6233017,0.9660675302147865,467.6659127894737,646.7631578947369
-0.0036522434,127,28672,0.027246093,14,0.0025937273,220.3061397075653,4.67381,28672,14.748182,0.9227387979626656,495.4342987317073,677.0
-0.0057399897,171,30720,0.027294923,15,0.002878902,236.3849115371704,4.6736083,30720,3.1854992,0.9657406769692898,500.4963773809524,682.6904761904761
-0.006225922,100,32768,0.033740234,16,0.0033445288,248.34218621253967,4.672274,32768,16.080156,0.9274792745709419,517.2150086444445,701.3333333333334
-0.0026292254,165,34816,0.023046875,17,0.0023009991,268.7308967113495,4.6888847,34816,2.6442955,0.9675546549260616,527.8399074130435,712.3695652173913
-0.0037991055,177,36864,0.022900391,18,0.0024348174,281.09379029273987,4.6893816,36864,3.5175464,0.9676697701215744,556.1095245744681,740.7872340425532
-0.0026824502,108,38912,0.014355469,19,0.0017213458,292.6215751171112,4.690681,38912,15.113172,0.9210688546299934,570.65406248,760.2
-0.006746319,178,40960,0.103710935,20,0.008678799,311.4722590446472,4.678799,40960,2.5022552,0.96921874769032,573.6316597450981,763.0
-0.0063752807,175,43008,0.03149414,21,0.0031289943,322.9263617992401,4.6436734,43008,2.4393828,0.9600805677473545,598.58689525,787.7115384615385
-0.011231168,168,45056,0.14848633,22,0.010477587,334.606641292572,4.6175194,45056,3.0626483,0.9509095586836338,623.1560141132076,811.4905660377359
-0.0052641714,122,47104,0.030078124,23,0.0030880794,346.74382877349854,4.6164074,47104,8.695112,0.9540349543094635,637.1606356181818,826.9454545454546
-0.005712352,101,49152,0.03173828,24,0.0028045601,363.41352105140686,4.622264,49152,16.248554,0.9105720072984695,639.4716392413793,831.7758620689655
-0.006680333,146,51200,0.049609374,25,0.004817262,383.5704872608185,4.63562,51200,6.454583,0.9657323956489563,634.3860253666667,827.0666666666667
-0.005383304,160,53248,0.0362793,26,0.0031685561,397.5384006500244,4.6431675,53248,6.8015594,0.9639407731592655,640.0067099032259,832.2258064516129
-0.0051837815,170,55296,0.12719727,27,0.009360635,410.32786083221436,4.642183,55296,2.579704,0.9621238671243191,651.9318638095237,845.2222222222222
-0.007454899,175,57344,0.029882813,28,0.0035942215,422.3462302684784,4.636409,57344,2.6221912,0.9697742015123367,670.9858031875,864.015625
-0.0038646322,148,59392,0.03300781,29,0.003007064,434.00059604644775,4.6428733,59392,6.990359,0.966026172041893,681.6467388333333,876.1060606060606
-0.0067013465,171,61440,0.046972655,30,0.004190139,447.8072021007538,4.636505,61440,2.4614208,0.9635726511478424,692.17545180597,886.4626865671642
