n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,ep_len_mean,clipfrac,explained_variance,ep_reward_mean,policy_entropy,fps
1,-0.00516693,9.844897,2048,0.0058587315,2048,3.0994415283203125e-06,514.0,0.0703125,0.926066167652607,235.670107,3.796716,435
2,-0.0017014558,14.268069,4096,0.0037927604,4096,4.704363107681274,1281.5,0.042382814,0.913485661149025,859.1029635,3.7917018,420
3,-0.0015752263,19.258244,6144,0.002245049,6144,9.573344469070435,1093.4,0.020654297,0.8411227911710739,733.0653093999999,3.7923923,474
4,-0.0044724965,15.841553,8192,0.0047896747,8192,13.888258695602417,1144.0,0.05131836,0.9332082718610764,785.2885262857143,3.7940679,433
5,-0.0016078183,19.750736,10240,0.0024097036,10240,18.61527132987976,1257.125,0.0234375,0.8677056133747101,876.152689125,3.7985234,460
6,-0.0017233124,12.088499,12288,0.0054947175,12288,23.06088638305664,1345.111111111111,0.0671875,0.7698430866003036,920.9423721111111,3.8035603,440
7,-0.0027629014,18.509624,14336,0.0052149836,14336,27.714244842529297,1415.5,0.06435547,0.8889088705182076,999.5323549000001,3.7979236,412
8,-0.0017168324,20.376898,16384,0.0031681359,16384,32.684659242630005,1473.090909090909,0.0328125,0.8465949296951294,1053.2943779090908,3.7874215,407
9,-0.0020427199,13.354052,18432,0.006477952,18432,37.706475019454956,1521.0833333333333,0.08149414,0.7851359397172928,1074.0813035833332,3.7817388,423
10,-0.0023674578,10.988696,20480,0.0033830088,20480,42.53881883621216,1561.6923076923076,0.038085938,0.9277016073465347,1121.6254942307692,3.7868972,414
11,-0.004111397,15.419162,22528,0.0055460813,22528,47.48198485374451,1596.5,0.057373047,0.7030141055583954,1131.8361856428571,3.8016999,433
12,-0.007023978,15.071184,24576,0.005055262,24576,52.210575580596924,1626.6666666666667,0.06015625,0.840712770819664,1162.6942208666665,3.8132844,444
13,-0.0027511534,11.6089115,26624,0.006853705,26624,56.814188957214355,1653.0625,0.08520508,0.7687456160783768,1170.072883625,3.811624,444
14,-0.005949705,15.085136,28672,0.005598464,28672,61.419201612472534,1676.3529411764705,0.06386719,0.744269609451294,1178.9723264117647,3.8224225,441
15,-0.0035029543,18.80232,30720,0.0033618268,30720,66.06313252449036,1697.0555555555557,0.035742186,0.812799260020256,1199.2866688333334,3.8259728,439
16,-0.0063934363,6.9876657,32768,0.005318817,32768,70.72169399261475,1664.7368421052631,0.063085936,0.8956979438662529,1172.3143104736841,3.820483,457
17,-0.0048017027,19.871675,34816,0.0045536915,34816,75.19982576370239,1627.1904761904761,0.053857423,0.8010914474725723,1133.2077499047618,3.832021,443
18,-0.0015711954,23.717136,36864,0.0032422147,36864,79.82083082199097,1597.608695652174,0.03564453,0.8681780397891998,1112.3966343043478,3.828982,424
19,-0.00316562,15.718248,38912,0.005182306,38912,84.64470529556274,1616.4166666666667,0.063769534,0.8312877267599106,1128.6611947916665,3.8245463,434
20,-0.0029996815,7.3546133,40960,0.005712511,40960,89.36081886291504,1581.84,0.064208984,0.9593015089631081,1103.91179708,3.8226438,396
21,-0.004645597,25.791256,43008,0.0038390537,43008,94.53136491775513,1560.1851851851852,0.04663086,0.8699697256088257,1098.9247347407409,3.8269477,419
22,-0.0033252663,19.542284,45056,0.0061356653,45056,99.41785001754761,1577.642857142857,0.07719727,0.8643476217985153,1114.0721258214285,3.8277721,415
23,-0.0017289547,17.083233,47104,0.0041762106,47104,104.34445333480835,1593.896551724138,0.048046876,0.8954634442925453,1138.2270252758622,3.8302147,412
24,-0.003422229,19.236803,49152,0.0060388413,49152,109.31491541862488,1609.0666666666666,0.072021484,0.8510715812444687,1158.0044294,3.831634,424
