#{"t_start": 1751044963.5904226, "env_id": null}
r,l,t
1862.138164,2049,5.342864
1287.770681,1520,8.350325
368.436874,681,9.963598
177.079797,365,10.705986
212.036173,402,11.467996
96.146379,236,11.856811
198.442464,386,12.504286
1736.872081,2049,16.603662
277.121823,552,17.995494
1820.397469,2049,22.17938
995.799103,1643,25.186232
234.16692,421,26.245075
1872.084077,2049,30.579557
234.000807,446,31.327401
404.733882,722,32.820945
1808.525491,2049,37.581245
166.719854,359,38.184582
95.447261,234,38.628897
1845.499995,2049,43.576916
387.077034,687,45.088346
1853.952104,2049,49.550699
358.107795,600,50.612859
107.191567,273,51.06793
1843.646108,2049,55.419786
1778.566157,2049,59.677834
912.57375,1138,62.194122
1772.633435,2049,66.493255
396.448131,690,67.69231
485.930416,773,69.115496
183.41922,321,70.026193
182.310302,387,70.658992
177.507528,367,71.307247
193.94585,385,71.962947
1806.588947,2049,76.224653
200.948513,404,76.872783
1764.718267,2049,81.300447
239.263604,495,82.545602
1726.706668,2049,86.8704
1106.335094,1455,89.578387
1858.364917,2049,94.026846
194.535308,374,94.719426
389.897482,713,96.346709
95.994424,245,96.755518
339.20635,587,97.793949
353.54245,630,99.309387
228.914366,385,99.972415
157.683575,338,100.537122
376.495127,627,101.689368
196.116529,385,102.350146
1769.440127,2049,106.827098
1683.539452,2049,111.158605
108.846918,269,111.984523
117.09622,260,112.409069
103.385082,252,112.844282
211.659663,408,113.573115
194.985479,382,114.199455
1729.67363,2049,118.604274
286.959271,533,119.633027
1829.410031,2049,124.034804
154.499344,304,124.881347
114.139622,261,125.341072
237.309691,445,126.117304
118.049338,269,126.580415
364.28084,581,127.672415
1681.815424,2049,132.140537
1778.25009,2049,136.393131
149.458628,287,136.865404
131.781799,268,137.649676
218.86464,412,138.338588
255.666689,407,139.035562
150.506946,293,139.56086
400.693551,715,140.900109
149.793542,296,141.864007
1801.391061,2049,146.456766
186.829888,352,147.10601
355.123565,648,148.272568
1842.424608,2049,152.711882
289.55585,502,153.603315
519.335351,755,155.290661
186.379576,366,155.90931
175.873566,364,156.543453
1818.469359,2049,160.723661
388.860666,580,161.746875
515.483681,899,163.594391
1836.447982,2049,167.758748
1840.070252,2049,171.904894
16.439666,55,171.993132
150.477912,321,172.513664
1766.696694,2049,176.691513
90.537206,243,177.104809
1675.774259,1998,180.97883
89.181688,239,181.399816
169.163255,363,181.969044
366.236435,683,183.445098
19.449201,66,183.559465
1759.475445,2049,187.792188
1832.630138,2049,191.882668
248.034766,501,192.709409
178.529707,331,193.236766
332.750995,570,194.189627
23.186503,108,194.376458
1789.08999,2049,198.541135
151.315996,298,199.466931
1849.298103,2049,203.750924
491.786934,849,205.320837
175.670636,362,205.928082
1842.447795,2049,210.147019
207.850227,391,210.799936
348.199435,638,212.211317
189.95455,355,212.785586
110.788355,262,213.200564
595.730896,1025,215.43508
1827.972119,2049,219.54648
200.964213,398,220.235052
203.075748,385,220.880572
179.140647,368,221.522359
193.186024,374,222.097055
305.244305,510,223.251005
194.294888,375,223.862111
306.343103,548,224.745449
277.964153,511,225.62589
1846.200941,2049,229.843843
416.655062,681,231.390226
223.545095,382,232.012465
234.476191,425,232.713389
177.516924,365,233.301136
192.726224,347,233.875225
1142.968419,1395,236.642564
340.789258,590,237.600613
466.84775,803,239.2384
1799.650343,2049,243.22485
85.660934,224,243.59152
84.11191,230,243.968426
275.095209,544,244.842908
228.397006,459,245.645926
102.898718,251,246.057438
405.834846,695,247.540074
193.82424,387,248.162449
212.204644,451,248.860004
99.28237,256,249.298861
125.815275,320,250.149123
