policy_loss,serial_timesteps,policy_entropy,fps,time_elapsed,value_loss,clipfrac,explained_variance,approxkl,n_updates,total_timesteps,ep_len_mean,ep_reward_mean
-0.011641003,2048,4.812868,441,1.6689300537109375e-06,0.3182655,0.12045898,0.9940955629572272,0.009621404,1,2048,,
-0.007297301,4096,4.802384,468,4.6372902393341064,8.525923,0.039941408,0.9556669779121876,0.0037202227,2,4096,1784.5,1574.9544225
-0.0038551795,6144,4.8012314,514,9.00952959060669,21.34985,0.013183594,0.8895536065101624,0.0015223809,3,6144,805.5714285714286,600.292933142857
-0.0020194477,8192,4.7916884,485,12.987361431121826,20.559114,0.019384766,0.8615785241127014,0.0020615705,4,8192,961.0,742.365326625
-0.004313044,10240,4.7898073,494,17.202269077301025,4.4133825,0.04916992,0.9641294814646244,0.0041848673,5,10240,915.5555555555555,690.671604
-0.0019669712,12288,4.792901,500,21.344667196273804,24.850441,0.016992187,0.6671532392501831,0.001673178,6,12288,1084.7272727272727,821.1128189090908
-0.0053655584,14336,4.7985125,476,25.43756604194641,2.9024189,0.03769531,0.9755862951278687,0.0044127717,7,14336,1029.4166666666667,772.2006606666665
-0.0018473578,16384,4.8027673,454,29.73479461669922,28.014688,0.022607422,0.8640750348567963,0.0021259752,8,16384,1038.0,785.1484462666666
-0.003743007,18432,4.804202,459,34.239296436309814,25.75443,0.02211914,0.9127219021320343,0.0028377934,9,18432,1011.7777777777778,769.32885
-0.004013051,20480,4.811364,422,38.70035123825073,19.386087,0.08491211,0.810519814491272,0.0064996234,10,20480,1066.3684210526317,825.9694365789474
-0.0024042786,22528,4.810895,472,43.552258253097534,3.16821,0.024414062,0.9802680313587189,0.0023842794,11,22528,1047.4,804.02481645
-0.0050464654,24576,4.8119802,498,47.88836050033569,32.003494,0.030761719,0.8697305917739868,0.0029297601,12,24576,1037.8260869565217,799.9890345652174
-0.0024013584,26624,4.8097696,476,51.99560618400574,20.967962,0.052099608,0.8259806334972382,0.0039896867,13,26624,1079.9583333333333,843.4747459583332
-0.0031455923,28672,4.816519,468,56.29850244522095,19.793152,0.07329102,0.8065372258424759,0.0054507083,14,28672,1118.72,880.8784023999999
-0.008115525,30720,4.81758,479,60.67440581321716,8.091047,0.05205078,0.9362609758973122,0.0043027033,15,30720,1119.4615384615386,882.0974542307691
-0.0059715444,32768,4.8142195,504,64.94352078437805,36.280865,0.043310545,0.829757809638977,0.0035304439,16,32768,1124.7586206896551,882.3981307586206
-0.0033482325,34816,4.8085465,522,69.00526666641235,18.188532,0.011523438,0.9166299626231194,0.0014477386,17,34816,1032.6666666666667,797.7796573333334
-0.00056089566,36864,4.808558,493,72.92833733558655,22.646763,0.016308594,0.9058790430426598,0.0016138215,18,36864,1043.7428571428572,809.5504614857143
-0.0023698336,38912,4.811202,458,77.08050513267517,19.555145,0.0390625,0.8668428957462311,0.0033537135,19,38912,1071.6666666666667,836.0829005277778
-0.002565584,40960,4.814066,474,81.54575324058533,8.011087,0.019238282,0.9405084438621998,0.0023422374,20,40960,1056.081081081081,819.9526492702703
-0.002695044,43008,4.8129582,487,85.86503171920776,15.876271,0.010107422,0.9125029668211937,0.0012475832,21,43008,1091.7692307692307,850.545891923077
-0.0041024466,45056,4.819214,465,90.06293749809265,22.831745,0.029296875,0.8757389262318611,0.0026779757,22,45056,1097.6097560975609,859.126585609756
-0.004602945,47104,4.8235908,513,94.46016502380371,22.314194,0.029052734,0.8034714758396149,0.0028661839,23,47104,1057.8863636363637,819.3020060454545
-0.0034102362,49152,4.8262954,511,98.45028305053711,28.34848,0.018115234,0.7953585833311081,0.0018891937,24,49152,998.204081632653,762.490618632653
-0.0060877344,51200,4.834981,457,102.45143389701843,19.657185,0.075927734,0.8395269811153412,0.0059085186,25,51200,1019.22,782.6296088
-0.00282786,53248,4.827794,477,106.93725657463074,21.848652,0.032421876,0.8502666801214218,0.0031501085,26,53248,1039.4117647058824,800.2945076862744
-0.002874362,55296,4.8191714,522,111.22551798820496,22.343695,0.02060547,0.8735081404447556,0.001971105,27,55296,974.6607142857143,741.9820223928572
-0.0036054228,57344,4.8226557,460,115.14485931396484,25.507065,0.037158202,0.8704938590526581,0.0044385637,28,57344,985.5689655172414,751.1659681896551
-0.001866788,59392,4.8238,467,119.5925452709198,19.415174,0.037402343,0.8242793828248978,0.0035020742,29,59392,1003.5932203389831,769.4412912881355
-0.0047474788,61440,4.8315134,509,123.97542834281921,16.61765,0.021533202,0.911366380751133,0.0019175227,30,61440,954.25,724.770547203125
-0.0051641846,63488,4.8323846,463,127.99853253364563,20.326736,0.0340332,0.8312164396047592,0.0032904737,31,63488,971.0923076923077,739.4943145384616
-0.0023259711,65536,4.821381,484,132.42090487480164,22.23816,0.035839844,0.8748829215764999,0.0035937852,32,65536,976.9701492537314,746.1916292985076
-0.0073797368,67584,4.8125677,513,136.65141773223877,26.086262,0.04482422,0.8473471701145172,0.005189349,33,67584,938.2222222222222,710.4493442777779
-0.005144137,69632,4.806716,451,140.6385486125946,3.8805218,0.038378906,0.9753889609128237,0.0033131926,34,69632,929.4246575342465,702.7691278082192
-0.0020953985,71680,4.803458,492,145.17542791366577,36.031868,0.034472656,0.8189627826213837,0.003285497,35,71680,932.8552631578947,705.861721631579
-0.002578573,73728,4.8093305,465,149.33403706550598,26.620306,0.03696289,0.8458585888147354,0.0034905858,36,73728,941.6410256410256,715.095785923077
-0.004704816,75776,4.806498,500,153.73419666290283,9.92668,0.029394532,0.9612047336995602,0.0027921873,37,75776,925.0987654320987,699.4945653703704
-0.004479804,77824,4.813746,514,157.82576870918274,30.526031,0.038720705,0.8316264599561691,0.0032609925,38,77824,934.4819277108434,709.2336122891567
-0.0046463283,79872,4.825448,509,161.8050022125244,4.8360567,0.038427733,0.9685219153761864,0.003554171,39,79872,934.0595238095239,706.9270654880953
-0.003697611,81920,4.82963,496,165.82786536216736,19.452724,0.06635742,0.8101444095373154,0.0050489185,40,81920,947.1764705882352,720.2155468588235
-0.0023534843,83968,4.838935,500,169.95600175857544,26.584295,0.0171875,0.9017941504716873,0.0018347509,41,83968,942.4431818181819,718.4694240113637
-0.0035984733,86016,4.837192,509,174.04565453529358,22.442886,0.02841797,0.8980461359024048,0.0027125396,42,86016,946.9666666666667,723.1393690333334
-0.002412229,88064,4.828206,522,178.06723523139954,13.274994,0.021533202,0.9593204259872437,0.00211572,43,88064,944.3763440860215,720.6092732795701
-0.0015763019,90112,4.8283186,495,181.98364353179932,14.45224,0.017382812,0.9299422204494476,0.001849517,44,90112,932.3789473684211,709.4984005368422
-0.00081794773,92160,4.840383,499,186.1171519756317,19.034595,0.04897461,0.8250024169683456,0.004266878,45,92160,944.0104166666666,720.4356614166667
-0.0029040212,94208,4.841743,533,190.2152864933014,40.53587,0.0203125,0.8512204140424728,0.0022564982,46,94208,921.35,699.1481744099999
-0.001501803,96256,4.8577275,494,194.05178308486938,19.384153,0.03364258,0.8469277173280716,0.0027573279,47,96256,926.64,704.1613674999999
-0.0029531878,98304,4.8779936,480,198.1970191001892,7.0513077,0.02368164,0.9546848349273205,0.0024369792,48,98304,922.81,701.9901587200001
