total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
2048,0.040625,-0.0030169827,590,1.6689300537109375e-06,2048,5.061319,216.53219,1138.0,0.0036634896,1,1.4192156,-0.2686716318130493
4096,0.027929688,-0.002665065,606,3.469111204147339,4096,4.1916,127.69478350000001,663.0,0.0034584203,2,1.4182365,-0.2817901372909546
6144,0.020898437,-0.0033564202,610,6.844596862792969,6144,4.0981417,91.2984153076923,472.3076923076923,0.0021615657,3,1.4151317,-0.6252814531326294
8192,0.03666992,-0.0034697126,600,10.197832345962524,8192,3.9690037,82.63712110526316,426.05263157894734,0.003380529,4,1.4162421,-0.08952009677886963
10240,0.040966798,-0.004518551,577,13.610032796859741,10240,3.0504985,81.27569095454545,423.6818181818182,0.003833238,5,1.4338359,0.2617605924606323
12288,0.013574218,-0.0020589551,575,17.156917572021484,12288,3.6457443,77.34116243333332,403.7,0.002093062,6,1.4486736,0.010412335395812988
14336,0.05078125,-0.004827,581,20.713130474090576,14336,2.848928,74.87339944444444,390.1666666666667,0.0041914424,7,1.4444299,0.5399903655052185
16384,0.03769531,-0.004277693,584,24.233606815338135,16384,2.503963,73.52372285714284,383.76190476190476,0.003590156,8,1.4422616,0.7468995749950409
18432,0.05053711,-0.004659913,580,27.740591287612915,18432,1.8417814,72.53055266666667,379.8958333333333,0.004339916,9,1.4456846,0.8448431491851807
20480,0.09052734,-0.00846276,620,31.26691484451294,20480,1.9463905,74.71251070588235,392.6862745098039,0.0069609857,10,1.4580494,0.910786971449852
22528,0.09106445,-0.008795651,619,34.56807994842529,22528,1.866936,75.99514315384614,399.8269230769231,0.0064574936,11,1.4636753,0.9102773293852806
24576,0.069042966,-0.004647334,577,37.87645506858826,24576,1.7757132,81.55172467924528,430.9433962264151,0.005263223,12,1.4664528,0.6463638544082642
26624,0.059423827,-0.0049679694,513,41.422200202941895,26624,1.734733,86.88098412962962,460.9074074074074,0.0048396727,13,1.4699085,0.8348347991704941
28672,0.034570314,-0.00067651895,594,45.413350105285645,28672,1.8159624,92.95417418181817,489.7818181818182,0.0033314447,14,1.4717047,0.4965587854385376
30720,0.07119141,-0.0019840193,614,48.8593053817749,30720,2.1151924,99.07578976785715,517.625,0.005599783,15,1.4738159,0.3554813265800476
32768,0.044384766,-0.0028689494,620,52.19023036956787,32768,2.326429,105.65498921052632,544.4912280701755,0.0038966394,16,1.4824309,0.3194785714149475
34816,0.04741211,-0.0019618315,605,55.49150037765503,34816,1.926543,112.31883386206896,570.4310344827586,0.0040715886,17,1.489832,0.5008611977100372
36864,0.047021486,-0.0021386903,579,58.87484788894653,36864,1.8375546,118.48505747457627,595.4915254237288,0.004426128,18,1.4838134,0.15799981355667114
38912,0.022851562,-0.0008551005,610,62.41029715538025,38912,1.9534067,124.39523283333332,619.7166666666667,0.0026753962,19,1.4683679,0.10259479284286499
40960,0.052001953,-0.0012520466,626,65.76329016685486,40960,1.7151924,130.22419801639344,643.1475409836065,0.0045034187,20,1.4555008,0.4079575538635254
43008,0.032666016,-0.0010557373,607,69.03446197509766,43008,1.6718447,135.90432311290323,665.8225806451613,0.0033411167,21,1.4516203,0.3858211040496826
45056,0.040966798,-0.0028740047,600,72.40351390838623,45056,1.6066589,141.2549226031746,687.7777777777778,0.0037257995,22,1.4606171,0.25579148530960083
47104,0.023730468,-8.7233144e-05,609,75.81201243400574,47104,1.1954052,146.395478125,709.046875,0.002458427,23,1.4681385,0.5724585950374603
49152,0.038378906,-0.0028755774,612,79.17151117324829,49152,0.9234967,151.1473558,729.6615384615385,0.003491946,24,1.4660819,0.6611773669719696
51200,0.049462892,-0.00384378,600,82.51557064056396,51200,0.98996323,155.5156982878788,749.6515151515151,0.0043086573,25,1.4620187,0.5291623771190643
53248,0.068164065,-0.0032372281,627,85.93722414970398,53248,0.87525606,160.05164386567165,769.044776119403,0.0056119063,26,1.4581264,0.5278031527996063
55296,0.03852539,-0.0020379196,619,89.20217370986938,55296,0.9895523,164.34617761764707,787.8676470588235,0.003656685,27,1.4611155,0.5058097243309021
57344,0.014941406,-0.0013793276,602,92.5060818195343,57344,0.9697919,168.5376213478261,806.1449275362319,0.0020834573,28,1.4473732,0.6065978705883026
59392,0.036376953,-0.0011487061,622,95.90371608734131,59392,0.9161066,173.07157142857145,823.9,0.0034999326,29,1.4323651,0.6111215949058533
61440,0.029248048,-0.0014851053,626,99.19364428520203,61440,0.768532,177.15596332394367,841.1549295774648,0.002736026,30,1.4202888,0.5736074447631836
63488,0.048095703,-6.932048e-05,641,102.46152567863464,63488,1.0434691,181.17457547222224,857.9305555555555,0.004355992,31,1.4103401,0.4672665596008301
65536,0.04135742,-0.0015038446,619,105.65578937530518,65536,0.86860293,185.4964359041096,874.2465753424658,0.0035254345,32,1.4187906,0.5088087022304535
67584,0.036132812,-0.0016111748,619,108.96149230003357,67584,1.2663239,189.72670341891893,890.1216216216217,0.0033787494,33,1.4214293,0.29379671812057495
69632,0.05366211,-0.0015548706,490,112.2694718837738,69632,0.9348335,194.44951873333335,905.5733333333334,0.0044377474,34,1.4211651,0.257443904876709
