value_loss,fps,clipfrac,approxkl,time_elapsed,serial_timesteps,policy_loss,policy_entropy,total_timesteps,explained_variance,n_updates,ep_reward_mean,ep_len_mean
0.24822311,460,0.096386716,0.007890567,1.9073486328125e-06,2048,-0.0062552267,6.0751266,2048,0.9981818428495899,1,,
2.6206717,460,0.07856445,0.006855651,4.447439432144165,4096,-0.010207385,6.0364075,4096,0.981186468154192,2,1797.819636,2049.0
8.003748,522,0.014160156,0.0018479789,8.895435333251953,6144,-0.0024403185,6.0190434,6144,0.9713571984320879,3,1268.46945,1501.0
20.415768,464,0.04042969,0.0032309275,12.814514875411987,8192,-0.0018947705,6.0179873,8192,0.8819313421845436,4,1399.195682,1638.0
20.226086,475,0.04033203,0.0036153223,17.222447872161865,10240,-0.000991708,6.019582,10240,0.8877407386898994,5,1479.3725086,1720.2
26.696554,494,0.02998047,0.002643682,21.52603268623352,12288,-0.0035429462,6.0211096,12288,0.8670901954174042,6,1344.5480298571426,1592.0
22.14589,530,0.041259766,0.0035695094,25.667248964309692,14336,-0.0030607728,6.02955,14336,0.7905507385730743,7,1110.4150834,1414.9
20.477074,497,0.04321289,0.0038520172,29.528699159622192,16384,-0.0020032406,6.0220675,16384,0.8712405264377594,8,1176.1730172727273,1472.5454545454545
20.1232,474,0.06586914,0.005293726,33.6487991809845,18432,-0.0024407636,6.0148873,18432,0.8802590444684029,9,1228.3411894166668,1520.5833333333333
22.887402,497,0.009423828,0.0011178695,37.9639630317688,20480,-0.0023975319,6.0195284,20480,0.8156681209802628,10,1243.8038373076922,1561.2307692307693
20.327215,451,0.032324217,0.0029841284,42.07913613319397,22528,-0.001201468,6.019568,22528,0.8615863472223282,11,1285.1661576428571,1596.0714285714287
16.064543,492,0.07104492,0.0061745183,46.61631488800049,24576,-0.005097856,6.022925,24576,0.6274697482585907,12,1282.2806790666664,1626.2666666666667
19.828478,420,0.03618164,0.0034933563,50.77648949623108,26624,-0.0036953446,6.0208406,26624,0.873745322227478,13,1316.657971,1652.6875
20.1914,490,0.031542968,0.0030670897,55.646124601364136,28672,-0.0020951717,6.0096617,28672,0.8734270334243774,14,1344.5912745882354,1676.0
9.240378,499,0.015820313,0.0019628296,59.825480461120605,30720,-0.005618987,6.019724,30720,0.9498233459889889,15,1281.0121826666666,1606.5555555555557
19.97483,467,0.039746094,0.0034858428,63.92288327217102,32768,-0.0016891679,6.030102,32768,0.8631433993577957,16,1309.7934001052631,1629.842105263158
20.263647,482,0.05366211,0.004194787,68.30783438682556,34816,-0.0033353125,6.0274734,34816,0.8851144313812256,17,1335.3781536000001,1650.8
23.182419,496,0.022021484,0.0022825995,72.55224537849426,36864,-0.001360459,6.0278835,36864,0.7376153767108917,18,1355.4617693809525,1669.7619047619048
13.050939,405,0.043896485,0.0038332331,76.68066191673279,38912,-0.0039125155,6.0257063,38912,0.7556826174259186,19,1350.6546899090908,1687.0
12.658938,464,0.026660156,0.0028423306,81.7338433265686,40960,-0.004972211,6.0301485,40960,0.9258683994412422,20,1347.0505190434783,1702.7391304347825
19.799574,456,0.021582032,0.0023167534,86.1417944431305,43008,-0.0012833342,6.0410275,43008,0.8744152188301086,21,1366.9983892499997,1717.1666666666667
21.024601,468,0.031347655,0.0027544673,90.62675929069519,45056,-0.002992332,6.0552416,45056,0.7530893683433533,22,1384.2244185999998,1730.44
12.928624,457,0.0109375,0.0012220771,94.99853277206421,47104,-0.0012295195,6.074608,47104,0.9252390190958977,23,1379.3843548846153,1742.6923076923076
19.448006,440,0.032910157,0.0032473102,99.47673058509827,49152,-0.00595546,6.092864,49152,0.8767479658126831,24,1395.0282624814815,1754.037037037037
23.028826,455,0.04086914,0.003234747,104.12880754470825,51200,-0.0023633114,6.1048746,51200,0.741810142993927,25,1409.2125976428572,1764.5714285714287
16.500416,468,0.022802735,0.0023673538,108.63879156112671,53248,-0.001997067,6.1108065,53248,0.9335627257823944,26,1365.7139040333334,1732.2666666666667
21.064892,506,0.054541014,0.0042630336,113.0088119506836,55296,-0.004698123,6.113547,55296,0.8716551661491394,27,1379.5456090645162,1742.483870967742
23.60123,504,0.043701172,0.0037200493,117.05537557601929,57344,-0.0016641682,6.1182394,57344,0.9065178781747818,28,1372.823206969697,1734.090909090909
20.09103,511,0.03696289,0.0032397788,121.11812901496887,59392,-0.0015526088,6.121954,59392,0.8785286620259285,29,1383.955641,1743.3529411764705
31.286072,565,0.02055664,0.0020354716,125.12259602546692,61440,-0.0027054744,6.1278796,61440,0.732513040304184,30,1266.253277868421,1615.1052631578948
19.856068,490,0.022607422,0.002703244,128.74189043045044,63488,-0.0012598519,6.1328473,63488,0.8575993031263351,31,1280.7386582820511,1626.2307692307693
7.3881884,502,0.026757812,0.0028013804,132.91564512252808,65536,-0.004296907,6.1316867,65536,0.9767762552946806,32,1224.5499057560976,1562.3170731707316
31.879505,489,0.029052734,0.0026609225,136.99138712882996,67584,-0.0059787696,6.145117,67584,0.8982445448637009,33,1164.7314936,1492.3111111111111
11.591467,459,0.03696289,0.0031077703,141.17194080352783,69632,-0.0031850548,6.1545343,69632,0.7676571309566498,34,1166.2175186086956,1504.4130434782608
19.952372,470,0.025830079,0.0026549888,145.62949800491333,71680,-0.0013786943,6.1581273,71680,0.8927939236164093,35,1179.494973212766,1516.0
9.42354,531,0.025634766,0.0022683379,149.97862482070923,73728,-0.004379343,6.1617775,73728,0.9487347565591335,36,1143.5497282857145,1478.8775510204082
