policy_loss,serial_timesteps,policy_entropy,fps,time_elapsed,value_loss,clipfrac,ep_reward_mean,ep_len_mean,explained_variance,approxkl,n_updates,total_timesteps
-0.0032660558,2048,1.420438,477,1.9073486328125e-06,4.341282,0.023779297,84.88392074999999,456.25,-0.23017168045043945,0.0025556867,1,2048
-0.004021344,4096,1.4233341,485,4.285974502563477,3.9633682,0.049609374,63.60840125000001,341.1666666666667,-0.024555444717407227,0.004099579,2,4096
-0.005583626,6144,1.4211595,475,8.508683919906616,3.8285007,0.044921875,54.461008809523804,289.5238095238095,-0.26469457149505615,0.0039030868,3,6144
-0.0029579627,8192,1.4142665,518,12.812724351882935,3.3170364,0.03100586,46.701165090909086,247.33333333333334,0.16872036457061768,0.0032112398,4,8192
-0.0009816159,10240,1.4083297,512,16.76017141342163,2.838033,0.023583984,42.77840388888888,226.51111111111112,0.4039008617401123,0.0029603043,5,10240
-0.0028724286,12288,1.4111152,538,20.757240295410156,2.4012198,0.037109375,39.705137620689655,209.48275862068965,0.6237373352050781,0.0035806666,6,12288
-0.0023521893,14336,1.4260232,494,24.56232714653015,2.3560894,0.029882813,37.646977763888884,197.09722222222223,0.6904207766056061,0.003219671,7,14336
-0.0019815096,16384,1.4338777,550,28.707762956619263,1.8199642,0.028222656,36.3389996627907,189.12790697674419,0.8153314143419266,0.0027806745,8,16384
-0.0036635536,18432,1.4423832,527,32.43129754066467,1.6329867,0.051074218,35.684953101010095,185.1818181818182,0.8478364199399948,0.004161617,9,18432
-0.003896851,20480,1.4366099,546,36.31550860404968,1.5965121,0.03359375,33.79398196,175.59,0.8951825723052025,0.0032044216,10,20480
-0.010387578,22528,1.4349015,519,40.060500383377075,1.1097969,0.10566406,31.950772109999992,165.26,0.9140706062316895,0.007585963,11,22528
-0.0065544755,24576,1.4563286,497,44.00329637527466,1.2275156,0.09067383,33.10478392,172.16,0.926553376019001,0.0071379365,12,24576
-0.0039375564,26624,1.4687482,490,48.117351055145264,1.4826581,0.06713867,34.75215272,183.35,0.91103495657444,0.0052634086,13,26624
-0.0019739263,28672,1.4846072,493,52.29273724555969,1.4497272,0.018652344,37.38601845,201.93,0.9055513516068459,0.0021601852,14,28672
0.00022808411,30720,1.4857991,496,56.44131565093994,1.3666675,0.022070313,40.24496471,220.96,0.8537689298391342,0.0025064347,15,30720
-0.0006509454,32768,1.4802969,425,60.5705623626709,1.1637604,0.03178711,43.04502855999999,240.21,0.9219388067722321,0.0032787013,16,32768
-0.0009219843,34816,1.4868348,405,65.38249850273132,1.226014,0.044970702,45.921843020000004,259.03,0.8508488833904266,0.0039286553,17,34816
-0.00011981727,36864,1.4843462,391,70.43775653839111,1.0920278,0.016845703,48.83062268,277.6,0.8727250248193741,0.0021494352,18,36864
-0.0009032657,38912,1.4897192,393,75.66767692565918,0.88089067,0.030810546,51.564097960000005,296.15,0.9109986051917076,0.0030756225,19,38912
-0.003610789,40960,1.4967657,424,80.87135767936707,1.1250191,0.056005858,54.547282450000004,315.25,0.8754743039608002,0.00470852,20,40960
-0.0035717946,43008,1.4995261,414,85.69185781478882,0.797462,0.04145508,57.33955909,332.86,0.9118481352925301,0.0036444936,21,43008
-0.0096909795,45056,1.503254,410,90.62955069541931,0.8571194,0.08427735,59.45628174,346.37,0.8617299646139145,0.0064168447,22,45056
-0.003248491,47104,1.500872,414,95.61530041694641,0.81111974,0.050097656,62.395012820000005,365.07,0.8912343308329582,0.004659497,23,47104
-0.0027299288,49152,1.4989388,439,100.55138182640076,0.7358862,0.055126954,65.48689323,384.11,0.7722260802984238,0.0045263725,24,49152
-0.0025160671,51200,1.5076262,459,105.21019840240479,0.70578945,0.057373047,68.45193022,402.24,0.6271848976612091,0.004831682,25,51200
-0.0033184395,53248,1.5101619,430,109.67527651786804,0.87664557,0.049853515,71.99352633000001,421.3,0.6191575825214386,0.004244136,26,53248
-0.0034974902,55296,1.5017602,422,114.43737053871155,0.8089816,0.05859375,75.37907166000001,440.04,0.6433894038200378,0.004930587,27,55296
-0.00031936774,57344,1.5082775,457,119.28630089759827,0.8362873,0.045800783,79.12549750000001,459.45,0.5965861678123474,0.003955594,28,57344
-0.0032154392,59392,1.5182935,428,123.7642433643341,0.70012796,0.088378906,82.62650985000002,478.32,0.5646695494651794,0.00659361,29,59392
-1.2068782e-05,61440,1.5144203,432,128.54366493225098,0.7874074,0.048095703,86.27982481999999,497.5,0.571402370929718,0.0040999264,30,61440
-0.0058607897,63488,1.5158409,442,133.27692317962646,0.6795692,0.089941405,90.00872115,516.51,0.6549427211284637,0.007346141,31,63488
-0.0032946584,65536,1.5193585,446,137.9084529876709,0.8194383,0.07792969,93.76812210999998,535.38,0.3881686329841614,0.0060022324,32,65536
-0.0037053258,67584,1.5256803,439,142.4914858341217,0.85646117,0.09243164,97.78301616,554.23,0.12164855003356934,0.006700524,33,67584
-0.0028331878,69632,1.5339532,442,147.15450716018677,0.861684,0.09067383,101.83175195000001,573.13,0.26177358627319336,0.0067560324,34,69632
-0.001525683,71680,1.5386857,436,151.78192234039307,0.8626062,0.049365234,106.13483909000003,592.07,0.21891260147094727,0.004424031,35,71680
-0.000812246,73728,1.5443076,387,156.4747269153595,0.8827974,0.045166016,110.40510087000001,610.93,0.12999796867370605,0.003986299,36,73728
-0.0005675104,75776,1.5366111,424,161.7628231048584,0.7858341,0.03466797,114.72740639000001,629.86,0.29131579399108887,0.0032573368,37,75776
-0.00035590862,77824,1.5358173,408,166.5913746356964,0.84915495,0.044921875,119.10764451000001,649.04,0.14913731813430786,0.0038531297,38,77824
-0.0014794434,79872,1.5302036,422,171.60618138313293,0.85275614,0.068164065,123.56135194000001,667.95,0.12395071983337402,0.005344363,39,79872
-0.0004767174,81920,1.5293944,427,176.4568154811859,0.8829708,0.047509767,127.59575321,685.94,0.05280792713165283,0.003989524,40,81920
-0.003035097,83968,1.5322124,412,181.24542880058289,0.96003705,0.09121094,132.33397297999997,705.1,0.15484756231307983,0.0071484456,41,83968
-0.0014889899,86016,1.5255086,440,186.20847630500793,0.9493965,0.0609375,136.92995175,723.96,0.06008434295654297,0.0052175247,42,86016
-0.0022053258,88064,1.5170981,447,190.8570740222931,0.8954023,0.0515625,141.60927224,743.14,0.1156584620475769,0.004441573,43,88064
-0.0035570029,90112,1.5260131,460,195.43893098831177,0.9368272,0.075,146.20928573,762.08,0.1394670605659485,0.0058164084,44,90112
-0.004599887,92160,1.5323184,389,199.88936114311218,0.95724124,0.07539062,150.86537675000002,781.21,0.0713663101196289,0.005780867,45,92160
-0.0013097231,94208,1.5456507,346,205.14725470542908,1.0044487,0.05307617,155.6324395,800.45,0.012577533721923828,0.004812072,46,94208
-0.0033333567,96256,1.5494468,418,211.06243562698364,1.0818222,0.05180664,160.46414488,819.55,-0.0034264326095581055,0.004374669,47,96256
