value_loss,approxkl,explained_variance,ep_reward_mean,serial_timesteps,time_elapsed,ep_len_mean,fps,total_timesteps,n_updates,policy_loss,clipfrac,policy_entropy
4.14787,0.003663969,0.9848942309617996,50.328389,2048,2.384185791015625e-06,170.0,341,2048,1,-0.005894012,0.037060548,4.825079
22.495962,0.0046979757,0.9254710748791695,696.4986403333334,4096,6.001143217086792,916.0,370,4096,2,-0.0031908117,0.05649414,4.8385205
19.74874,0.0037234449,0.8874995857477188,963.6025805,6144,11.524157047271729,1199.25,401,6144,3,-0.0002276178,0.04526367,4.8436995
21.457834,0.0043117963,0.8601634353399277,1120.321367,8192,16.62774896621704,1369.2,413,8192,4,-0.0026348894,0.05678711,4.851638
14.032384,0.0034063314,0.765545979142189,1137.8189100000002,10240,21.57822275161743,1482.5,434,10240,5,-0.0017067415,0.040625,4.8558435
11.4844475,0.006602178,0.9361563920974731,1152.488295857143,12288,26.287183046340942,1563.4285714285713,416,12288,6,-0.007186088,0.074560545,4.862899
19.523403,0.0028707408,0.8883681669831276,1229.985768,14336,31.20063328742981,1624.125,351,14336,7,-0.0014887012,0.027636718,4.871752
19.508394,0.0072484114,0.8877281919121742,1290.1193925555554,16384,37.02272081375122,1671.3333333333333,327,16384,8,-0.0050763804,0.09711914,4.8755503
25.171284,0.0039250813,0.8917958065867424,1221.1273293636361,18432,43.2841854095459,1568.4545454545455,389,18432,9,-0.002605481,0.044677734,4.878118
13.262693,0.005637996,0.9217431619763374,1221.9545215833332,20480,48.53912591934204,1608.5,406,20480,10,-0.0016466111,0.056347657,4.883023
20.01155,0.0023188177,0.8862086236476898,1264.9222523076921,22528,53.58349609375,1642.3846153846155,341,22528,11,-0.000996575,0.024316406,4.891524
13.059746,0.005334759,0.9199737310409546,1262.3875163571427,24576,59.58797574043274,1671.4285714285713,394,24576,12,-0.0027737578,0.043408204,4.9011283
20.742123,0.004406068,0.8812804445624352,1295.9387882666665,26624,64.78105998039246,1696.6,302,26624,13,-0.0034273502,0.049609374,4.8954415
21.268274,0.004170317,0.8783831298351288,1323.886978,28672,71.5573627948761,1718.625,330,28672,14,-0.0030173592,0.050585937,4.8816586
14.237467,0.0074908445,0.91380325704813,1320.1734824705882,30720,77.75606060028076,1738.0588235294117,365,30720,15,-0.006344445,0.07470703,4.881804
19.915386,0.005467002,0.8812182545661926,1344.1837843333333,32768,83.36627435684204,1755.3333333333333,342,32768,16,-0.00014204704,0.07026367,4.887616
19.900814,0.0056765475,0.8711378574371338,1368.4314263157896,34816,89.35120153427124,1770.7894736842106,350,34816,17,-0.002558259,0.07011719,4.8963327
19.6994,0.0064948783,0.8918280526995659,1390.3653263,36864,95.18978261947632,1784.7,270,36864,18,-0.0045917993,0.088085935,4.8933573
19.994156,0.0046901284,0.8945194259285927,1407.063183904762,38912,102.76040196418762,1797.2857142857142,391,38912,19,-0.001954916,0.05678711,4.8785315
30.517258,0.004308155,0.9074507430195808,1317.3353512916665,40960,107.9861969947815,1688.0833333333333,382,40960,20,-0.0051151123,0.044287108,4.8702955
19.919289,0.0031001016,0.8968099504709244,1337.2392941199996,43008,113.34563755989075,1702.52,387,43008,21,-0.0024357175,0.028222656,4.884496
20.035292,0.0067591905,0.8861311003565788,1352.616323153846,45056,118.62974810600281,1715.8461538461538,404,45056,22,-0.004703515,0.08232422,4.9208755
11.474389,0.0064458894,0.7885312885046005,1348.4248805555555,47104,123.69186925888062,1728.1851851851852,364,47104,23,-0.0031657736,0.074365236,4.9431424
19.901318,0.0043519367,0.8867089003324509,1363.8820946071428,49152,129.30836296081543,1739.642857142857,349,49152,24,-0.001552593,0.051074218,4.95562
20.789541,0.0049569425,0.8134576976299286,1316.1203973666668,51200,135.16203689575195,1697.6,409,51200,25,-0.0012571986,0.06416015,4.9732695
13.097212,0.0034190756,0.843780055642128,1274.30570734375,53248,140.17614197731018,1660.34375,433,53248,26,-0.0037479468,0.03769531,4.9829817
20.928715,0.0028175875,0.873681828379631,1280.3611811515152,55296,144.89636611938477,1672.121212121212,426,55296,27,-0.0038241092,0.031298827,4.9777384
19.880419,0.006563291,0.8860919550061226,1295.9809510882353,57344,149.6991159915924,1683.2058823529412,413,57344,28,-0.0060410057,0.07817383,4.9631085
14.515434,0.005226832,0.7498001456260681,1294.6916301142858,59392,154.651469707489,1693.6571428571428,454,59392,29,-0.0021860301,0.06567383,4.9567556
13.290741,0.005675654,0.7420031428337097,1293.5181367222224,61440,159.15545654296875,1703.5277777777778,445,61440,30,-0.0015687691,0.063964844,4.9612174
19.657673,0.001814348,0.8795284107327461,1306.3792987837842,63488,163.75645279884338,1712.8648648648648,417,63488,31,-0.0006464164,0.0145019535,4.956615
19.862461,0.003667659,0.8636652082204819,1320.0113405789477,65536,168.66553044319153,1721.7105263157894,407,65536,32,-0.0019091895,0.03725586,4.9579954
22.233156,0.002673739,0.842423677444458,1324.5233801025645,67584,173.68910431861877,1730.1025641025642,472,67584,33,-0.0020227034,0.025341798,4.96548
18.771421,0.0038305917,0.8853770717978477,1285.7732254146342,69632,178.02033352851868,1686.439024390244,459,69632,34,-0.0070016817,0.04067383,4.969343
18.867304,0.0029735288,0.8379810750484467,1290.7631489999999,71680,182.47479248046875,1695.0714285714287,451,71680,35,-0.003071247,0.029101562,4.973526
19.378185,0.008169108,0.8752894401550293,1301.9175868139534,73728,187.01519060134888,1703.3023255813953,410,73728,36,-0.0022490956,0.111083984,4.9705725
28.460058,0.0026625232,0.8665332496166229,1286.4507504444443,75776,192.00018548965454,1682.8666666666666,410,75776,37,-0.0025365583,0.021533202,4.9863734
