serial_timesteps,ep_reward_mean,approxkl,clipfrac,time_elapsed,policy_entropy,fps,value_loss,ep_len_mean,policy_loss,explained_variance,n_updates,total_timesteps
73728,449.0127837619048,0.00476884,0.058691405,115.12093186378479,1.4813879,626,2.1688182,1728.7619047619048,-0.0040849964,0.13033056259155273,36,73728
75776,452.2535091395349,0.003236184,0.031835936,118.39198160171509,1.4853601,624,2.3849807,1736.2093023255813,-0.0012595311,0.07990211248397827,37,75776
77824,455.40721786363645,0.003227688,0.03691406,121.67331004142761,1.4950887,620,2.2397883,1743.3181818181818,-0.002333036,0.054674625396728516,38,77824
79872,458.03814724444453,0.004840625,0.056884766,124.97283101081848,1.5016049,625,1.6675402,1750.111111111111,-0.0048422622,0.1944063901901245,39,79872
81920,460.2427781956523,0.0039928732,0.044921875,128.24537658691406,1.4962497,610,2.3086944,1756.608695652174,-0.003167754,0.2816118597984314,40,81920
83968,463.6823443191491,0.0020977464,0.0171875,131.59850788116455,1.4864007,595,2.8353631,1762.8297872340424,-0.00063322403,0.1523330807685852,41,83968
86016,467.11071564583335,0.0037683845,0.041748047,135.04025793075562,1.4744525,609,2.3221533,1768.7916666666667,-0.0017997961,0.277474045753479,42,86016
88064,463.18938058,0.003640782,0.041992188,138.40003776550293,1.4736933,618,1.8627459,1751.48,-0.0028866373,0.29703211784362793,43,88064
90112,461.71591421568627,0.0036880814,0.041552734,141.71368193626404,1.4829651,628,0.94079745,1748.3725490196077,-0.0028166827,0.38340479135513306,44,90112
92160,455.70649105660374,0.0016522134,0.01328125,144.97287917137146,1.4862053,629,1.5581701,1729.9622641509434,-0.0007884946,0.5361070036888123,45,92160
94208,435.0296911578948,0.0024428556,0.023291016,148.22628021240234,1.4859539,602,2.0726337,1652.719298245614,-0.0022278428,0.5559627115726471,46,94208
96256,425.6641850847458,0.002605721,0.022265624,151.62375044822693,1.4805654,597,1.1355385,1618.2203389830509,-0.0016142528,0.6822559833526611,47,96256
98304,427.17954118333336,0.0043624234,0.054638673,155.0509123802185,1.474754,604,1.3943986,1625.4,-0.0029915331,0.3768846392631531,48,98304
100352,429.11695545901637,0.004039825,0.047167968,158.44091963768005,1.4699192,620,1.7202091,1632.344262295082,-0.0021689648,0.3627033829689026,49,100352
102400,431.23449969354834,0.0029673928,0.027294923,161.74181008338928,1.4728839,618,1.4530566,1639.0645161290322,0.0002828839,0.22046518325805664,50,102400
104448,433.3708365238095,0.0066802115,0.085351564,165.05626273155212,1.4818397,608,1.2486734,1645.5714285714287,-0.0043940097,0.2711597681045532,51,104448
106496,435.39952706249994,0.0038638662,0.044921875,168.42093300819397,1.4828916,600,1.5879753,1651.875,-0.0019854766,0.20437264442443848,52,106496
108544,438.69523649230763,0.0033707195,0.035302736,171.83018517494202,1.4739602,584,2.0328825,1657.9846153846154,-0.00035355054,0.11132603883743286,53,108544
110592,441.91336322727267,0.0034904971,0.036083985,175.33760118484497,1.4815733,600,1.9023739,1663.909090909091,-0.0029521282,0.12499171495437622,54,110592
112640,444.69779479104477,0.0060601286,0.080078125,178.7496087551117,1.4968721,605,1.8572975,1669.6567164179105,-0.0038851094,0.10832536220550537,55,112640
114688,447.927083367647,0.0026664194,0.025195312,182.13429307937622,1.5075569,608,1.9664736,1675.235294117647,0.00018613294,0.034287333488464355,56,114688
116736,450.5217898405797,0.005428531,0.06665039,185.4982612133026,1.5301801,602,1.7547035,1680.6521739130435,-0.004204708,0.09967255592346191,57,116736
118784,453.6583439285714,0.0020271437,0.016796876,188.89713835716248,1.5490015,606,1.9211088,1685.9142857142858,-0.0001642319,0.19020557403564453,58,118784
120832,456.8108512394366,0.003154698,0.033837892,192.2739655971527,1.550562,595,2.155679,1691.0281690140846,-0.0014186489,0.13880789279937744,59,120832
122880,460.0431435416666,0.0032816418,0.034277342,195.71683168411255,1.5557327,599,2.2052364,1696.0,-0.0013169107,0.05922657251358032,60,122880
124928,463.2907111643835,0.0040001515,0.04111328,199.13317823410034,1.5430579,581,2.4184244,1700.835616438356,-0.0013487068,0.066073477268219,61,124928
126976,466.8382001216216,0.0044437377,0.051513672,202.6535084247589,1.5357959,588,2.8909888,1705.5405405405406,-0.0019962587,0.05420362949371338,62,126976
129024,470.24690631999994,0.0045172307,0.053613283,206.13182830810547,1.5260475,595,2.2895763,1710.12,-0.0038376774,0.043358445167541504,63,129024
131072,473.3509316315789,0.0032079727,0.031103516,209.5716187953949,1.5131519,589,2.3253565,1714.578947368421,-0.0010977325,0.07652461528778076,64,131072
133120,476.262207116883,0.003553309,0.03671875,213.0473711490631,1.5053301,596,2.0184064,1718.922077922078,-0.00057464483,0.06013458967208862,65,133120
135168,478.74332435897423,0.004221927,0.051220704,216.4836344718933,1.5022693,592,1.8787706,1723.1538461538462,-0.002718659,0.09458726644515991,66,135168
137216,481.2491439746834,0.0050942185,0.06201172,219.938494682312,1.5057466,598,1.9197725,1727.2784810126582,-0.0018936631,0.06660360097885132,67,137216
139264,484.0024933499999,0.0044429447,0.049707033,223.3609697818756,1.5086553,586,2.3022199,1731.3,-0.0017735651,0.10737645626068115,68,139264
141312,487.2640846666666,0.0028408463,0.031152343,226.85359501838684,1.5193425,595,2.4708986,1735.2222222222222,-0.0007027986,0.1008913516998291,69,141312
143360,489.87220485365845,0.0021608833,0.019677734,230.29274940490723,1.5236295,566,2.1638627,1739.0487804878048,-0.00057233835,0.11053705215454102,70,143360
145408,492.7796000120481,0.002865994,0.030517578,233.9097592830658,1.5180155,596,2.2629862,1742.7831325301204,-1.4238717e-05,0.16983282566070557,71,145408
147456,495.8437806071427,0.0036875058,0.04433594,237.34463143348694,1.5216715,606,3.0007586,1746.4285714285713,-0.0010491632,0.1392776370048523,72,147456
149504,499.46486388235286,0.0047875973,0.055322267,240.7237732410431,1.5311445,592,3.1719322,1749.9882352941177,-0.0023686923,0.15776139497756958,73,149504
151552,502.2891920581394,0.003917222,0.04082031,244.18219304084778,1.5422194,594,2.408938,1753.4651162790697,-0.002523501,0.12759846448898315,74,151552
153600,505.6168192068964,0.002482547,0.023632813,247.6261477470398,1.5424128,597,2.7897189,1756.8620689655172,-0.0009272813,0.21267461776733398,75,153600
155648,508.5246894772727,0.0032311685,0.033691406,251.0588812828064,1.5406466,585,2.806934,1760.1818181818182,-0.00299377,0.16741955280303955,76,155648
157696,511.6908334719101,0.0032750692,0.032568358,254.5579493045807,1.5338728,564,2.9779973,1763.426966292135,-0.0014448712,0.22859954833984375,77,157696
159744,515.2048410555556,0.0026367742,0.025732422,258.1840443611145,1.5274532,589,3.6483185,1766.6,-0.0006727028,0.19994616508483887,78,159744
161792,518.628175,0.0024097268,0.022607422,261.65925192832947,1.5229933,593,3.5638847,1769.7032967032967,-0.002776057,0.26430612802505493,79,161792
163840,521.1794589239131,0.0038309512,0.042822264,265.1080131530762,1.5170467,595,2.667169,1772.7391304347825,-0.0029727593,0.20805686712265015,80,163840
