approxkl,time_elapsed,clipfrac,policy_entropy,total_timesteps,serial_timesteps,fps,ep_reward_mean,value_loss,policy_loss,n_updates,ep_len_mean,explained_variance
0.0029695013,2.1457672119140625e-06,0.036816407,4.4516153,2048,2048,474,221.52019149999998,15.913755,-0.0045693005,1,505.25,0.771118551492691
0.00196827,4.318666696548462,0.020214844,4.454692,4096,4096,536,196.98311814285714,11.378451,-0.00410735,2,462.7142857142857,0.8906161934137344
0.002831382,8.13808012008667,0.030517578,4.4518213,6144,6144,474,368.0730485,13.005689,-0.004233396,3,661.0,0.888117678463459
0.005165454,12.45738434791565,0.0637207,4.4575977,8192,8192,499,464.6194421111111,8.422574,-0.002627337,4,815.2222222222222,0.7638742923736572
0.0039219595,16.55886745452881,0.046191406,4.469536,10240,10240,493,539.9214966,8.539949,-0.0038357421,5,938.6,0.8111689239740372
0.005484319,20.71181297302246,0.063085936,4.4816604,12288,12288,500,602.7417163636363,12.827588,-0.0074766045,6,1039.5454545454545,0.7348107099533081
0.002744429,24.805744647979736,0.033837892,4.4913487,14336,14336,546,616.2190951666665,6.7817497,-0.0045430507,7,1058.6666666666667,0.9136898070573807
0.0021663164,28.553896188735962,0.024023438,4.49734,16384,16384,525,632.6014157142856,15.948204,-0.0020246594,8,1072.0714285714287,0.8163442313671112
0.004973586,32.45531725883484,0.06416015,4.5017304,18432,18432,506,673.3684109333333,9.542994,-0.0053228824,9,1137.2,0.8451467901468277
0.0031416726,36.49794960021973,0.035595704,4.4972377,20480,20480,522,713.9028854375,10.683794,-0.0035771304,10,1194.1875,0.8252511471509933
0.007238003,40.415862798690796,0.08891602,4.5066547,22528,22528,478,749.1348199411765,10.436299,-0.006404476,11,1244.4705882352941,0.7460953593254089
0.001982119,44.70032548904419,0.021337891,4.516865,24576,24576,518,776.2250633333334,8.545713,-0.0017578512,12,1289.1666666666667,0.8361692577600479
0.0040065246,48.64847159385681,0.044677734,4.5156617,26624,26624,509,806.6882687368421,10.59542,-0.002365842,13,1329.157894736842,0.8325760811567307
