total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,ep_reward_mean,ep_len_mean,time_elapsed,explained_variance,clipfrac,fps,value_loss
2048,1.4207312,-0.0043249107,0.0031016604,1,2048,117.79341366666665,608.3333333333334,2.1457672119140625e-06,0.024152934551239014,0.036621094,510,4.7310457
4096,1.4329323,-0.002886873,0.0026140711,2,4096,109.91846600000001,572.5,4.009439468383789,-0.06141161918640137,0.025195312,529,4.365746
6144,1.4443258,-0.0012632601,0.0019702143,3,6144,148.83886028571428,783.4285714285714,7.87625527381897,0.045599937438964844,0.015673827,516,3.9519112
8192,1.4555099,-0.0027683643,0.002227412,4,8192,147.9354779,766.4,11.845490217208862,-0.12259888648986816,0.020947266,444,4.226363
10240,1.4720684,-0.0042289416,0.0038421701,5,10240,168.58212318181816,883.0,16.452696084976196,-0.3252140283584595,0.047216795,442,4.1516275
12288,1.466449,-0.0018951565,0.002436177,6,12288,174.03190541666666,891.3333333333334,21.07907247543335,-0.479606032371521,0.022607422,465,5.1847634
14336,1.4633095,-0.0012841047,0.0036842655,7,14336,192.8279042857143,966.5,25.481664180755615,-0.2705761194229126,0.038085938,468,4.6373096
16384,1.4579768,-0.0014220985,0.0032336884,8,16384,188.13634841176471,931.1764705882352,29.85240650177002,-0.1602557897567749,0.029882813,485,4.5093393
18432,1.4630309,-0.0045150593,0.0048588547,9,18432,184.91858425,900.15,34.06927442550659,-0.027199864387512207,0.059667967,485,4.493561
20480,1.4676706,-0.0011716312,0.0023407494,10,20480,176.7013901304348,862.5217391304348,38.29205679893494,0.13036847114562988,0.014111328,466,3.1444345
22528,1.4623674,-0.0023474973,0.0030267078,11,22528,179.44987079999999,870.16,42.68412923812866,0.10217350721359253,0.031591795,481,3.9002502
24576,1.4767904,-0.0011556396,0.0010783726,12,24576,176.59360253571427,857.0,46.93755388259888,0.4297524094581604,0.0076660155,485,3.0058515
26624,1.4824771,-0.0014353761,0.0014415537,13,26624,183.0105846333333,884.3666666666667,51.15655851364136,0.3202636241912842,0.006787109,487,3.227759
28672,1.4701375,-0.0023856126,0.003954507,14,28672,180.70694425,876.6875,55.35412549972534,0.567043125629425,0.041894533,493,1.970206
30720,1.4674417,-0.003175589,0.0037192665,15,30720,178.93811070588234,872.9117647058823,59.505831241607666,0.5887435674667358,0.043261718,483,1.6687872
32768,1.4724092,-0.0015652984,0.0030088376,16,32768,184.4031539142857,906.5142857142857,63.739184856414795,0.3259838819503784,0.029443359,513,1.951181
34816,1.4630549,-0.0026072892,0.004021105,17,34816,190.54969891666667,938.25,67.72918963432312,0.49534499645233154,0.043017577,490,1.7274367
36864,1.4571496,-0.002239577,0.0029313643,18,36864,195.59902043243244,968.2702702702703,71.90533089637756,0.2669943571090698,0.030029297,506,1.830761
38912,1.4582043,-0.0017969174,0.0039349683,19,38912,202.03720531578946,996.7105263157895,75.94722628593445,0.41837239265441895,0.042041015,483,2.0534945
40960,1.4547889,-0.0008622203,0.0024273356,20,40960,207.85435315384615,1023.6923076923077,80.18585324287415,0.5514215528964996,0.021044921,451,1.4236592
43008,1.4482195,-0.0014409135,0.0029689972,21,43008,212.290464925,1049.325,84.72031021118164,0.5978718400001526,0.02998047,489,1.161159
45056,1.4396907,-0.004539572,0.0045710746,22,45056,216.62881304878047,1073.7073170731708,88.90090227127075,0.5100224912166595,0.052685548,521,1.0054495
47104,1.4363196,-0.0030294904,0.0034317884,23,47104,218.76829257142856,1086.3095238095239,92.82934355735779,0.6419269740581512,0.035449218,523,1.2137091
49152,1.4322447,-0.0001332412,0.0016186899,24,49152,219.2403821777778,1088.8,96.7435359954834,0.677056223154068,0.008398438,484,1.1495688
51200,1.4359674,-0.0008830957,0.0023295854,25,51200,221.6966705434783,1101.7826086956522,100.97296786308289,0.7705094516277313,0.020410156,507,0.8652549
53248,1.4409187,-0.0024494152,0.003020951,26,53248,222.37939258333336,1107.9791666666667,105.01717281341553,0.8011587262153625,0.029541016,511,0.73097324
55296,1.4429578,-0.002297679,0.0049631083,27,55296,225.87544791836737,1127.1836734693877,109.02278637886047,0.6849808096885681,0.05649414,494,0.730955
57344,1.4549727,-0.004052844,0.0041861394,28,57344,230.43974130000004,1145.62,113.16330432891846,0.5160449743270874,0.05356445,496,1.0195317
59392,1.4684333,-0.0036496748,0.0051699113,29,59392,234.6848995294118,1163.3333333333333,117.28470230102539,0.12676119804382324,0.06201172,499,0.84787303
61440,1.4806207,-0.0041647316,0.0053100614,30,61440,239.60578198076928,1180.3653846153845,121.38417029380798,0.1360291838645935,0.07026367,512,1.0841334
63488,1.4764879,-0.0012326603,0.0024596697,31,63488,244.72957820754723,1196.754716981132,125.37720537185669,0.08905011415481567,0.023339843,485,1.1895622
65536,1.4689761,-0.003790595,0.005724038,32,65536,249.39822988888895,1212.537037037037,129.59979152679443,0.0029323697090148926,0.07124023,486,1.1159029
67584,1.4710885,-0.0009923574,0.0024079264,33,67584,254.11347930909096,1227.7454545454545,133.80983424186707,0.07475900650024414,0.022998046,498,1.0433192
69632,1.4666604,-0.0030659013,0.004267307,34,69632,258.76129050000003,1242.4107142857142,137.9169647693634,0.04914969205856323,0.049853515,513,1.164648
71680,1.4560568,-0.00077946455,0.0023438085,35,71680,263.8408436491228,1256.561403508772,141.90852522850037,0.027547001838684082,0.01977539,501,1.3642968
73728,1.4609535,-0.0027835125,0.0041445307,36,73728,268.46040313793105,1270.2241379310344,145.99675726890564,0.04780161380767822,0.046679687,519,1.1919256
75776,1.468086,3.7742138e-06,0.0018135827,37,75776,272.8926298813559,1283.4237288135594,149.94068932533264,0.03315865993499756,0.0146484375,491,1.1516479
77824,1.477288,-0.003943966,0.0050158137,38,77824,276.8522641333333,1296.1833333333334,154.10510778427124,0.05561411380767822,0.06484375,507,1.0277829
79872,1.4866154,-0.002616224,0.00429473,39,79872,280.9929896885246,1308.5245901639344,158.14210867881775,-0.03689408302307129,0.050488282,492,1.2694366
81920,1.4950336,-0.0016738534,0.0055904333,40,81920,285.02466012903227,1320.467741935484,162.303866147995,0.027474522590637207,0.06923828,505,1.1337941
83968,1.5104196,-0.0036818716,0.0068310313,41,83968,289.3005855396826,1332.031746031746,166.35429739952087,0.05160248279571533,0.083789065,507,1.310814
86016,1.528145,-0.0025610335,0.0051072678,42,86016,293.362677890625,1343.234375,170.38809633255005,-0.05717742443084717,0.06523438,507,1.3056208
88064,1.5266936,-0.0021222746,0.005113709,43,88064,296.7769549076923,1354.0923076923077,174.4212203025818,-0.013796329498291016,0.061523438,493,1.0553837
90112,1.5204942,-0.0020113452,0.0037415903,44,90112,300.3482133787879,1364.621212121212,178.57177996635437,0.019060254096984863,0.04140625,493,1.1399003
92160,1.5261202,-0.0002914632,0.0034338483,45,92160,304.0688577164179,1374.8358208955224,182.72173476219177,0.01875138282775879,0.035449218,488,1.3084418
94208,1.5385038,-0.0020260487,0.0053942963,46,94208,307.6223433970588,1384.75,186.91413569450378,0.007149159908294678,0.06479492,495,1.1938648
96256,1.5508498,-0.0029153596,0.006589028,47,96256,311.24276039130433,1394.376811594203,191.05086827278137,0.041886985301971436,0.08164062,503,1.2636192
98304,1.5567456,-0.0020434621,0.00401776,48,98304,315.15005909999996,1403.7285714285715,195.11515283584595,0.025265038013458252,0.046044923,490,1.487715
100352,1.5529137,-0.0015772905,0.0044750306,49,100352,318.7124546901408,1412.8169014084508,199.28971457481384,0.058635175228118896,0.051953126,475,1.3670611
102400,1.5465692,-0.00087989325,0.0039489614,50,102400,321.9029590277778,1421.6527777777778,203.59806060791016,0.03858816623687744,0.04526367,505,1.2478234
104448,1.5544746,-0.002575698,0.0042693517,51,104448,325.2895674520548,1430.2465753424658,207.65019249916077,0.06170600652694702,0.052783202,501,1.328505
106496,1.5631124,-0.0016955349,0.0034384609,52,106496,328.05325090540543,1438.6081081081081,211.73777198791504,0.06818646192550659,0.036816407,510,1.1957426
108544,1.5610605,-0.0005136144,0.0038504992,53,108544,331.88823224000004,1446.7466666666667,215.74839687347412,0.11507898569107056,0.044287108,502,1.5470986
110592,1.5574669,-0.0017135907,0.0061947424,54,110592,334.7648585789474,1454.671052631579,219.8209207057953,0.012419581413269043,0.07841797,495,1.2281294
112640,1.564328,-0.000763783,0.00377658,55,112640,337.9135102077922,1462.3896103896104,223.95348286628723,0.03262382745742798,0.0440918,490,1.3439349
114688,1.5768459,-0.004610567,0.004837237,56,114688,340.80152637179486,1469.9102564102564,228.1308078765869,0.05546402931213379,0.058007814,496,1.3289782
116736,1.5847378,-0.0025312745,0.0065188706,57,116736,343.61871565822787,1477.240506329114,232.25234818458557,0.011623978614807129,0.08266602,491,1.3432393
118784,1.5991508,-0.0040208967,0.005717049,58,118784,346.55776665,1484.3875,236.42370319366455,0.060609519481658936,0.07080078,497,1.4077008
120832,1.6125038,-0.0006589113,0.0025168296,59,120832,349.1262718765432,1491.358024691358,240.5414068698883,0.04418259859085083,0.022753906,485,1.3346531
122880,1.6175022,-0.0007620536,0.0027686432,60,122880,351.58662593902443,1498.158536585366,244.7591097354889,0.06156724691390991,0.027978515,508,1.2820314
124928,1.6215475,-0.0027421429,0.0052172346,61,124928,354.02452627710846,1504.7951807228915,248.78622198104858,0.01319032907485962,0.06616211,511,1.2977735
126976,1.6225843,-0.001685418,0.0034023344,62,126976,357.4014485119048,1511.2738095238096,252.78702592849731,0.1245189905166626,0.033691406,491,1.8207083
129024,1.624944,-0.0033673334,0.0044840532,63,129024,361.1948529176471,1517.6,256.9512302875519,0.15312427282333374,0.053466797,481,2.1264644
131072,1.6378187,-0.001328884,0.00501703,64,131072,364.944284511628,1523.7790697674418,261.20088815689087,0.19050127267837524,0.058984376,475,1.9643342
133120,1.639288,-0.002450736,0.0040004835,65,133120,368.1946598390805,1529.816091954023,265.50946521759033,0.13365435600280762,0.048193358,477,1.6307614
135168,1.6363535,0.0010630718,0.0039220415,66,135168,371.3668259090909,1535.715909090909,269.8020293712616,0.11000609397888184,0.045800783,473,1.8052136
137216,1.6363605,-0.003896545,0.005175059,67,137216,375.0883012247191,1541.4831460674156,274.1263093948364,0.13210219144821167,0.06293945,473,2.2136543
139264,1.6347167,-0.0021093492,0.004265258,68,139264,377.9602528888888,1547.1222222222223,278.4536774158478,0.11552244424819946,0.05102539,486,1.7013277
141312,1.6322912,-0.0013246018,0.0030443626,69,141312,380.938690098901,1552.6373626373627,282.6666615009308,0.20834344625473022,0.031640626,483,1.7075999
143360,1.6299312,-0.0035502636,0.005342939,70,143360,383.7795313586956,1558.0326086956522,286.90178394317627,0.26451575756073,0.063964844,472,1.6303222
145408,1.6281128,-0.0026095128,0.0048305346,71,145408,386.77386187096766,1563.3118279569892,291.23426270484924,0.1958957314491272,0.057958983,474,1.9933075
147456,1.6372948,-0.0014461806,0.0041663386,72,147456,389.6325405531914,1568.4787234042553,295.5549750328064,0.1650785207748413,0.049853515,494,1.8964173
149504,1.6538547,-0.002800037,0.0047064014,73,149504,392.992722168421,1573.536842105263,299.6958351135254,0.2323058843612671,0.05522461,482,2.1305223
151552,1.6565676,-0.0021738815,0.0037515883,74,151552,396.4846219374999,1578.4895833333333,303.9379119873047,0.21081572771072388,0.043652344,489,2.561005
153600,1.6602852,-0.0034031023,0.0044409195,75,153600,400.8819249484535,1583.340206185567,308.1210906505585,0.31581902503967285,0.052197266,503,3.682516
155648,1.6474794,-0.0013836998,0.0035257176,76,155648,405.5376733367346,1588.091836734694,312.19050097465515,0.24313992261886597,0.035595704,494,4.376404
157696,1.6427788,-0.0024030285,0.0041559758,77,157696,408.49880217171705,1592.7474747474748,316.32933473587036,0.27222031354904175,0.04448242,476,2.1074202
159744,1.649312,-0.00056589063,0.002655485,78,159744,412.05523555999986,1597.31,320.62916564941406,0.2912737727165222,0.026953125,474,3.0866694
161792,1.6608031,-0.0021691392,0.0047891154,79,161792,418.20978075999983,1612.41,324.9483690261841,0.2764962315559387,0.058886718,477,2.3515058
163840,1.6627098,-0.0027434349,0.0052386066,80,163840,424.6028749099998,1629.67,329.23722529411316,0.32125139236450195,0.0659668,466,2.0919251
165888,1.6569531,1.4377525e-05,0.0024309803,81,165888,429.9236422799999,1640.53,333.62460803985596,0.34074312448501587,0.021386718,481,2.1815
167936,1.6585228,-0.0008151617,0.0040959204,82,167936,435.7157104099999,1655.91,337.8801565170288,0.29304075241088867,0.043554686,487,2.09541
169984,1.6597767,-0.0014319989,0.0032640882,83,169984,441.4839406599999,1668.12,342.08035349845886,0.34602177143096924,0.035595704,491,2.2864223
172032,1.6647398,-0.0022363453,0.0028255433,84,172032,448.04952884,1685.9,346.24862122535706,0.34565991163253784,0.02836914,485,2.3324707
174080,1.6594303,-0.00050097826,0.002671407,85,174080,451.95404671000006,1685.9,350.471134185791,0.4534047245979309,0.022998046,468,2.8670363
176128,1.6566265,-0.0012863055,0.0027900226,86,176128,458.04491727,1696.54,354.84688091278076,0.45822596549987793,0.02734375,475,3.594417
178176,1.6547022,-0.002637344,0.004181364,87,178176,464.59571008,1712.41,359.1504211425781,0.4769686460494995,0.046875,480,2.637387
180224,1.656152,-0.0028720412,0.0049128,88,180224,467.92846082999995,1717.0,363.40916180610657,0.5647794008255005,0.05649414,470,2.522656
182272,1.6560528,-0.0029023902,0.0044153742,89,182272,470.55920961000004,1709.75,367.7643299102783,0.4405090808868408,0.05053711,481,4.265511
184320,1.6545489,-0.0024622385,0.0041711126,90,184320,474.96346351000005,1709.75,372.01573395729065,0.5059359967708588,0.048291016,494,3.6217399
186368,1.6470125,-0.0014144278,0.0031935447,91,186368,481.16319658000015,1722.38,376.15577936172485,0.4677932858467102,0.028955078,473,3.0593667
188416,1.6446598,-0.0067085684,0.005269765,92,188416,487.52930176000007,1733.92,380.47992873191833,0.4619481563568115,0.06958008,436,3.4328892
190464,1.6446569,-0.0041200784,0.0025418152,93,190464,494.3930230400001,1746.61,385.1690652370453,0.4841270446777344,0.02607422,490,3.7227845
192512,1.6466058,-0.0034476083,0.004820672,94,192512,501.9104881700001,1759.52,389.3451769351959,0.5154856741428375,0.058300782,500,4.355119
194560,1.6494147,-0.002740282,0.0023820433,95,194560,503.31443640000003,1759.54,393.4362847805023,0.5286346077919006,0.021679688,493,4.7707453
196608,1.6517626,-0.0022955402,0.0026136201,96,196608,515.6038577200001,1779.37,397.5858883857727,0.6106469631195068,0.025146484,476,4.6055346
198656,1.657748,-0.0014652826,0.0037294142,97,198656,524.41398104,1794.89,401.8858711719513,0.6307664215564728,0.04018555,489,4.74302
200704,1.673804,-0.0022604666,0.0031241693,98,200704,526.7811913999999,1796.72,406.0719006061554,0.7045489251613617,0.03354492,497,3.78974
202752,1.683317,-0.0018806101,0.003188959,99,202752,534.97119809,1810.4,410.1924993991852,0.6068079769611359,0.03149414,497,4.001736
204800,1.6850916,-0.0007216545,0.0022910016,100,204800,543.0171521,1824.02,414.3068437576294,0.5931247472763062,0.014892578,483,4.6390433
206848,1.6808828,-0.0015774595,0.0025366503,101,206848,549.25385254,1832.22,418.5421984195709,0.6028921008110046,0.026464844,475,4.4777536
208896,1.6822367,-0.005352813,0.006307664,102,208896,556.56259331,1843.11,422.8490207195282,0.6500757932662964,0.08286133,511,4.5300593
210944,1.7013029,-0.0042488226,0.0024584613,103,210944,567.35554341,1860.7,426.8527572154999,0.6361376643180847,0.028027344,490,5.4610133
212992,1.7117212,-0.0048890607,0.0048966315,104,212992,574.4426334699998,1863.52,431.03063797950745,0.5872386693954468,0.059033204,490,6.9143167
215040,1.7203376,-0.0005679361,0.0024061853,105,215040,577.70995904,1869.46,435.20727610588074,0.6911799609661102,0.023925781,486,2.9583035
217088,1.716979,-0.0024230492,0.0027218394,106,217088,584.72753182,1879.52,439.41488552093506,0.606983870267868,0.024121094,495,4.1038737
219136,1.7077312,-0.0013677711,0.003056353,107,219136,591.90337544,1891.25,443.54719066619873,0.7000353634357452,0.029394532,492,3.4564128
221184,1.7049596,-0.0043956204,0.00437353,108,221184,599.1858518999999,1904.25,447.7073004245758,0.632735401391983,0.053808592,486,4.1967883
223232,1.7039093,-0.004123843,0.006898751,109,223232,604.12625814,1904.25,451.92051219940186,0.6652601361274719,0.091357425,475,3.6079826
225280,1.7039049,-0.002241414,0.004665795,110,225280,608.50651844,1904.25,456.2311532497406,0.6319857537746429,0.05810547,498,3.6117177
227328,1.6929245,-0.005347907,0.0056133275,111,227328,613.8381812599999,1904.25,460.3415904045105,0.6006110608577728,0.07006836,515,4.2841864
229376,1.6942711,-0.0025136531,0.0022532688,112,229376,619.02884682,1904.25,464.3131091594696,0.619699090719223,0.022265624,506,5.0665293
231424,1.7090051,-0.001884328,0.0027835928,113,231424,618.91988772,1881.99,468.3572771549225,0.6898128688335419,0.032421876,509,6.0756083
233472,1.7160622,-0.0021890127,0.0034019898,114,233472,621.42892808,1875.73,472.37964606285095,0.7829492092132568,0.035595704,492,3.4909935
235520,1.7137592,-0.0032933815,0.0050790566,115,235520,628.29801999,1880.19,476.53581404685974,0.6562879979610443,0.06113281,489,3.7446868
237568,1.7071311,-0.0021807044,0.0042125382,116,237568,633.35689504,1884.13,480.72393012046814,0.7133539617061615,0.050195314,484,3.908318
239616,1.7091253,-0.0030360364,0.0035626101,117,239616,640.90981696,1895.55,484.9512279033661,0.6825653612613678,0.037353516,491,4.238675
241664,1.7028366,-0.0022901117,0.001533747,118,241664,648.49788943,1907.95,489.1223154067993,0.7316270768642426,0.010058594,495,4.3619814
243712,1.7073323,-0.0040671593,0.0046727033,119,243712,656.3127824999999,1910.86,493.2579138278961,0.6364777684211731,0.05307617,491,7.22126
245760,1.706727,-0.0019078178,0.0036624216,120,245760,657.8426752199999,1905.64,497.424786567688,0.7481431066989899,0.04121094,516,4.6822705
247808,1.6997654,-0.0026832102,0.002701432,121,247808,664.09369584,1895.43,501.393673658371,0.656446635723114,0.028222656,438,8.048612
249856,1.7069343,-0.0032560094,0.002196344,122,249856,662.5182734300001,1863.87,506.05995512008667,0.6760506629943848,0.021630859,470,9.533319
251904,1.7205641,-0.00613591,0.004192931,123,251904,659.7546514900001,1839.86,510.4141221046448,0.8152610063552856,0.047314454,493,4.8349113
253952,1.7330929,-0.0053639496,0.0048525184,124,253952,653.1368099200001,1800.1,514.5676038265228,0.6760959327220917,0.061669923,504,9.692397
256000,1.7411444,-0.0016084712,0.0027850636,125,256000,646.0900219800001,1759.36,518.6238889694214,0.5640915036201477,0.026464844,488,10.917272
258048,1.7345413,-0.0030830395,0.0038031053,126,258048,638.7532179,1719.1,522.8181207180023,0.6361910402774811,0.039355468,504,10.141143
260096,1.7264658,-0.0015748243,0.0032775532,127,260096,636.16292294,1695.58,526.881685256958,0.7215381562709808,0.033935547,486,6.3254895
262144,1.7197593,-0.002518678,0.002815262,128,262144,630.6448816499999,1658.63,531.0925004482269,0.7152557671070099,0.027685547,492,8.940058
264192,1.7184811,-0.0024679194,0.002504873,129,264192,616.5136562499999,1597.15,535.2548472881317,0.6412940323352814,0.024316406,484,11.112688
266240,1.7245897,-0.0032824292,0.0054720636,130,266240,608.7473677899999,1556.24,539.4817671775818,0.7125392258167267,0.06591797,492,8.951876
268288,1.7266306,0.0012488688,0.004286686,131,268288,598.39658599,1510.04,543.6434948444366,0.7247141599655151,0.044628907,477,8.715382
270336,1.7216816,-0.0029539198,0.0025260404,132,270336,587.27735134,1453.08,547.9316651821136,0.6249175667762756,0.025585938,474,12.51993
272384,1.7148421,-0.0016971153,0.0035876166,133,272384,570.1350289,1392.75,552.2470500469208,0.6344442963600159,0.03803711,485,11.745945
274432,1.6983258,-0.00070234016,0.003107253,134,274432,557.5345246,1348.18,556.4698164463043,0.6797713935375214,0.03261719,480,8.399481
276480,1.6931349,-0.0015499692,0.0040908284,135,276480,539.23414829,1284.59,560.7354741096497,0.6192066669464111,0.045800783,486,12.754625
278528,1.6838696,-0.0013361246,0.0039462326,136,278528,518.25279241,1225.28,564.9424107074738,0.6839001774787903,0.044628907,487,10.729759
280576,1.691274,-0.0022324284,0.0027889316,137,280576,497.38351322999995,1161.62,569.1398923397064,0.6716688275337219,0.031982422,497,10.729991
282624,1.7001833,-0.0001955945,0.0041013807,138,282624,472.79574015,1084.03,573.2564013004303,0.7179871201515198,0.046728514,484,13.001889
284672,1.6946379,-0.0013863608,0.0040024123,139,284672,462.85286801,1052.26,577.4874784946442,0.781842902302742,0.044287108,492,7.4205275
286720,1.6848309,-0.0010230351,0.0037949868,140,286720,447.38607562,1008.86,581.643052816391,0.7163253426551819,0.040283203,488,11.86384
288768,1.680501,-0.0028685473,0.0030323802,141,288768,418.91300728999994,941.94,585.8332617282867,0.6879223883152008,0.03334961,496,12.844894
290816,1.6845255,-0.0015880851,0.005684604,142,290816,406.00513651,914.21,589.9621472358704,0.8104557543992996,0.064453125,487,6.9124374
292864,1.6962626,-0.00094161555,0.0023611654,143,292864,372.19323742000006,838.66,594.164701461792,0.6425525844097137,0.021533202,511,14.576254
294912,1.7030207,-0.0012826998,0.003436933,144,294912,358.63572214,805.47,598.1677310466766,0.7994397133588791,0.040527344,481,7.6260405
