policy_entropy,approxkl,total_timesteps,n_updates,explained_variance,clipfrac,value_loss,policy_loss,serial_timesteps,time_elapsed,fps,ep_len_mean,ep_reward_mean
5.392261,0.0047916817,102400,50,0.0057648420333862305,0.06074219,20.096668,-0.0021088296,102400,246.63799166679382,411,1706.593220338983,1691.9856429491522
5.3992624,0.0039057843,104448,51,-0.007554531097412109,0.050390624,20.278843,-0.0012450138,104448,251.61946654319763,386,1712.3,1697.822344283333
5.40714,0.0003094248,106496,52,0.001330733299255371,0.0001953125,20.233934,0.00042807247,106496,256.9241871833801,403,1717.8196721311476,1703.4743589836062
5.4093347,0.0064818375,108544,53,0.0023775100708007812,0.08085938,20.206366,-0.0018876825,108544,261.99763202667236,394,1723.1612903225807,1708.9932847096773
5.4112806,0.0024990574,110592,54,0.6956518292427063,0.02734375,22.661049,-0.0010725108,110592,267.189341545105,406,1701.828125,1687.9774540624999
5.420439,0.0033408287,112640,55,0.002310037612915039,0.037109375,20.097134,-0.00050959055,112640,272.2276363372803,420,1707.1692307692308,1693.4862664153843
5.423434,0.005645031,114688,56,-0.002004265785217285,0.078710936,20.134188,-0.0024140961,114688,277.104407787323,398,1712.3484848484848,1698.8128893484848
5.4317837,0.002494421,116736,57,-0.005872368812561035,0.020996094,20.161257,0.0003430411,116736,282.23931550979614,414,1717.3731343283582,1703.9903669104476
5.438317,0.0018839436,118784,58,-0.0031321048736572266,0.018115234,20.095343,0.00056375226,118784,287.17643880844116,419,1722.25,1708.9860531911763
5.438614,0.0036504935,120832,59,-0.0035687685012817383,0.045166016,20.056732,-0.0015781628,120832,292.0533082485199,414,1726.9855072463768,1713.816211057971
5.4329944,0.002606827,122880,60,-0.0028188228607177734,0.024853516,20.004644,-0.00045770203,122880,297.00065636634827,408,1731.5857142857142,1718.5343590714285
5.430696,0.00485208,124928,61,-0.0003224611282348633,0.0640625,19.917482,-0.0019155212,124928,302.0179183483124,388,1736.056338028169,1723.1302795352112
5.439011,0.0037453952,126976,62,-0.00010848045349121094,0.045703124,19.908733,-0.0012426287,126976,307.28366899490356,391,1740.4027777777778,1727.609435013889
5.4628696,0.002481948,129024,63,-0.0038194656372070312,0.024072265,19.828062,-0.0026336252,129024,312.5209677219391,426,1744.6301369863013,1731.9566237123288
5.494822,0.0020791544,131072,64,0.6939728260040283,0.02216797,22.192917,-0.00051745516,131072,317.32054257392883,435,1725.8533333333332,1713.4660218533334
5.5322065,0.0022316012,133120,65,0.0036771297454833984,0.024609376,19.825796,-0.0005728924,133120,322.02611804008484,410,1730.1052631578948,1717.8213090921054
5.5476317,0.004029822,135168,66,-0.0022881031036376953,0.04916992,20.040674,-0.0015987294,135168,327.0135545730591,410,1734.2467532467533,1722.0503552207795
5.545293,0.0043927403,137216,67,0.0048449039459228516,0.048876952,19.918331,-0.0017988023,137216,332.00575828552246,403,1738.2820512820513,1726.1589469615387
5.54508,0.0016992831,139264,68,0.6886918246746063,0.016748047,23.0742,0.00023143177,139264,337.0789895057678,403,1720.8375,1708.9133147
5.5434775,0.0030387214,141312,69,0.05217278003692627,0.03046875,19.237057,-0.0016122811,141312,342.15453720092773,421,1724.888888888889,1713.0062948518516
5.5426087,0.0015645002,143360,70,0.0634574294090271,0.01118164,19.11317,-4.8480426e-05,143360,347.01331543922424,419,1728.841463414634,1716.9572482926826
5.542763,0.0026462818,145408,71,0.07104593515396118,0.0265625,19.12644,2.1614009e-05,145408,351.89648056030273,408,1732.698795180723,1720.8120936746986
5.5449834,0.0010780963,147456,72,0.10086625814437866,0.006689453,18.545841,-9.193289e-05,147456,356.915504693985,421,1736.4642857142858,1724.5687275238095
5.553382,0.003151095,149504,73,-0.0037229061126708984,0.035302736,20.015366,-0.0018568553,149504,361.7717843055725,416,1740.1411764705883,1728.2122486352941
