n_updates,fps,clipfrac,explained_variance,total_timesteps,ep_len_mean,value_loss,time_elapsed,policy_loss,approxkl,serial_timesteps,policy_entropy,ep_reward_mean
1,525,0.0359375,0.9526186026632786,2048,301.0,11.9017,2.1457672119140625e-06,-0.0039023166,0.0033290968,2048,6.077608,144.2009185
2,538,0.021289062,0.7820416390895844,4096,883.6666666666666,20.98387,3.9006621837615967,-0.0022126115,0.0020879647,4096,6.082346,730.390804
3,554,0.03178711,0.8685421049594879,6144,1050.8,27.179432,7.705570936203003,-0.0010882908,0.0025947194,6144,6.0786214,870.8380096000001
4,540,0.018603515,0.8795273154973984,8192,1097.857142857143,24.180187,11.398372650146484,-0.0031502862,0.0018109087,8192,6.077381,919.4452555714287
5,486,0.015917968,0.8676110953092575,10240,1020.6,31.492758,15.190982103347778,-0.0024836957,0.0019696378,10240,6.057306,851.9099696
6,523,0.016748047,0.6469910144805908,12288,717.7058823529412,42.89782,19.397318840026855,-0.0022544884,0.0018117862,12288,6.0394287,562.466846882353
7,536,0.027246093,0.8472623378038406,14336,627.9090909090909,31.242313,23.307626247406006,-0.0041399375,0.0026128185,14336,6.039769,472.25422640909096
8,512,0.03564453,0.8732864409685135,16384,676.6666666666666,26.133276,27.12368607521057,-0.00277584,0.003472145,16384,6.0421467,518.6215820833334
9,515,0.023486327,0.7635047882795334,18432,707.8461538461538,26.881313,31.12458372116089,-0.0040700445,0.0025407495,18432,6.044978,553.7199680384615
10,540,0.023583984,0.868671789765358,20480,657.0322580645161,20.609621,35.09631943702698,-0.004760361,0.002103298,20480,6.051016,499.54524538709677
11,542,0.021582032,0.9618621468544006,22528,650.71875,6.246924,38.8839750289917,-0.0026516644,0.0028176568,22528,6.0581408,491.42990334374997
12,526,0.053808592,0.7404069304466248,24576,693.0909090909091,19.832523,42.661527156829834,-0.00096237555,0.0046512475,24576,6.049084,534.4570265454546
13,520,0.029589843,0.7854566276073456,26624,747.6857142857143,27.608368,46.54884386062622,-0.0038236398,0.0027809255,26624,6.039712,578.7551740285713
14,506,0.02758789,0.824770137667656,28672,783.8333333333334,19.117804,50.48167037963867,-0.0018249545,0.002652135,28672,6.0401125,610.54206575
