serial_timesteps,policy_entropy,fps,total_timesteps,time_elapsed,explained_variance,approxkl,policy_loss,value_loss,clipfrac,n_updates,ep_len_mean,ep_reward_mean
2048,3.5953357,474,2048,1.9073486328125e-06,0.9843990998342633,0.0032602567,-0.00399449,0.72552884,0.032714844,1,,
4096,3.5892491,464,4096,4.317560434341431,0.9685677960515022,0.0032967837,-0.002264146,1.4819618,0.035107423,2,2049.0,1360.506402
6144,3.5877717,506,6144,8.731762647628784,0.959073081612587,0.0033197298,-0.0040892484,2.5623553,0.032177735,3,2049.0,1369.046541
8192,3.6026947,483,8192,12.779189109802246,0.9031202495098114,0.005715066,-0.0027069089,3.9514656,0.068798825,4,2049.0,1383.7872416666667
10240,3.6110713,464,10240,17.013407945632935,0.8211201578378677,0.0070756236,-0.0052609993,5.368407,0.08046875,5,2049.0,1347.5804405
12288,3.6024613,480,12288,21.42328715324402,0.8655548840761185,0.0033192479,0.0018411307,5.2263455,0.037646484,6,2049.0,1327.4988349999999
14336,3.5942745,476,14336,25.684057474136353,0.8621432930231094,0.005599857,-0.005345964,5.390997,0.0675293,7,2049.0,1317.9578121666666
16384,3.593916,488,16384,29.983449935913086,0.8579011261463165,0.0034554757,-0.0028741795,5.5486465,0.03696289,8,2049.0,1304.326236857143
18432,3.6000214,494,18432,34.17913317680359,0.8074269443750381,0.0053305174,-0.0028849272,6.25426,0.0597168,9,2049.0,1299.311516875
20480,3.600813,467,20480,38.32489562034607,0.8290038853883743,0.0046701664,-0.002982511,6.231973,0.05307617,10,2049.0,1294.2379622222224
22528,3.6036563,479,22528,42.70349383354187,0.7843389511108398,0.0045528957,-0.002626475,7.602043,0.052197266,11,2049.0,1290.1249066
24576,3.6070619,469,24576,46.97819972038269,0.8273844122886658,0.0051435092,-0.0040609455,7.06833,0.05859375,12,2049.0,1290.0077417272728
26624,3.6126113,457,26624,51.34129881858826,0.7736796736717224,0.0041788076,-0.0005866428,8.570841,0.049609374,13,2049.0,1289.1338629166667
28672,3.6322162,456,28672,55.82022142410278,0.7646340727806091,0.0044618547,-0.0016465355,13.987572,0.05131836,14,1937.142857142857,1212.0504483571428
30720,3.6390252,451,30720,60.30965495109558,0.8112819194793701,0.0025358761,-0.002364004,10.698187,0.024023438,15,1944.6,1213.8783378
32768,3.629968,462,32768,64.85077571868896,0.8245047777891159,0.0048670336,-0.004705227,9.801592,0.06279297,16,1951.125,1223.2769268124998
34816,3.6284776,466,34816,69.28252482414246,0.7836270332336426,0.0032537975,-0.0025619653,8.900489,0.035351563,17,1956.8823529411766,1231.758536117647
36864,3.6321285,426,36864,73.67480659484863,0.8122469931840897,0.002095627,-0.0015373187,11.657855,0.02216797,18,1962.0,1235.746167888889
38912,3.6408443,447,38912,78.47529196739197,0.7711321711540222,0.0025088075,-0.0022531396,10.927816,0.025195312,19,1966.578947368421,1245.6722034736842
40960,3.652249,453,40960,83.05661177635193,0.8421057164669037,0.004653874,-0.0034226372,9.45563,0.057714842,20,1970.7,1254.44561025
43008,3.6504638,467,43008,87.57710480690002,0.825915664434433,0.0025465526,-0.0016987389,10.228846,0.025683593,21,1974.4285714285713,1257.9563015238095
45056,3.6415405,451,45056,91.95913910865784,0.7603636384010315,0.0039544953,-0.0018420101,10.239649,0.04399414,22,1977.8181818181818,1263.7518873181818
47104,3.635096,474,47104,96.49551177024841,0.7147703170776367,0.004156839,-0.0027255686,13.788023,0.047070313,23,1980.9130434782608,1264.8145440434785
49152,3.6309624,458,49152,100.81284403800964,0.7571564167737961,0.0059815813,-0.003974129,11.586619,0.054345705,24,1983.75,1270.4497308333332
51200,3.6270988,463,51200,105.28415107727051,0.8015486001968384,0.0034329793,-0.0013505766,11.769979,0.033984374,25,1986.36,1274.7162361599999
53248,3.6318634,449,53248,109.72489857673645,0.7100400924682617,0.0026119736,-0.0023110942,21.338299,0.028222656,26,1964.7407407407406,1264.0777374444444
55296,3.633618,465,55296,114.28530168533325,0.7474031448364258,0.0047742263,-0.0021113954,12.02553,0.05390625,27,1967.75,1267.617727642857
57344,3.6227589,460,57344,118.6823103427887,0.7118138670921326,0.0041167038,-0.0033468981,11.990591,0.047167968,28,1970.551724137931,1270.365374
59392,3.6359138,441,59392,123.13289833068848,0.878419816493988,0.003971198,-0.0017519444,8.701464,0.04453125,29,1944.3333333333333,1254.2391531333333
61440,3.6560912,453,61440,127.76761984825134,0.6775172650814056,0.0047207875,-0.004268139,23.232143,0.049707033,30,1906.90625,1229.4775870937501
63488,3.6645293,424,63488,132.28695917129517,0.8185825645923615,0.00602673,-0.005142393,8.938539,0.057177734,31,1867.090909090909,1201.9698929696972
65536,3.673581,458,65536,137.1137773990631,0.8162098973989487,0.0024802205,-0.003052004,11.426848,0.029248048,32,1872.4411764705883,1206.7124235882354
67584,3.682036,484,67584,141.58049988746643,0.8220039755105972,0.0050012222,-0.0013316869,14.935656,0.054003906,33,1835.1666666666667,1183.2785179166667
69632,3.6798196,484,69632,145.8116159439087,0.8060133755207062,0.0031252757,-0.0020069215,22.39773,0.032958984,34,1766.076923076923,1136.992693897436
71680,3.6764088,470,71680,150.04316568374634,0.799860492348671,0.0035022055,-0.0034984779,10.543303,0.04140625,35,1773.15,1143.345479125
73728,3.6708093,489,73728,154.40030241012573,0.7570983022451401,0.0038028075,-0.0022552363,12.618776,0.041552734,36,1779.878048780488,1148.4991098048781
75776,3.6691647,469,75776,158.58600878715515,0.8375894725322723,0.0051757153,-0.004582145,11.604153,0.06201172,37,1786.2857142857142,1155.9676201666666
77824,3.6722274,474,77824,162.94596123695374,0.869811087846756,0.004502559,-0.003745697,8.106622,0.04951172,38,1792.3953488372092,1161.3215830930233
79872,3.6793602,468,79872,167.26147842407227,0.7624615579843521,0.005748809,-0.0036138822,11.642264,0.06328125,39,1798.2272727272727,1165.8854278409092
81920,3.680453,483,81920,171.63715982437134,0.756875291466713,0.003687298,-0.0018811412,12.268811,0.039501954,40,1803.8,1170.8643567111112
83968,3.6730332,480,83968,175.8761751651764,0.7656665146350861,0.0036818874,-0.005289168,13.20561,0.043945312,41,1809.1304347826087,1176.0205618913044
86016,3.6573615,471,86016,180.13595032691956,0.7650450021028519,0.0047286917,-0.0039086416,13.07209,0.05288086,42,1814.2340425531916,1181.1761664680853
88064,3.6476142,471,88064,184.48147010803223,0.7595047503709793,0.0027564887,-0.001170359,12.179937,0.030566406,43,1819.125,1184.0862886666666
90112,3.6424937,484,90112,188.82195711135864,0.8026150166988373,0.0031068937,-0.0024053254,10.132819,0.031347655,44,1823.8163265306123,1188.2341509591838
