policy_entropy,n_updates,approxkl,value_loss,clipfrac,total_timesteps,serial_timesteps,explained_variance,ep_reward_mean,fps,time_elapsed,ep_len_mean,policy_loss
1.4171159,1,0.0027196207,4.2507343,0.024072265,2048,2048,-0.09745645523071289,173.2557145,267,3.337860107421875e-06,947.0,-0.002813593
1.409066,2,0.0021015897,4.9327264,0.018066406,4096,4096,-0.40224242210388184,110.2304707142857,277,7.668098449707031,567.1428571428571,-0.0031612092
1.4072382,3,0.0037339341,4.983836,0.042871095,6144,6144,-0.2632880210876465,87.6822105,282,15.04238748550415,437.5,-0.003834597
1.4179845,4,0.0027274531,5.245707,0.024169922,8192,8192,-0.2029937505722046,87.2360892631579,289,22.288662672042847,425.36842105263156,-0.00081654673
1.4266886,5,0.0025673115,3.5676105,0.02319336,10240,10240,0.10712480545043945,74.91913737037036,287,29.362968921661377,367.8888888888889,-0.0011815546
1.4220428,6,0.0027966863,3.6105397,0.022705078,12288,12288,0.09683787822723389,75.06650245454546,279,36.48639512062073,371.3333333333333,-0.0022468849
1.4234922,7,0.0016783947,3.7412357,0.012402344,14336,14336,0.306118905544281,74.81156986842106,282,43.80339431762695,370.2631578947368,-0.0018989459
1.4358957,8,0.0034551162,3.1385875,0.040283203,16384,16384,0.4479392170906067,69.65571636170212,254,51.04634118080139,344.3191489361702,-0.0039433567
1.4405487,9,0.0032451227,4.304698,0.036816407,18432,18432,0.3142598867416382,69.77795014814814,246,59.1062216758728,338.77777777777777,-0.0024786422
1.4558121,10,0.0042726086,2.0942616,0.049951173,20480,20480,0.7536908835172653,66.96676643548386,280,67.40302753448486,327.14516129032256,-0.0064726747
1.4741638,11,0.0030504982,2.0492976,0.03227539,22528,22528,0.8240942358970642,65.49947922857143,277,74.70456337928772,320.4142857142857,-0.002545976
1.474619,12,0.003034367,2.6182134,0.031054687,24576,24576,0.8328646123409271,66.31152204,282,82.07778024673462,322.8,-0.002386986
1.4757313,13,0.0033690422,1.7972269,0.037060548,26624,26624,0.8042460381984711,69.14299847435898,274,89.32873964309692,341.2564102564103,-0.0029436988
1.4835346,14,0.004376951,2.0965831,0.053857423,28672,28672,0.8137005269527435,70.9195669125,262,96.80381679534912,349.5875,-0.002269435
1.4860249,15,0.0036654323,1.9421507,0.03720703,30720,30720,0.5319673717021942,74.7023154074074,298,104.60273885726929,370.5679012345679,-0.0025442233
1.4877799,16,0.003611707,2.6402516,0.038623046,32768,32768,0.4463527798652649,78.78070204878048,282,111.47249412536621,391.0365853658537,-0.0027201667
1.4857385,17,0.002731808,1.9644114,0.024169922,34816,34816,0.6984498202800751,80.17991673493975,288,118.71171998977661,395.8313253012048,-0.0024095753
1.4880873,18,0.0013450265,2.6484523,0.008154297,36864,36864,0.4953201413154602,84.40508559523808,270,125.80227899551392,415.51190476190476,-0.00028369186
1.4933606,19,0.0025276789,1.5796256,0.020410156,38912,38912,0.39085114002227783,89.11969398823528,279,133.36695790290833,434.7294117647059,-0.0006624152
1.4900429,20,0.0024788582,8.385733,0.02216797,40960,40960,-0.21663987636566162,99.27542154022987,255,140.68308639526367,469.6551724137931,-0.0013135133
1.4744382,21,0.0021500112,5.496373,0.01640625,43008,43008,-0.10614752769470215,105.19682935227274,264,148.6912100315094,487.60227272727275,-0.00042471802
1.4657989,22,0.00398003,2.543436,0.045556642,45056,45056,0.24497824907302856,109.98082194382025,282,156.44937896728516,505.14606741573033,-0.0040677157
1.4654646,23,0.0027479096,2.0756683,0.025683593,47104,47104,-0.0675210952758789,114.48704611111114,276,163.69739603996277,522.3,-0.00059425604
1.4592555,24,0.0041675717,2.3787591,0.043652344,49152,49152,0.1478143334388733,119.25147723076927,249,171.09194254875183,539.0769230769231,-0.002928209
1.4582548,25,0.0036885694,1.7101294,0.04042969,51200,51200,-0.03800177574157715,123.63178527173916,277,179.2946412563324,555.4891304347826,-0.0016747636
1.4540224,26,0.0035497386,1.5497539,0.03881836,53248,53248,-0.004094362258911133,127.91287646236562,292,186.68897199630737,571.5483870967741,-0.0035338209
1.4427197,27,0.0046882806,1.793596,0.052978516,55296,55296,0.03567695617675781,132.36945240425536,278,193.7014844417572,587.2659574468086,-0.003006958
1.4396966,28,0.0035195332,2.1071649,0.036474608,57344,57344,-0.15650272369384766,136.94960794736843,277,201.04936742782593,602.6526315789474,-0.00053249125
1.4315573,29,0.0066165878,1.0554302,0.083789065,59392,59392,0.03388822078704834,140.68282109375,295,208.42190265655518,617.71875,-0.0056459126
1.4311979,30,0.00618308,1.4049714,0.07675781,61440,61440,-0.02706897258758545,144.774624814433,281,215.35559606552124,632.4742268041238,-0.0013905035
1.4391044,31,0.0037471242,1.2035381,0.04399414,63488,63488,0.026816844940185547,148.6006617244898,272,222.6313898563385,646.9285714285714,-0.00032377781
1.4406703,32,0.00396167,1.3807796,0.039892577,65536,65536,-0.05865287780761719,152.55239880808082,274,230.14316487312317,661.0909090909091,-0.0019138993
1.4484887,33,0.005506887,1.2797201,0.061523438,67584,67584,0.08734625577926636,156.4041711,286,237.60688757896423,674.97,-0.004919542
1.4508305,34,0.0041181454,1.3082654,0.04423828,69632,69632,0.04770505428314209,161.24400641000003,291,244.75983047485352,692.46,-0.00019244291
1.4570043,35,0.004033044,1.8002179,0.047851562,71680,71680,0.019704878330230713,164.29391252000002,272,251.7804594039917,697.01,-0.0010744717
1.4800417,36,0.005561513,1.6776106,0.06777344,73728,73728,-0.02342689037322998,168.82410839000005,267,259.28546261787415,710.79,-0.00042326422
1.4933475,37,0.003542745,1.2008034,0.03793945,75776,75776,-0.0015758275985717773,173.61937220000004,276,266.9371473789215,728.4,-0.0023670285
1.5040271,38,0.0043070978,1.1112534,0.04951172,77824,77824,0.01985037326812744,178.00320603,277,274.333975315094,744.95,-0.0025463076
1.5179513,39,0.0026559278,1.1590399,0.027441407,79872,79872,0.05289739370346069,182.49109550999998,268,281.712233543396,761.48,0.00017886076
1.5223668,40,0.0056087216,1.2605555,0.07080078,81920,81920,-0.025519371032714844,187.15475176,270,289.32716512680054,778.7,-0.0022314214
1.5282072,41,0.00391661,1.5109122,0.045166016,83968,83968,0.05621987581253052,192.23719717,265,296.9105968475342,795.65,-0.0008336037
1.5299447,42,0.005123147,1.6384281,0.061621092,86016,86016,-0.001451730728149414,197.38862462,269,304.6176927089691,812.78,-0.0030124872
1.5258751,43,0.0051010223,1.5460732,0.06269531,88064,88064,0.032794296741485596,202.63730614000005,247,312.2054603099823,830.39,-0.002223278
1.5247138,44,0.004070517,1.4144806,0.043310545,90112,90112,0.032973647117614746,207.37152771,256,320.47063279151917,846.77,-0.001012971
1.5258205,45,0.0039011135,1.3940032,0.043310545,92160,92160,0.02732539176940918,212.35278390000002,281,328.4438190460205,864.29,-0.0025955087
1.5423334,46,0.004727102,1.406406,0.055078126,94208,94208,0.015449762344360352,217.72360064,273,335.71608328819275,882.69,-0.004452065
