n_updates,serial_timesteps,value_loss,explained_variance,fps,approxkl,total_timesteps,policy_loss,policy_entropy,clipfrac,time_elapsed,ep_reward_mean,ep_len_mean
136,278528,20.215414,0.92542564868927,188,0.0031477679,278528,-0.0015770905,3.030896,0.030810546,1099.3824236392975,1063.6069765299999,1090.05
137,280576,20.741938,0.8358290791511536,172,0.0020808508,280576,-0.0012159639,3.023966,0.02060547,1110.273338317871,1083.2007593,1109.58
138,282624,19.83325,-0.00426030158996582,152,0.0073987246,282624,-0.0017603601,3.0215888,0.096875,1122.1740934848785,1083.12025958,1109.58
139,284672,0.36095098,0.9969161890912801,150,0.007920446,284672,-0.0062753432,3.014652,0.103759766,1135.629135131836,1076.1717812000002,1102.49
140,286720,21.592155,0.9354206398129463,249,0.0041757943,286720,-0.0047319653,3.0046847,0.050097656,1149.2351582050323,1041.42020857,1066.92
141,288768,19.71764,0.008482873439788818,144,0.005788496,288768,-0.0036447425,3.006662,0.076367185,1157.4288928508759,1041.5839512500002,1066.92
142,290816,19.969078,-0.008316993713378906,135,0.0055274772,290816,-0.0034770954,3.0087085,0.07280274,1171.6020948886871,1052.1051754200003,1077.22
143,292864,19.843166,-0.0018662214279174805,138,0.0051543326,292864,-0.00087362307,3.0114367,0.06333008,1186.6893281936646,1052.4415100400001,1077.22
144,294912,20.580994,0.8622564822435379,174,0.00447287,294912,-0.003114246,3.0113416,0.050439455,1201.4618949890137,1052.33763746,1076.1
145,296960,0.39191705,0.9967596335336566,160,0.0025567813,296960,-0.0015350967,3.0123656,0.026953125,1213.2256863117218,1050.60336624,1074.33
146,299008,21.008524,0.9431532807648182,192,0.0019872214,299008,-0.0010689951,3.0150154,0.014160156,1225.990166425705,1029.60298916,1053.14
147,301056,19.894363,0.002406597137451172,105,0.0031264103,301056,-0.0007349157,3.01221,0.02734375,1236.6094233989716,1047.3740401100001,1070.91
148,303104,20.133724,0.8680425435304642,145,0.004260066,303104,-0.0015387937,3.0121188,0.047167968,1255.9885771274567,1049.4798241199999,1072.53
149,305152,20.442848,0.22126126289367676,145,0.003690106,305152,-0.0027981182,3.0162683,0.038769532,1270.0782635211945,1066.86598037,1089.76
150,307200,0.76891744,0.9966941545717418,179,0.003779314,307200,-0.0032429458,3.0417855,0.047460936,1284.1920902729034,1046.82660493,1069.63
151,309248,20.267508,0.8586478382349014,165,0.0050175535,309248,-0.0025244234,3.0767713,0.062207032,1295.6321260929108,1044.98029995,1067.84
152,311296,20.03184,-0.010402083396911621,145,0.0061679017,311296,-0.0022101873,3.1011817,0.07944336,1307.9904975891113,1062.0508482300002,1084.75
153,313344,20.972256,0.8289124816656113,166,0.0026110753,313344,-0.002315604,3.1057596,0.025732422,1322.0305836200714,1058.5018518200002,1081.03
154,315392,19.258759,0.8683553040027618,159,0.0027321149,315392,-0.0036700736,3.101137,0.026806641,1334.3663039207458,1065.2987553599999,1087.62
155,317440,19.967342,-0.009482264518737793,149,0.004816959,317440,-0.00061868405,3.0965953,0.06201172,1347.2045540809631,1078.9519077899997,1101.04
156,319488,20.56317,0.8672644942998886,159,0.0032848064,319488,-0.0029202877,3.0945165,0.03300781,1360.922935962677,1076.4905494399998,1098.66
157,321536,0.61477774,0.9951493693515658,161,0.003478298,321536,-0.0018881155,3.1021702,0.039208986,1373.7434628009796,1058.89719481,1080.95
158,323584,21.25561,0.9206516817212105,141,0.0017358216,323584,-0.00074657623,3.104157,0.0125,1386.4198548793793,1051.39560056,1073.29
159,325632,20.64243,0.9264489114284515,162,0.0015016731,325632,-0.00029180065,3.0973964,0.008984375,1400.9322493076324,1056.54809465,1078.32
160,327680,20.21713,0.8720241189002991,140,0.0034002897,327680,-0.0023673316,3.0954099,0.034570314,1413.503966808319,1070.7137707499999,1092.37
161,329728,20.030802,0.846752718091011,146,0.0035629466,329728,-0.0019298854,3.0916376,0.038671874,1428.132086277008,1086.42638389,1108.19
162,331776,1.4896203,0.994471222627908,181,0.007090782,331776,-0.010483665,3.085962,0.09458008,1442.1254422664642,1050.2838264700001,1072.12
163,333824,19.893564,0.8727709800004959,162,0.0047831247,333824,-0.0019298947,3.077456,0.058007814,1453.4276292324066,1063.5208267200003,1085.28
164,335872,20.19512,0.9250632598996162,210,0.0049642096,335872,-0.004005494,3.0648685,0.05698242,1466.0015940666199,1070.8460440099998,1092.48
165,337920,0.29858622,0.9973899098113179,143,0.0077849412,337920,-0.008208538,3.0425603,0.10976563,1475.7494106292725,1053.09101685,1074.83
166,339968,19.91069,0.8560929894447327,146,0.0058012987,339968,-0.0030737636,3.0410154,0.07514648,1490.0122201442719,1035.21318243,1057.03
167,342016,19.756126,-0.00935220718383789,145,0.0040620775,342016,-0.0013099759,3.0634952,0.04868164,1504.0325121879578,1052.03295476,1073.96
