value_loss,ep_len_mean,time_elapsed,policy_entropy,total_timesteps,ep_reward_mean,serial_timesteps,fps,explained_variance,policy_loss,clipfrac,approxkl,n_updates
4.7916684,447.75,2.1457672119140625e-06,1.413594,2048,88.31331175,2048,563,0.15149182081222534,-0.002439763,0.030761719,0.0034453352,1
4.645181,572.6,3.632078170776367,1.4042685,4096,114.99324659999999,4096,618,-0.12623655796051025,-0.003762639,0.04160156,0.0040668426,2
5.305158,740.0,6.942372798919678,1.3999349,6144,148.630512,6144,623,-0.02255558967590332,-0.0022065914,0.027783204,0.002695421,3
4.965185,697.1818181818181,10.23005485534668,1.3882706,8192,139.2558751818182,8192,618,-0.00807797908782959,-0.0066028684,0.064257815,0.00537334,4
7.169777,584.25,13.541825771331787,1.3879589,10240,119.35467693749999,10240,620,0.05866098403930664,-0.0028880676,0.031054687,0.002778593,5
9.3031435,670.4117647058823,16.84513831138611,1.4006517,12288,148.68239794117645,12288,600,0.004166543483734131,-0.0031660083,0.034814455,0.0033763263,6
5.9494147,612.695652173913,20.25397276878357,1.4015243,14336,139.15310234782606,14336,585,0.07341384887695312,-0.002152416,0.012158203,0.0018307113,7
8.34021,637.4,23.753535509109497,1.3942704,16384,148.14322651999998,16384,584,0.10476696491241455,-0.0026074238,0.023730468,0.0025695292,8
6.6519837,593.0967741935484,27.25578784942627,1.3927194,18432,140.06557154838706,18432,587,0.09848856925964355,-0.0011570984,0.017871093,0.002382302,9
3.9318573,521.7179487179487,30.742168188095093,1.3910345,20480,122.75452638461537,20480,587,0.3746079206466675,-0.001067072,0.008056641,0.001419301,10
4.5902677,505.84090909090907,34.227660179138184,1.3889959,22528,119.2516159318182,22528,543,0.272874116897583,-0.0032843505,0.03354492,0.0033184432,11
7.3756065,510.6666666666667,37.99677228927612,1.4034741,24576,122.80412962500002,24576,540,0.08346086740493774,-0.004454394,0.059277344,0.0047684466,12
4.8445244,493.1320754716981,41.789811849594116,1.409653,26624,118.94387220754719,26624,500,0.37724190950393677,-0.0033842288,0.02631836,0.0028563275,13
3.4474254,490.05172413793105,45.88279867172241,1.4129728,28672,118.69784427586208,28672,467,0.6215944290161133,-0.0029936954,0.031201173,0.002823424,14
4.872045,484.46774193548384,50.264957427978516,1.4195156,30720,117.74646477419354,30720,493,0.48751693964004517,-0.0033353318,0.038330078,0.003666311,15
7.262516,501.953125,54.418487310409546,1.4107562,32768,124.167435265625,32768,479,0.32356828451156616,-0.0013743414,0.022607422,0.0026098911,16
7.8631773,525.7538461538461,58.69227600097656,1.4008756,34816,132.84998033846153,34816,496,-0.17280423641204834,-0.0010566429,0.025488282,0.002966985,17
6.3752494,548.8333333333334,62.81876492500305,1.3919065,36864,140.38029592424243,36864,480,-0.11425161361694336,-0.002069289,0.023242187,0.0027458377,18
