approxkl,serial_timesteps,explained_variance,ep_len_mean,policy_loss,time_elapsed,ep_reward_mean,total_timesteps,clipfrac,n_updates,value_loss,policy_entropy,fps
0.0018970385,28672,0.9438593946397305,651.6136363636364,-0.0037158772,223.33507823944092,420.0130858863636,28672,0.018945312,14,11.972204,4.586749,123
0.0017650637,30720,0.7600537091493607,609.8,-0.003581683,239.9334716796875,387.3189921399999,30720,0.016210938,15,27.280294,4.5983715,61
0.0019798926,32768,0.929063007235527,603.0943396226415,-0.0056176856,273.12417340278625,380.2074513207546,32768,0.020654297,16,13.211027,4.606834,126
0.0019782116,34816,0.9516418091952801,617.4642857142857,-0.0038586457,289.3587849140167,393.4182930892857,34816,0.020068359,17,10.598167,4.6109,103
0.0017249126,36864,0.9435920044779778,613.7413793103449,-0.004904772,309.2335207462311,388.77219487931035,36864,0.01850586,18,8.1219845,4.608869,127
0.0029665635,38912,0.9511955790221691,624.8305084745763,-0.004433345,325.2519884109497,397.41724374576273,38912,0.031347655,19,5.2644844,4.59865,183
0.0012123238,40960,0.8964498415589333,643.4516129032259,-0.0035516922,336.43042182922363,412.83275890322574,40960,0.010107422,20,14.168332,4.5868697,107
0.0043902607,43008,0.7899962961673737,650.1746031746031,-0.0032123358,355.5519199371338,418.04003592063486,43008,0.054101564,21,4.51525,4.5913506,186
0.0025636577,45056,0.9590296000242233,689.7384615384616,-0.0055257585,366.5169904232025,446.4408563384616,45056,0.024853516,22,6.221221,4.5923777,142
0.0036314265,47104,0.8917889520525932,682.6818181818181,-0.007304686,380.8730573654175,441.1252840606061,47104,0.040625,23,4.318593,4.5904217,196
0.0041006636,49152,0.9769048504531384,703.0597014925373,-0.006673933,391.2821218967438,453.9376398955224,49152,0.04086914,24,2.0811841,4.5621843,172
0.0020856615,51200,0.6482503414154053,719.9859154929577,-0.0021310397,403.1353929042816,469.54839070422537,51200,0.021533202,25,26.737762,4.539594,83
0.003774561,53248,0.8723538517951965,701.7702702702703,-0.0049393745,427.8187608718872,455.81019581081074,53248,0.03930664,26,11.117115,4.5491233,99
0.003855159,55296,0.9687865376472473,709.9866666666667,-0.006264849,448.3272006511688,460.11177079999993,55296,0.040380858,27,2.9564824,4.5415316,173
0.0037893695,57344,0.8960441052913666,727.5921052631579,-0.0046147406,460.14549016952515,473.6890933026315,57344,0.048291016,28,2.9112573,4.5318203,202
0.003847853,59392,0.9518909677863121,736.2692307692307,-0.008322385,470.2842860221863,477.4205628589743,59392,0.038183592,29,7.178178,4.5330143,169
0.00476121,61440,0.8243045210838318,751.8101265822785,-0.0040248847,482.3899712562561,493.12096020253153,61440,0.0574707,30,3.7371697,4.514483,178
0.0033525662,63488,0.8525956124067307,768.0125,-0.0048174327,493.85805916786194,501.820988725,63488,0.039697267,31,2.8363779,4.5072265,194
0.0040594754,65536,0.8823380023241043,783.8148148148148,-0.0037243117,504.3664503097534,510.5904754567901,65536,0.046679687,32,2.2994535,4.5121546,178
0.0041683572,67584,0.9566928446292877,799.2317073170732,-0.006777671,515.871089220047,519.3235208170731,67584,0.04423828,33,2.3915594,4.5113535,182
0.0054433774,69632,0.7794293463230133,814.277108433735,-0.008083565,527.125878572464,529.5316311686747,69632,0.06665039,34,2.8212702,4.51375,186
0.005754263,71680,0.9177769422531128,828.9642857142857,-0.00821601,538.1233842372894,537.619256845238,71680,0.07353516,35,1.7069442,4.515375,180
0.004333147,73728,0.8659546226263046,843.3058823529411,-0.0064351573,549.4627361297607,545.8419140235294,73728,0.05180664,36,1.9330795,4.506915,166
0.0053171823,75776,0.8919360637664795,857.3139534883721,-0.0061335587,561.7330596446991,553.9199627209302,75776,0.072021484,37,1.7364963,4.5050364,188
0.004361217,77824,0.9548656493425369,871.0,-0.007834176,572.5984539985657,561.506618137931,77824,0.05317383,38,1.8996735,4.5086036,202
0.005080304,79872,0.9743752125650644,884.375,-0.004530316,582.6954925060272,570.4480379545454,79872,0.063085936,39,2.2485015,4.5152483,174
0.0021507354,81920,0.9107374846935272,898.7802197802198,-0.0038350108,594.4311661720276,587.7750192747253,81920,0.019433593,40,17.839703,4.521861,107
0.0035551959,83968,0.9133227542042732,900.8817204301075,-0.004409909,613.5278487205505,592.7946761182795,83968,0.044628907,41,12.056998,4.534496,126
0.0036346533,86016,0.9172282963991165,889.1894736842105,-0.0045036306,629.7654407024384,584.2596216736843,86016,0.042626955,42,11.922772,4.535577,135
0.004114093,88064,0.964941956102848,896.0104166666666,-0.0077837976,644.9018306732178,591.9108296354167,88064,0.04916992,43,3.769545,4.5313573,168
0.0049047247,90112,0.9621891677379608,907.8969072164948,-0.005573402,657.0896451473236,602.0071963195877,90112,0.056347657,44,2.9428186,4.5241647,201
0.0010965131,92160,0.7418597042560577,913.09,-0.0031226906,667.2777225971222,610.06649215,92160,0.011572266,45,22.102406,4.5201483,121
0.0031356916,94208,0.9644549153745174,908.17,-0.0065168417,684.2001197338104,606.4876152,94208,0.03461914,46,3.357161,4.5140505,154
0.0024563766,96256,0.9154457524418831,919.54,-0.0038828813,697.4696533679962,615.5596405900001,96256,0.025195312,47,18.236609,4.506836,99
0.005342699,98304,0.963872741907835,929.71,-0.0058137076,718.0177891254425,625.7985390299999,98304,0.06069336,48,2.6522093,4.485735,177
0.0029742154,100352,0.9687871970236301,945.38,-0.0064376765,729.5369966030121,641.68685935,100352,0.03359375,49,3.2232444,4.461965,168
0.0029944337,102400,0.9728909097611904,962.47,-0.005713396,741.6831438541412,655.6591230199998,102400,0.031640626,50,1.9363585,4.4483843,201
0.003975733,104448,0.8524783998727798,978.29,-0.006484148,751.8409340381622,672.114457,104448,0.046777345,51,3.5086849,4.4416275,209
0.0035894257,106496,0.8181964308023453,993.43,-0.0036023315,761.6088631153107,682.0966366800001,106496,0.035791017,52,3.307663,4.436354,175
0.0026520083,108544,0.7976035624742508,1000.28,-0.0047347946,773.2879726886749,683.4198808200001,108544,0.028271485,53,9.193232,4.441389,147
0.003872361,110592,0.8777628988027573,1003.52,-0.0061891456,787.2110719680786,681.52589449,110592,0.046826173,54,1.622452,4.455447,180
0.005364927,112640,0.9784369133412838,1005.04,-0.0052896314,798.5883738994598,679.70023238,112640,0.05214844,55,1.4610692,4.446624,181
0.0045326278,114688,0.7340569794178009,1024.0,-0.004973376,809.8579096794128,697.9884394099998,114688,0.05332031,56,3.7054684,4.4255795,178
0.0033247224,116736,0.8432121723890305,1030.21,-0.004617582,821.3091750144958,700.9907851199999,116736,0.035058595,57,2.9186149,4.4144907,187
0.0037402431,118784,0.6843943297863007,1047.83,-0.0056275716,832.216926574707,711.7292831599999,118784,0.039453126,58,10.686315,4.4121914,117
0.002371102,120832,0.9825396537780762,1059.27,-0.0035368532,849.6097857952118,718.3923691000001,120832,0.019335937,59,1.8802112,4.4076595,180
0.0019291859,122880,0.9340942651033401,1068.29,-0.0057849,860.977986574173,729.0556991699999,122880,0.019384766,60,9.252317,4.4044123,156
0.0056312727,124928,0.9638633877038956,1085.44,-0.0044952272,874.0862929821014,741.5536640199998,124928,0.06943359,61,2.601597,4.4081264,183
0.0045397505,126976,0.7002070844173431,1090.6,-0.0026617479,885.2361075878143,749.0669980099999,126976,0.054394532,62,3.4333363,4.401129,185
0.0036971378,129024,0.8636219650506973,1105.92,-0.0050576674,896.2695822715759,757.9523456700001,129024,0.040625,63,1.470435,4.3983,177
0.004720958,131072,0.914038360118866,1122.42,-0.003578382,907.7945461273193,768.5274491900001,131072,0.05654297,64,1.1915095,4.3968205,184
0.0049641347,133120,0.9740549214184284,1126.4,-0.004849146,918.895690202713,770.2570605200002,133120,0.055859376,65,2.1311402,4.3936763,203
0.0038786954,135168,0.8990496844053268,1140.69,-0.0020644998,928.9509778022766,785.41990623,135168,0.040527344,66,14.96347,4.394665,123
0.002874647,137216,0.9526722095906734,1154.57,-0.0029961527,945.489098072052,799.42783201,137216,0.028808594,67,7.7467356,4.39686,156
0.003934286,139264,0.96562210470438,1167.36,-0.0073988633,958.6092298030853,811.5489355200001,139264,0.042822264,68,3.0242608,4.385226,164
0.0020136512,141312,0.9534539021551609,1180.88,-0.004249316,971.0847210884094,825.16130661,141312,0.017578125,69,4.7461605,4.376765,168
0.0024045978,143360,0.8089299947023392,1205.15,-0.0063036443,983.2675306797028,844.7497655999999,143360,0.024609376,70,15.616356,4.376093,145
0.006748275,145408,0.9749130718410015,1205.67,-0.00637403,997.3181998729706,845.2451718500001,145408,0.08408203,71,1.824774,4.363397,168
0.0018759535,147456,0.7964672446250916,1222.06,-0.004897076,1009.4842126369476,861.8404531000001,147456,0.016357422,72,3.0015864,4.3464465,168
0.004001848,149504,0.9810121636837721,1228.8,-0.0041423286,1021.6434075832367,863.0648671600002,149504,0.04086914,73,1.326412,4.328948,179
0.004898818,151552,0.961935244500637,1243.71,-0.0068793083,1033.0688436031342,878.8272050500001,151552,0.05214844,74,2.6780944,4.3035746,172
0.002335819,153600,0.9614756442606449,1260.05,-0.0033511482,1044.9327220916748,895.24272653,153600,0.021728516,75,2.6292014,4.2778974,172
