clipfrac,policy_loss,value_loss,total_timesteps,policy_entropy,n_updates,explained_variance,fps,time_elapsed,serial_timesteps,approxkl,ep_reward_mean,ep_len_mean
0.03857422,-0.0007171018,20.454563,77824,3.476218,38,9.59634780883789e-06,418,187.81588006019592,77824,0.003575464,2035.849167216216,2049.0
0.091357425,-0.004688038,20.339237,79872,3.4703765,39,0.006695687770843506,423,192.7123942375183,79872,0.0069457768,2036.1115876578945,2049.0
0.018798828,-0.0004983908,20.441137,81920,3.4749038,40,0.0020725131034851074,424,197.5541636943817,81920,0.002156926,2036.3381719487177,2049.0
0.052978516,-0.0011179259,20.473167,83968,3.4918754,41,-0.00019478797912597656,429,202.3846173286438,83968,0.004771751,2036.520339775,2049.0
0.027929688,0.0016020505,20.466656,86016,3.4925315,42,-0.004790306091308594,421,207.1489701271057,86016,0.002807541,2036.6598849268294,2049.0
0.043310545,-0.00062796415,20.403028,88064,3.4929898,43,-0.0002536773681640625,418,212.00362992286682,88064,0.004127198,2036.7759923333333,2049.0
0.06679688,-0.0020217414,20.347256,90112,3.4904575,44,-0.008167266845703125,414,216.9017300605774,90112,0.005471245,2036.8670379302325,2049.0
0.07348633,-0.0039600716,20.242933,92160,3.490111,45,0.003382444381713867,414,221.8470721244812,92160,0.00558726,2036.8905795227272,2049.0
0.061669923,-0.00295105,20.229681,94208,3.4942958,46,0.003021061420440674,424,226.78990054130554,94208,0.004857239,2036.9788535777777,2049.0
0.025585938,-0.00032303366,20.262615,96256,3.5042317,47,-0.011929631233215332,399,231.61640191078186,96256,0.0026536132,2037.0432935434783,2049.0
0.04477539,-0.0015612508,20.044085,98304,3.520986,48,0.008027434349060059,424,236.7447738647461,98304,0.003729831,2037.082500531915,2049.0
0.057617188,-0.0017675108,20.18203,100352,3.5226288,49,0.00233536958694458,412,241.57462096214294,100352,0.0050184736,2037.1416956875,2049.0
0.06508789,-0.0030800768,20.130486,102400,3.5187669,50,0.007514059543609619,418,246.54390335083008,102400,0.0052462816,2037.2089239183674,2049.0
0.031542968,3.751185e-05,20.329939,104448,3.5253177,51,0.005721628665924072,418,251.43655705451965,104448,0.0032379262,2037.2970611199999,2049.0
0.110888675,-0.0038803623,20.224895,106496,3.532648,52,0.01267915964126587,433,256.33054780960083,106496,0.007877806,2037.4279844117646,2049.0
0.03803711,-0.00037771682,20.564148,108544,3.5329685,53,0.004164516925811768,409,261.05226588249207,108544,0.0035435453,2037.5687567884613,2049.0
0.032421876,-0.0013467383,20.512852,110592,3.5279515,54,0.0022965669631958008,419,266.04937767982483,110592,0.0030987547,2037.7383146603772,2049.0
0.03046875,-0.00023340501,20.526236,112640,3.5193055,55,-0.004324913024902344,429,270.930380821228,112640,0.0031154186,2037.9015017407407,2049.0
0.074560545,-0.002044202,20.426527,114688,3.5236366,56,0.0033773183822631836,396,275.7040457725525,114688,0.006126197,2038.0686162727275,2049.0
0.06708984,-0.001829399,20.537878,116736,3.5451012,57,-0.009752750396728516,409,280.86431789398193,116736,0.0054620113,2038.1982659821426,2049.0
0.047070313,-0.00079692993,20.45323,118784,3.5547109,58,-0.0017881393432617188,423,285.87061834335327,118784,0.0043465216,2038.3374336666666,2049.0
0.08017578,-0.004091616,20.355526,120832,3.5626373,59,0.00014066696166992188,417,290.7035701274872,120832,0.006172331,2038.4725204827585,2049.0
0.1159668,-0.0015879471,20.362293,122880,3.570319,60,0.00040346384048461914,429,295.6066675186157,122880,0.008085456,2038.5899717118643,2049.0
0.09414063,-0.0036379206,20.322088,124928,3.5744567,61,-0.0009359121322631836,416,300.3807909488678,124928,0.00700192,2038.7136795833333,2049.0
0.035205077,3.8564416e-05,20.267351,126976,3.581889,62,-0.001478433609008789,411,305.2966480255127,126976,0.003395602,2038.8046828524589,2049.0
0.027734375,0.00094446214,20.240955,129024,3.5958266,63,-0.008428573608398438,432,310.2688934803009,129024,0.0028317256,2038.8472740967743,2049.0
0.05722656,-0.0003277444,20.133553,131072,3.606942,64,0.0016276836395263672,418,314.99931287765503,131072,0.0048532044,2038.9390736507937,2049.0
