n_updates,policy_loss,value_loss,total_timesteps,approxkl,serial_timesteps,time_elapsed,clipfrac,explained_variance,policy_entropy,fps,ep_reward_mean,ep_len_mean
66,-0.0038307626,41.064728,135168,0.0026867923,135168,319.8111460208893,0.025878906,0.5895273983478546,4.5347233,440,1022.82472064,1288.16
67,-0.0038132854,15.038673,137216,0.0017119612,137216,324.45644974708557,0.016552735,0.8419992178678513,4.5290694,448,979.5908414699999,1244.68
68,-0.0010817614,19.859756,139264,0.0035456195,139264,329.019903421402,0.0340332,0.8844998478889465,4.517066,394,979.6040088399999,1244.68
69,-0.0043720584,30.130411,141312,0.0028613384,141312,334.2161331176758,0.033935547,0.7694368958473206,4.514232,449,903.5482506799999,1166.97
70,-0.0010361808,20.062103,143360,0.0031730402,143360,338.77783203125,0.030664062,0.8889823481440544,4.5167227,415,903.0618423199999,1166.97
71,-0.007174206,7.0036383,145408,0.0034272925,145408,343.7034738063812,0.03100586,0.9741988182067871,4.5233774,430,887.2349153999997,1151.36
72,-0.0003223562,19.788532,147456,0.0031807416,147456,348.4662113189697,0.03515625,0.8971526026725769,4.5262146,405,886.6659478999999,1151.36
73,-0.0029652056,19.597324,149504,0.0048241625,149504,353.5155279636383,0.059179686,0.8969981521368027,4.529418,403,886.9993494699999,1151.36
74,-0.0037364971,26.176044,151552,0.003465303,151552,358.5899615287781,0.04008789,0.9078194946050644,4.529841,418,869.66403684,1133.81
75,-0.0023155129,27.769262,153600,0.0020755215,153600,363.4802784919739,0.020361328,0.8898852840065956,4.527402,430,858.8055761100001,1123.2
76,-0.0016104684,19.585407,155648,0.005829384,155648,368.2404410839081,0.07333984,0.8883443027734756,4.529631,415,859.09898897,1123.2
77,-0.0022639502,20.430094,157696,0.005709501,157696,373.17362785339355,0.06508789,0.8898054212331772,4.525731,410,872.9028724599999,1136.15
78,-0.0019060994,20.272606,159744,0.0024444084,159744,378.1573905944824,0.022802735,0.88155098259449,4.5322304,412,885.04373286,1146.71
79,-0.009396752,6.412979,161792,0.0041737566,161792,383.1175756454468,0.04194336,0.9670232683420181,4.545083,416,869.1717108799999,1129.98
80,-0.0050236927,20.906384,163840,0.005095419,163840,388.03810262680054,0.054003906,0.898535817861557,4.5640745,380,869.5598598999999,1129.98
81,-0.00089167233,20.461918,165888,0.003909089,165888,393.41757369041443,0.042333983,0.8702058494091034,4.555992,411,868.9099106599999,1129.98
82,-0.0016800959,21.01749,167936,0.002941617,167936,398.3916838169098,0.031933594,0.8850830048322678,4.5512824,405,869.30827158,1129.98
83,-0.002344187,26.681564,169984,0.00456022,169984,403.4385018348694,0.053955078,0.90468680113554,4.562671,415,852.59994036,1114.14
84,-0.0022462686,20.071115,172032,0.0040179375,172032,408.3638162612915,0.049951173,0.8656884878873825,4.568555,397,868.1680437600002,1129.13
85,-0.0018751286,20.07947,174080,0.0041297986,174080,413.51566195487976,0.04584961,0.8710035681724548,4.556845,410,869.5694715100002,1129.13
86,-0.0049103172,26.324474,176128,0.0038980842,176128,418.5113878250122,0.043359376,0.8967066258192062,4.5547404,431,869.51602203,1128.09
87,-0.0024622504,19.905993,178176,0.0054923627,178176,423.2595956325531,0.06689453,0.8597109317779541,4.563502,394,869.1187400200001,1128.09
88,-0.0013005356,20.097803,180224,0.0022982846,180224,428.45384883880615,0.019824218,0.8793193474411964,4.566508,414,880.11694591,1136.73
89,-0.002981923,20.528559,182272,0.0035406016,182272,433.39888405799866,0.03852539,0.8719212412834167,4.5711713,408,880.11367634,1136.73
90,-0.0043869587,20.252808,184320,0.0054324106,184320,438.40899538993835,0.06738281,0.868037536740303,4.591424,408,879.8050848099999,1136.73
91,-0.0010948125,20.10563,186368,0.0035695229,186368,443.4214835166931,0.04042969,0.8770341873168945,4.602853,414,896.3264789799999,1153.95
92,-0.0027870697,28.174555,188416,0.002120201,188416,448.3679053783417,0.01826172,0.8894118741154671,4.595793,418,880.40477491,1139.04
93,-0.0014247587,20.111853,190464,0.004918327,190464,453.2626826763153,0.061865233,0.882747694849968,4.589102,414,895.22325426,1152.5
94,-0.0031127762,20.060614,192512,0.005276757,192512,458.2098972797394,0.06518555,0.8737711012363434,4.5876355,393,895.2891453999999,1152.5
95,-0.005899335,8.486524,194560,0.0054556197,194560,463.4215545654297,0.061865233,0.9486135356128216,4.592142,412,895.52710551,1152.54
96,-0.002434007,19.350597,196608,0.0046619535,196608,468.3874514102936,0.059228517,0.8845858573913574,4.590355,407,911.8911310199999,1168.86
97,-0.003532087,26.429876,198656,0.004121815,198656,473.412725687027,0.050976563,0.9004809111356735,4.5971303,435,926.8949983,1184.18
98,-0.005416904,20.997643,200704,0.0040153796,200704,478.11758518218994,0.047509767,0.8706942796707153,4.60137,423,942.24983505,1199.16
99,-0.0036064307,26.008615,202752,0.0028964095,202752,482.949027299881,0.03149414,0.893788568675518,4.598488,428,926.3761571900002,1183.86
100,-0.002367256,20.141363,204800,0.0072354088,204800,487.73162174224854,0.0847168,0.8792551383376122,4.601032,414,942.4100723900001,1201.72
101,-0.0031977575,20.137455,206848,0.0049366853,206848,492.67248797416687,0.059228517,0.887899599969387,4.588875,399,954.5821958900001,1212.83
102,-0.0041998327,20.351383,208896,0.0069146217,208896,497.8039836883545,0.086523436,0.8655904978513718,4.5725145,405,970.1570828199999,1229.42
103,-0.0016636094,30.414236,210944,0.0025320868,210944,502.86127519607544,0.025292968,0.8838987573981285,4.5636635,419,984.96405217,1243.53
104,-0.0018970678,19.902943,212992,0.006012668,212992,507.7435989379883,0.07583008,0.8723895698785782,4.5673456,424,999.1731306,1257.5
105,-0.0027851507,20.269337,215040,0.0039183768,215040,512.5674855709076,0.044873048,0.8975694850087166,4.571803,420,1014.08482745,1271.94
106,-0.0022010547,19.503012,217088,0.002010643,217088,517.4327635765076,0.017382812,0.830657571554184,4.572084,465,984.9021173700002,1245.19
107,-0.005444115,3.5413005,219136,0.0024440815,219136,521.8370108604431,0.025683593,0.9832855723798275,4.5713553,448,985.6973945200001,1246.53
108,-0.003707014,20.38164,221184,0.0054603587,221184,526.402485370636,0.06645508,0.9004512801766396,4.5666165,417,1000.23599752,1263.3
109,-0.0053969356,20.063543,223232,0.006253646,223232,531.3132071495056,0.077539064,0.871632769703865,4.5575323,416,1015.7290822900001,1281.0
110,-0.003262448,19.882875,225280,0.0042885737,225280,536.2268240451813,0.048095703,0.8892685025930405,4.560664,421,1031.57578514,1297.29
111,-0.0020304665,19.943117,227328,0.004788433,227328,541.0884308815002,0.050195314,0.8972650766372681,4.571353,424,1030.9917940599998,1297.29
112,-0.0017344576,30.100046,229376,0.0019707656,229376,545.9188866615295,0.018945312,0.8755046725273132,4.571806,441,1031.96783045,1299.58
