n_updates,explained_variance,fps,serial_timesteps,time_elapsed,approxkl,policy_loss,clipfrac,total_timesteps,policy_entropy,value_loss,ep_len_mean,ep_reward_mean
38,0.9016073122620583,548,77824,123.41622805595398,0.0024642013,-0.00092946365,0.025683593,77824,6.5202065,18.32297,1974.025641025641,1270.09123025641
39,0.8974853754043579,536,79872,127.15114378929138,0.0032348603,7.235528e-05,0.03642578,79872,6.523702,18.68886,1975.9,1281.0697610250002
40,0.9062487185001373,548,81920,130.97181916236877,0.0016566811,-0.0010071143,0.011328125,81920,6.519774,19.224567,1977.6829268292684,1292.8958501463417
41,0.7604206651449203,639,83968,134.70349645614624,0.0038350248,-0.0022940938,0.046240233,83968,6.5187263,16.7664,1950.4651162790697,1270.1881441627909
42,0.8989212736487389,535,86016,137.90475273132324,0.0031375326,-0.00047883237,0.030859375,86016,6.5268006,18.55325,1952.7045454545455,1281.4210414772729
43,0.9016106873750687,540,88064,141.72732162475586,0.00231338,-0.00054389687,0.015625,88064,6.523813,18.62202,1954.8444444444444,1292.2156652666667
44,0.862411379814148,639,90112,145.51948142051697,0.0032412107,-0.0022365232,0.036865234,90112,6.5241213,8.395906,1926.0217391304348,1271.2675334347828
45,0.7792870849370956,629,92160,148.723464012146,0.0057819798,-0.0026563657,0.07055664,92160,6.5445466,8.612256,1928.6382978723404,1270.524109425532
46,0.8870003670454025,637,94208,151.97829866409302,0.0027506393,-0.0035825316,0.03017578,94208,6.5571623,14.224223,1906.0408163265306,1251.1909225918369
47,0.9146982654929161,550,96256,155.19233894348145,0.0036396794,-0.0030107398,0.04057617,96256,6.5579658,19.020638,1908.9,1259.5679288
48,0.9812031984329224,547,98304,158.91082620620728,0.005316377,-0.0044570095,0.06499024,98304,6.5513315,4.2093916,1887.921568627451,1243.5770252745097
49,0.584710568189621,641,100352,162.65129256248474,0.0017045618,-0.0010770276,0.01640625,100352,6.543991,40.074654,1852.111111111111,1222.4825705555556
50,0.8189860731363297,618,102400,165.84444880485535,0.004163433,-0.0023919088,0.05625,102400,6.545302,6.60968,1855.6909090909091,1221.7267441454544
51,0.7645151615142822,626,104448,169.1582579612732,0.0043531503,-0.0032285075,0.048193358,104448,6.543981,7.731118,1859.142857142857,1220.9444764642856
52,0.7917837649583817,618,106496,172.4284257888794,0.0046777176,-0.0033012372,0.0574707,106496,6.537986,8.467467,1862.4736842105262,1220.3847762807018
53,0.9026026055216789,537,108544,175.74002742767334,0.0046803905,-0.0008175146,0.056933593,108544,6.5327773,19.039228,1865.6896551724137,1229.721077413793
54,0.8929536044597626,540,110592,179.55012440681458,0.005374916,-0.0008918008,0.06865235,110592,6.51892,19.41383,1868.7966101694915,1238.5851426779661
55,0.9736699461936951,554,112640,183.33870339393616,0.0053232703,-0.007908536,0.03754883,112640,6.512164,5.956971,1847.9166666666667,1222.8233314333334
56,0.8262079954147339,621,114688,187.0357620716095,0.0034727443,-0.0032723416,0.04057617,114688,6.528334,27.082453,1831.1129032258063,1216.8754117903227
57,0.9531099870800972,588,116736,190.33345007896423,0.0045410595,-0.003158336,0.05444336,116736,6.536132,9.261972,1834.5714285714287,1216.8417677142859
58,0.9066259562969208,534,118784,193.81524991989136,0.0045463042,-0.00141924,0.045166016,118784,6.5176826,19.061317,1837.921875,1225.3934844374999
59,0.9078108966350555,581,120832,197.64520263671875,0.0037733905,-0.001587485,0.043603517,120832,6.4983587,26.558533,1822.5,1219.444714242424
60,0.8345924913883209,636,122880,201.16880822181702,0.0031550713,-0.00061168906,0.03334961,122880,6.492789,9.759842,1825.8805970149253,1219.7590294776116
61,0.8479977697134018,635,124928,204.38865971565247,0.0030260861,-0.0018488124,0.037109375,124928,6.4898863,7.9535255,1829.1617647058824,1219.5753358382349
62,0.9020483642816544,637,126976,207.6115915775299,0.005286136,-0.0037068024,0.055615235,126976,6.4990516,6.5843973,1811.6376811594203,1206.405848086956
63,0.7005198895931244,631,129024,210.82592225074768,0.0032232814,-0.0022344305,0.035595704,129024,6.5153337,11.636575,1815.0285714285715,1206.7942288714282
64,0.9652395211160183,545,131072,214.07092380523682,0.0031597961,-0.002984668,0.032910157,131072,6.5266676,7.583995,1818.3239436619717,1207.0529544647884
65,0.606862872838974,628,133120,217.82657313346863,0.0026030098,-0.0010573418,0.028515626,133120,6.5397654,19.907904,1821.5277777777778,1214.7031876249998
66,0.9528564177453518,603,135168,221.08529663085938,0.0020897998,-0.0010431485,0.019433593,135168,6.5508204,13.125035,1809.1081081081081,1203.1668361081079
67,0.9180101901292801,568,137216,224.48067617416382,0.00238127,-0.0021738675,0.02451172,137216,6.547307,23.105873,1801.4868421052631,1201.5584078421052
68,0.8996876776218414,579,139264,228.08054995536804,0.0036947615,-0.0028443506,0.04663086,139264,6.5598273,20.073727,1804.7012987012988,1206.1857764415583
69,0.9102679640054703,526,141312,231.61611413955688,0.00304487,-0.0017328874,0.028857421,141312,6.5664544,19.673817,1807.8333333333333,1212.6550787179488
70,0.8258061558008194,651,143360,235.5048701763153,0.0031610099,-0.0012130963,0.034326173,143360,6.5645585,12.567022,1810.886075949367,1213.3208152658226
71,0.8352806270122528,640,145408,238.64811062812805,0.0022028112,-0.0008514145,0.02109375,145408,6.564309,7.4067025,1813.8625,1213.5589222375002
72,0.8029182255268097,646,147456,241.84631967544556,0.0031934094,-0.0029877904,0.03354492,147456,6.5596495,10.067866,1816.7654320987654,1214.121235358025
73,0.7823963910341263,638,149504,245.0160346031189,0.0033342473,-0.00070211804,0.038720705,149504,6.5570664,9.593615,1819.5975609756097,1214.4191672560978
74,0.9074065238237381,538,151552,248.22604894638062,0.004739761,-0.0036953092,0.05493164,151552,6.56565,19.723986,1822.3614457831325,1220.3381212048196
75,0.9051573425531387,538,153600,252.02975606918335,0.0049057407,-0.0007323934,0.053271484,153600,6.5630975,19.637377,1825.0595238095239,1226.0624166547623
76,0.8791178539395332,564,155648,255.8314723968506,0.0046796766,-0.0018765684,0.053466797,155648,6.5697265,19.788555,1827.6941176470589,1230.021077329412
77,0.9168829172849655,565,157696,259.46237564086914,0.00605401,-0.0033275415,0.08251953,157696,6.5806665,18.90263,1830.2674418604652,1234.4596403488374
78,0.8009681701660156,639,159744,263.0870428085327,0.002760731,-0.0018494161,0.030078124,159744,6.5940714,11.228049,1832.7816091954023,1234.2731508735635
79,0.8066483587026596,642,161792,266.28927516937256,0.0024420356,-0.0020467278,0.028710937,161792,6.601377,12.973561,1835.2386363636363,1234.497361625
80,0.9154182076454163,543,163840,269.4766917228699,0.0018401879,6.356684e-06,0.01303711,163840,6.5981126,19.995378,1837.6404494382023,1239.7790753146066
81,0.9190365597605705,560,165888,273.2484004497528,0.0052623823,-0.0011743621,0.0671875,165888,6.595933,19.69389,1839.9888888888888,1243.9884789222222
82,0.9102960899472237,542,167936,276.9052801132202,0.0060634157,-0.0034130681,0.082617186,167936,6.5928164,19.926826,1842.2857142857142,1249.100111208791
83,0.9135626703500748,545,169984,280.68371176719666,0.0012333648,0.0003628075,0.009326172,169984,6.5889387,20.216412,1844.5326086956522,1254.3053139456522
84,0.9085950776934624,535,172032,284.43857407569885,0.0032597282,-0.0013160093,0.0362793,172032,6.5885115,20.286665,1846.731182795699,1259.8025902688173
85,0.9114937707781792,564,174080,288.26541900634766,0.0056905625,-0.0024495015,0.07397461,174080,6.5934305,20.193832,1848.8829787234042,1263.6000089148936
