value_loss,fps,explained_variance,clipfrac,n_updates,time_elapsed,serial_timesteps,policy_loss,total_timesteps,ep_reward_mean,approxkl,ep_len_mean,policy_entropy
25.17334,519,0.7287127077579498,0.05678711,1,2.1457672119140625e-06,2048,-0.005953585,2048,140.547715,0.0047614234,289.3333333333333,4.350067
35.603542,520,0.8012339025735855,0.04511719,2,3.9414896965026855,4096,-0.0047285883,4096,349.9964888333334,0.00442901,566.5,4.3599043
15.5418,496,0.8124978244304657,0.03730469,3,7.874861717224121,6144,-0.004845343,6144,480.892035,0.0033535298,778.2857142857143,4.37238
22.227314,513,0.8145454972982407,0.040966798,4,11.999976873397827,8192,-0.0038447543,8192,648.6729863749999,0.0035084554,937.125,4.3811216
21.010155,512,0.8898351341485977,0.026611328,5,15.990309476852417,10240,-0.0042182864,10240,636.0841413636363,0.0026613788,920.0909090909091,4.3800473
20.059973,486,0.7843732237815857,0.07192383,6,19.98636770248413,12288,-0.0022530325,12288,740.2589605,0.00551679,1014.1666666666666,4.3742557
11.188208,507,0.5732769966125488,0.03339844,7,24.194365739822388,14336,-0.0014207084,14336,780.1459724615385,0.0031246338,1093.7692307692307,4.367476
20.029003,525,0.825377807021141,0.04848633,8,28.232967615127563,16384,-0.0056065097,16384,855.4146190714285,0.004119535,1162.0,4.371007
3.1524565,512,0.9819846339523792,0.048339844,9,32.12757921218872,18432,-0.007966256,18432,816.237989,0.0042333486,1118.2666666666667,4.3753405
20.47302,498,0.7730323374271393,0.042919923,10,36.125633001327515,20480,-0.0053410986,20480,880.6181506875,0.0036509489,1176.4375,4.3907747
10.35487,514,0.9280286505818367,0.058935545,11,40.231603145599365,22528,-0.0029292477,22528,901.7334212352941,0.0055345213,1227.764705882353,4.4177175
20.114466,510,0.7914111614227295,0.061083984,12,44.21331477165222,24576,-0.0024745371,24576,955.6607186666666,0.004880283,1273.388888888889,4.428336
28.291296,513,0.8526875376701355,0.051611327,13,48.22720456123352,26624,-0.0072044097,26624,971.2684401,0.004499669,1276.75,4.44616
25.212343,499,0.8323011249303818,0.05205078,14,52.21699094772339,28672,-0.0054475544,28672,967.0071345454545,0.004273926,1256.2727272727273,4.4659534
37.35894,538,0.849208727478981,0.025048828,15,56.31461715698242,30720,-0.0032303755,30720,901.0444806153845,0.0026430679,1170.7307692307693,4.476722
26.210516,501,0.8380076885223389,0.027734375,16,60.12113285064697,32768,-0.004909729,32768,906.565022642857,0.0026096052,1169.857142857143,4.488668
27.336456,512,0.8768742680549622,0.010546875,17,64.20635914802551,34816,-0.0020101848,34816,811.1201275000001,0.0011870925,1063.03125,4.4951286
30.282156,508,0.9021028354763985,0.021923829,18,68.20442914962769,36864,-0.0012910424,36864,799.3411759714286,0.0022145102,1045.7142857142858,4.5002255
18.662043,503,0.8251601457595825,0.057275392,19,72.23367524147034,38912,-0.005242438,38912,829.2961010277778,0.0046882895,1073.5833333333333,4.5016985
22.001108,516,0.7987794876098633,0.018310547,20,76.29918479919434,40960,-0.00290374,40960,856.6312460540541,0.0023389226,1099.945945945946,4.48959
19.87211,500,0.7999387979507446,0.026708985,21,80.2645947933197,43008,-0.002363282,43008,884.1119547105263,0.0028041445,1124.921052631579,4.4731913
11.015131,518,0.6063987016677856,0.044384766,22,84.35407280921936,45056,-0.003172556,45056,865.1685877435897,0.0038124092,1103.2051282051282,4.4647713
16.038273,513,0.832417443394661,0.028320312,23,88.3079423904419,47104,-0.0055094725,47104,875.1415324000002,0.002930183,1126.85,4.457463
