approxkl,fps,n_updates,clipfrac,policy_loss,time_elapsed,value_loss,policy_entropy,total_timesteps,explained_variance,serial_timesteps,ep_len_mean,ep_reward_mean
0.009064543,387,1,0.123730466,-0.0117565,2.384185791015625e-06,0.0011512589,4.436357,2048,0.9632794186472893,2048,,
0.0023122323,384,2,0.021484375,-0.0017779693,5.282266616821289,2.2308803,4.4193945,4096,0.1257106065750122,4096,2049.0,1993.879994
0.0060614008,406,3,0.0793457,-0.0058064614,10.604522466659546,4.1658106,4.411724,6144,0.06513041257858276,6144,2049.0,1983.7861575
0.008773726,414,4,0.10859375,-0.007960198,15.64604377746582,5.8579082,4.397058,8192,0.041373252868652344,8192,2049.0,1984.332112
0.001114277,388,5,0.008837891,-0.001094128,20.591235637664795,24.362167,4.395658,10240,0.6748971343040466,10240,1376.0,1333.9638766666667
0.002184467,399,6,0.017675782,0.00012218645,25.860161066055298,19.442064,4.41197,12288,0.010886728763580322,12288,1472.142857142857,1428.7997227142857
0.00082333584,388,7,0.0028320313,-0.00073944393,30.985096216201782,27.184223,4.4165483,14336,0.4952491521835327,14336,1376.5555555555557,1337.323786111111
0.0012796901,378,8,0.005957031,4.5261927e-06,36.25450563430786,33.63882,4.4205885,16384,0.6597118973731995,16384,1208.5,1175.2685351666667
0.0016504625,341,9,0.012597656,2.1900622e-05,41.66173529624939,47.40902,4.413744,18432,0.7565948963165283,18432,981.5882352941177,955.1871437647059
0.0015499244,399,10,0.01171875,-0.001089126,47.653555393218994,32.52895,4.403697,20480,0.665568619966507,20480,939.95,914.8533536500001
0.004423912,389,11,0.05581055,-0.0016720021,52.77927589416504,19.103176,4.418707,22528,0.021723568439483643,22528,992.7619047619048,966.2991625714286
0.0032883447,379,12,0.0340332,-0.004133265,58.03242254257202,18.300426,4.4403524,24576,0.09181755781173706,24576,1040.7727272727273,1012.6561176363637
0.0028488422,372,13,0.030664062,-0.0013660304,63.43318796157837,32.279274,4.4474783,26624,0.7041452527046204,26624,1000.68,973.088682
0.0018708808,397,14,0.012744141,-0.00052406976,68.93081426620483,25.071386,4.455049,28672,0.6309781670570374,28672,1003.6296296296297,975.6563617407407
0.0006737182,362,15,0.0020507812,-0.0008238953,74.0825309753418,39.510155,4.4621916,30720,0.7765756547451019,30720,944.258064516129,918.0166392258064
0.0057591354,405,16,0.0715332,-0.0035247176,79.7361581325531,18.790089,4.4819913,32768,0.05902379751205444,32768,978.78125,951.6692250000001
0.0032580614,390,17,0.0328125,-0.0039031692,84.78367733955383,25.819294,4.500203,34816,0.6226027607917786,34816,983.0294117647059,956.1123470588236
0.002739303,394,18,0.02470703,-0.0001552125,90.03244853019714,24.704098,4.505541,36864,0.6313109993934631,36864,986.1388888888889,959.5679899722223
0.0026852111,335,19,0.029101562,-0.0010238162,95.22263669967651,29.914606,4.501391,38912,0.7481322586536407,38912,964.5384615384615,938.9210495897438
0.0011343523,397,20,0.0034179688,-0.0004744279,101.33261442184448,19.376005,4.4967527,40960,0.007307529449462891,40960,991.65,965.56623855
0.0037766267,412,21,0.04482422,-0.002171909,106.48188948631287,19.336895,4.4931116,43008,0.0045632123947143555,43008,1017.439024390244,990.9543067804877
0.00032501164,385,22,0.0001953125,9.118377e-05,111.45092487335205,19.00654,4.4928465,45056,0.03717005252838135,45056,1042.0,1014.9342151904762
0.0008122269,370,23,0.0037109375,-0.00095248537,116.76470446586609,36.142967,4.5007987,47104,0.8345632553100586,47104,977.8723404255319,952.6353465957447
0.004496296,401,24,0.047558594,-0.0012195243,122.28962445259094,19.581928,4.4879775,49152,-0.0047838687896728516,49152,1000.1875,974.7245122291666
0.0025537738,396,25,0.02602539,-0.0024269826,127.39716863632202,23.68684,4.4754553,51200,0.6866135597229004,51200,1001.9,976.7207572600001
0.00080774643,395,26,0.0078125,-0.0015939942,132.58303117752075,27.516443,4.4922533,53248,0.7573451399803162,53248,984.9811320754717,960.5824283018869
0.0018872306,420,27,0.017431641,-0.0013728887,137.76770782470703,19.540218,4.5050206,55296,0.009841680526733398,55296,1004.6851851851852,980.1407451851853
0.0029318389,403,28,0.02631836,-0.0010949458,142.63894391059875,19.470074,4.506663,57344,0.01578623056411743,57344,1023.6727272727272,999.0572706909093
0.0006828871,391,29,0.0029296875,-0.00057815056,147.71349120140076,29.5807,4.501809,59392,0.7338691055774689,59392,1007.0862068965517,983.211785810345
0.005759471,385,30,0.07133789,-0.0015263946,152.95197010040283,19.190521,4.4936757,61440,0.03102034330368042,61440,1024.7457627118645,1000.7120588305087
0.0022232477,375,31,0.019726563,-0.00090679305,158.25913453102112,26.63644,4.49122,63488,0.613938570022583,63488,1025.311475409836,1001.5521774098363
0.003593936,384,32,0.044873048,-0.0034335952,163.71382808685303,24.665157,4.4892397,65536,0.795664370059967,65536,1010.28125,987.02900271875
0.0031905759,417,33,0.034179688,-0.0007554777,169.03522062301636,19.233341,4.5011864,67584,0.035507798194885254,67584,1026.2615384615385,1002.9058569538462
0.0031170319,407,34,0.033496093,-0.0028666505,173.93771290779114,19.50233,4.52465,69632,0.024163484573364258,69632,1041.7575757575758,1018.3603549242424
0.0023919889,397,35,0.025195312,-0.000758586,178.96731972694397,19.554876,4.537809,71680,0.02264416217803955,71680,1056.7910447761194,1033.3126835223882
0.0037632976,406,36,0.043115236,-0.0012866306,184.12517166137695,19.399063,4.5379653,73728,0.03129088878631592,73728,1071.3823529411766,1047.8664194558824
0.002770277,390,37,0.02866211,-0.0016263084,189.1639552116394,24.518099,4.5341988,75776,0.6614052057266235,75776,1070.5714285714287,1047.2750279428572
