policy_loss,value_loss,explained_variance,time_elapsed,clipfrac,ep_len_mean,approxkl,ep_reward_mean,policy_entropy,fps,n_updates,total_timesteps,serial_timesteps
-0.0042380877,13.2962265,0.9496908374130726,2.1457672119140625e-06,0.02084961,533.0,0.002223471,285.607508,4.4158382,290,1,2048,2048
-0.0020816824,19.138218,0.8881556764245033,7.040770769119263,0.04711914,1291.0,0.0039949873,1029.5556645,4.413741,322,2,4096,4096
-0.0023426898,20.297054,0.872339740395546,13.397001028060913,0.022998046,1543.6666666666667,0.0020108123,1276.2785776666667,4.419645,304,3,6144,6144
-0.004235014,10.105936,0.85552978515625,20.125049591064453,0.019335937,1435.8,0.0019074756,1044.1628384,4.4212527,387,4,8192,8192
-0.0027658232,17.361998,0.4604281187057495,25.415744304656982,0.02836914,1397.5,0.0028107152,981.0370445,4.417266,290,5,10240,10240
-0.004098585,21.334497,0.917614221572876,32.467426776885986,0.01640625,1232.888888888889,0.0018567877,813.2496556666669,4.4134674,302,6,12288,12288
-0.0030252822,30.437656,0.8695907741785049,39.23192071914673,0.035791017,1240.4545454545455,0.003168113,846.509855818182,4.413871,409,7,14336,14336
-0.0052952277,8.676162,0.9596800543367863,44.22968792915344,0.024072265,1243.1666666666667,0.0023309034,834.0983635833335,4.416456,370,8,16384,16384
-0.0033472136,30.48417,0.9016944020986557,49.7598340511322,0.02084961,1116.6875,0.0022833827,759.5390135625,4.415314,410,9,18432,18432
-0.003663269,7.802926,0.7225387096405029,54.745123624801636,0.025488282,1171.5294117647059,0.002655641,783.8263300588235,4.4088664,394,10,20480,20480
-0.004361719,1.538105,0.9917261693626642,59.943087100982666,0.046435546,1139.0,0.0045860303,755.8623268333333,4.3807983,343,11,22528,22528
-0.0025213542,20.28835,0.4197689890861511,65.9085853099823,0.028222656,1186.8947368421052,0.0024527167,809.3815145789473,4.3678484,367,12,24576,24576
-0.0052563157,10.577562,0.9635728187859058,71.4765694141388,0.023730468,1194.6190476190477,0.004907946,800.476199142857,4.3795967,409,13,26624,26624
-0.003602059,20.414135,0.8973495215177536,76.4823215007782,0.025,1200.7391304347825,0.0023592392,816.7945639130434,4.398491,427,14,28672,28672
-0.0032641354,13.608762,0.8054458796977997,81.2689151763916,0.019873047,1210.96,0.0019264484,812.907715,4.396457,441,15,30720,30720
-0.0016561918,11.063673,0.7471164464950562,85.91249370574951,0.039648436,1243.1923076923076,0.003556089,828.7359628846153,4.3970795,439,16,32768,32768
-0.0007586553,22.158539,0.7653346955776215,90.57483911514282,0.013964844,1192.551724137931,0.0015358984,786.6186967931034,4.3963137,469,17,34816,34816
-0.0049048597,4.2342005,0.9789748061448336,94.9368782043457,0.043798827,1216.5333333333333,0.0036815938,813.2000105,4.409849,426,18,36864,36864
-0.0007525565,16.043873,0.7007537484169006,99.73444271087646,0.030810546,1243.3870967741937,0.0029969022,827.4174160967741,4.4164696,435,19,38912,38912
-0.004591099,7.0755434,0.962999802082777,104.43348240852356,0.0453125,1268.5625,0.0046122167,854.1309590000001,4.39392,439,20,40960,40960
-0.0033787407,11.244913,0.7087618112564087,109.09779834747314,0.054003906,1292.2121212121212,0.004866045,863.9267796969698,4.3672075,418,21,43008,43008
-0.0063009225,20.027779,0.8892424553632736,113.99174165725708,0.049072266,1314.4705882352941,0.004220857,890.7292984705882,4.366896,410,22,45056,45056
-0.0032803281,16.461763,0.8406542986631393,118.97785496711731,0.016357422,1235.078947368421,0.0018129057,826.6381607368421,4.3656774,458,23,47104,47104
-0.0029053981,9.906176,0.7113219499588013,123.44291305541992,0.05756836,1255.948717948718,0.004851711,836.415552974359,4.365637,402,24,49152,49152
-0.002746967,11.375978,0.8787136226892471,128.52642178535461,0.021240234,1188.2558139534883,0.0023428765,781.5992606744186,4.36971,456,25,51200,51200
-0.0022354524,19.567404,0.8851108551025391,133.02568650245667,0.034863282,1207.8181818181818,0.0030109608,803.8161054090909,4.364752,413,26,53248,53248
-0.0050277743,9.587141,0.9494518451392651,137.98188400268555,0.043652344,1193.1555555555556,0.0038093731,792.2236102,4.355805,442,27,55296,55296
-0.000244574,19.596004,0.8778718858957291,142.6141655445099,0.06621094,1211.7608695652175,0.0050175306,811.6548357173913,4.354955,418,28,57344,57344
-0.003978209,25.148893,0.8988133743405342,147.5097141265869,0.019384766,1202.0204081632653,0.0019612976,809.2028191224489,4.3649135,455,29,59392,59392
-0.007319146,2.268074,0.9926203745417297,152.00249695777893,0.06367187,1174.6470588235295,0.005300974,786.7366910196079,4.371642,434,30,61440,61440
-0.0025236695,19.57197,0.8806355595588684,156.71740555763245,0.036230467,1191.4615384615386,0.0034031637,805.7523126153845,4.359994,407,31,63488,63488
-0.004541886,21.340282,0.8501975387334824,161.7456476688385,0.049609374,1207.6415094339623,0.0041612927,823.8915848679244,4.3446307,438,32,65536,65536
