total_timesteps,n_updates,fps,explained_variance,clipfrac,value_loss,serial_timesteps,policy_loss,ep_len_mean,time_elapsed,approxkl,ep_reward_mean,policy_entropy
190464,93,598,0.36593496799468994,0.055615235,2.7874777,190464,-0.003160372,1779.78,313.28976583480835,0.004568379,534.02184075,2.0402231
192512,94,586,0.3363664746284485,0.026708985,3.253055,192512,0.0002812809,1793.88,316.71082520484924,0.0027700788,541.29885726,2.037951
194560,95,588,0.32488733530044556,0.046728514,2.92197,194560,-0.0025123665,1808.66,320.2026891708374,0.0041735177,548.68207987,2.0353293
196608,96,564,0.32063227891921997,0.041308593,2.990448,196608,-0.002261508,1816.35,323.6845848560333,0.0037527208,554.48322474,2.0323527
198656,97,573,0.3556064963340759,0.05644531,2.7751698,198656,-0.0029434497,1822.71,327.31481194496155,0.004820599,559.79901335,2.0265326
200704,98,584,0.24478107690811157,0.044970702,3.244081,200704,-0.0020187611,1838.72,330.8850038051605,0.0037602514,567.28276439,2.0265517
202752,99,593,0.25995463132858276,0.066503905,3.1958222,202752,-0.00434825,1838.72,334.38877058029175,0.0059638736,571.7502069400001,2.033016
204800,100,608,0.344585120677948,0.041503906,3.7867382,204800,-0.0013935672,1833.92,337.84177899360657,0.0036562781,574.62292346,2.0404208
206848,101,622,0.215101957321167,0.040136717,6.4908257,206848,-0.0040321033,1817.96,341.2119371891022,0.0038785138,576.88853644,2.055585
208896,102,612,0.30465298891067505,0.021630859,6.7139397,208896,-0.0016627826,1823.38,344.50296115875244,0.0023829066,583.41895416,2.070005
210944,103,604,0.3466503620147705,0.011767578,5.9557524,210944,-0.00056063366,1834.76,347.8453631401062,0.001662486,591.94792346,2.0707934
212992,104,602,0.3133842349052429,0.034179688,9.543091,212992,-0.003041565,1798.21,351.2367022037506,0.0032580053,588.7401340700002,2.065661
215040,105,591,0.3150140047073364,0.028955078,11.362408,215040,-0.0023968879,1737.55,354.63680243492126,0.0026916268,579.1135212199999,2.065029
217088,106,596,0.2808319926261902,0.022998046,11.154172,217088,-0.0021055979,1676.7,358.1007926464081,0.0025131283,569.1176731500001,2.0647418
219136,107,609,0.34938138723373413,0.013964844,10.272912,219136,-0.0019457173,1613.63,361.5341634750366,0.001827392,556.51783673,2.0616093
221184,108,625,0.39247220754623413,0.031689454,11.435714,221184,-0.0033500628,1551.92,364.8928563594818,0.0030765622,544.4697994700001,2.058963
223232,109,601,0.47332900762557983,0.043798827,6.7318983,223232,-0.0027754526,1532.27,368.16791248321533,0.0037518523,544.2637154,2.0518715
225280,110,589,0.49368488788604736,0.034326173,8.45223,225280,-0.0039126263,1491.66,371.57367849349976,0.0031209444,537.07876112,2.0530164
227328,111,595,0.40380674600601196,0.0390625,9.023654,227328,-0.0032211728,1441.09,375.04789185523987,0.0035660274,524.86910496,2.056463
229376,112,582,0.43001413345336914,0.026123047,9.093909,229376,-0.0010889319,1424.44,378.4896535873413,0.0026743936,525.48804221,2.0565715
231424,113,579,0.5261703431606293,0.06943359,3.6131623,231424,-0.0040688207,1415.08,382.0077826976776,0.005650753,525.28122451,2.0518262
233472,114,597,0.44773679971694946,0.020947266,6.844906,233472,-0.0010648777,1407.87,385.5432608127594,0.0024802452,529.85323159,2.0494337
235520,115,600,0.5990203320980072,0.043115236,7.7995467,235520,-0.0033108413,1363.31,388.9687867164612,0.0038554624,520.15816807,2.0519536
