explained_variance,time_elapsed,value_loss,serial_timesteps,fps,policy_loss,total_timesteps,n_updates,approxkl,clipfrac,policy_entropy,ep_reward_mean,ep_len_mean
0.9862753609195352,1.9073486328125e-06,0.73030084,2048,439,-0.005037299,2048,1,0.0031608376,0.02758789,6.0430846,,
0.9512391351163387,4.657044410705566,12.252539,4096,474,-0.0024055883,4096,2,0.0020313016,0.020214844,6.027269,814.664812,974.3333333333334
0.8848909735679626,8.972907543182373,40.58162,6144,468,-0.004498868,6144,3,0.002139918,0.020410156,6.0359883,606.814749875,755.0
0.8247460722923279,13.347628116607666,21.38343,8192,471,-0.0021393143,8192,4,0.005045049,0.066259764,6.044382,744.4075715555555,898.7777777777778
0.704414576292038,17.695404052734375,20.303648,10240,459,-0.0016154306,10240,5,0.0030387815,0.035205077,6.056655,862.3444806,1013.8
0.9695500060915947,22.155248165130615,4.3804297,12288,485,-0.0025516525,12288,6,0.0022302086,0.02109375,6.067155,801.0230827272727,955.6363636363636
0.7929301261901855,26.374968767166138,43.146973,14336,534,-0.002226443,14336,7,0.0022469696,0.0234375,6.073479,721.0715905,889.625
0.7996272593736649,30.2064688205719,27.209269,16384,544,-0.0054222974,16384,8,0.0025615995,0.028808594,6.0798373,593.5170736190476,768.8571428571429
0.7236876785755157,33.968849897384644,29.301422,18432,516,-0.005368068,18432,9,0.0020399976,0.01821289,6.085044,520.9224503846154,707.3076923076923
0.7659629285335541,37.93103075027466,22.4414,20480,548,-0.0031477641,20480,10,0.0024025508,0.025146484,6.084443,477.7561327333334,667.2
0.8560492098331451,41.66497540473938,23.124075,22528,482,-0.0039644246,22528,11,0.0032658589,0.035351563,6.09451,518.2427171612903,711.7741935483871
0.8898666054010391,45.90718460083008,22.182848,24576,533,-0.00094888464,24576,12,0.0014401912,0.015673827,6.1136994,475.70263761111113,670.3333333333334
0.8476306200027466,49.748810052871704,21.447056,26624,483,-0.0040892707,26624,13,0.004203974,0.04799805,6.127032,513.3244363783783,707.5945945945946
0.83719702064991,53.988367795944214,17.978395,28672,535,-0.005011179,28672,14,0.0034303858,0.042089842,6.1441956,488.49905782926834,689.219512195122
0.9789146184921265,57.81152820587158,4.549926,30720,476,-0.006784743,30720,15,0.0031975075,0.0328125,6.13899,482.16264127906976,686.3255813953489
0.9110166504979134,62.10944414138794,25.456436,32768,482,-0.00185217,32768,16,0.0012803797,0.011523438,6.130846,499.7535515869565,706.1086956521739
0.808320939540863,66.35026478767395,19.631828,34816,477,-0.002487913,34816,17,0.003149645,0.039257813,6.1387477,529.1893163829787,734.6808510638298
0.7875085026025772,70.6369001865387,22.978708,36864,532,-0.0044217007,36864,18,0.002882068,0.03364258,6.140901,545.0964063541666,762.0625
0.7663090080022812,74.48190879821777,14.08696,38912,551,-0.0038119953,38912,19,0.0022608885,0.026220703,6.1347337,543.7210672599999,769.14
0.7342649400234222,78.19462442398071,10.561972,40960,540,-0.0022934817,40960,20,0.0015625476,0.017822266,6.131906,556.1552155294116,794.2352941176471
