policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,time_elapsed,value_loss,approxkl,ep_reward_mean,ep_len_mean
-0.010224969,1,2048,0.9978115744888783,0.07817383,3.6717038,339,2048,1.6689300537109375e-06,0.31254154,0.006341146,,
-0.0057187034,2,4096,0.9516151919960976,0.048339844,3.6633072,356,4096,6.037591934204102,3.7563972,0.004145024,1723.367356,2049.0
-0.005550933,3,6144,0.9803875330835581,0.0609375,3.6544254,345,6144,11.778700351715088,3.1711204,0.005333788,1505.950257,2049.0
-0.0037733712,4,8192,0.8623465299606323,0.043603517,3.6494317,358,8192,17.69940185546875,8.732985,0.0037762108,1577.994412,2049.0
-0.0036242052,5,10240,0.8353589028120041,0.018847656,3.647372,367,10240,23.406380653381348,15.5659,0.0019242221,1272.7714740000001,1769.0
-0.005477906,6,12288,0.9097372442483902,0.054833986,3.6492512,371,12288,28.985394716262817,10.642571,0.004913969,1272.0381298333334,1815.6666666666667
-0.001703284,7,14336,0.8685687333345413,0.041259766,3.6578822,369,14336,34.49242925643921,20.351177,0.0034738933,1330.751327714286,1849.0
-0.0007433946,8,16384,0.8658561408519745,0.007861328,3.6698143,394,16384,40.03881788253784,18.264828,0.0009878089,1183.5604055555555,1692.111111111111
-0.0024830408,9,18432,0.880073718726635,0.06977539,3.6776664,352,18432,45.22729420661926,19.379597,0.005497076,1227.2057144999999,1727.8
-0.0046048723,10,20480,0.8721987456083298,0.053759765,3.6949863,346,20480,51.04030680656433,22.841263,0.0046303575,1170.2776139166665,1632.5
-0.0028670651,11,22528,0.8709818720817566,0.06381836,3.7053769,277,22528,56.95216131210327,18.94543,0.0051440643,1209.5552024615386,1664.5384615384614
-0.003710509,12,24576,0.85312220454216,0.066259764,3.7028012,364,24576,64.3236927986145,19.622278,0.0057803155,1248.6396471428573,1692.0
-0.0021132652,13,26624,0.8939500525593758,0.03310547,3.703607,366,26624,69.94934248924255,18.558502,0.003001235,1277.7417861333333,1715.8
