total_timesteps,policy_entropy,policy_loss,approxkl,n_updates,serial_timesteps,time_elapsed,explained_variance,clipfrac,fps,value_loss,ep_len_mean,ep_reward_mean
118784,3.6598048,-0.002758549,0.0052632536,58,118784,311.898734331131,0.8983660712838173,0.0659668,323,17.677723,1195.090909090909,773.2186865555556
120832,3.6715255,-0.004759471,0.0026850437,59,120832,318.2228274345398,0.9057285338640213,0.026855469,331,11.256124,1180.91,764.08576316
122880,3.668399,-0.0006657126,0.0016698728,60,122880,324.3927993774414,0.9329998716711998,0.015576172,350,5.490835,1197.58,776.1867752300001
124928,3.656498,-0.003056848,0.0032964877,61,124928,330.2302224636078,0.9464875906705856,0.036035158,336,4.404096,1214.11,787.9277956600001
126976,3.6474335,-0.0018486017,0.0029879608,62,126976,336.3120663166046,0.8668341934680939,0.033251952,309,16.32549,1229.79,801.1990134200001
129024,3.6374912,-0.0035691347,0.0033551552,63,129024,342.938250541687,0.9268261566758156,0.03413086,321,10.387884,1211.02,785.5223399500001
131072,3.6418872,-0.003275786,0.0056509995,64,131072,349.30412316322327,0.7244815230369568,0.06757812,357,14.543773,1211.02,785.0728630700002
133120,3.652959,-0.0043964274,0.0038887647,65,133120,355.0387978553772,0.8747894912958145,0.048046876,404,13.358557,1211.02,786.72264912
135168,3.6614366,-0.0037603353,0.0035736698,66,135168,360.10876059532166,0.8643987029790878,0.03652344,426,17.330029,1216.36,790.8652971600002
137216,3.6608615,-0.005771654,0.0034955628,67,137216,364.9145669937134,0.8737999945878983,0.039013673,415,7.91318,1221.57,795.1305741400001
139264,3.6663036,-0.0069067157,0.0045137163,68,139264,369.84355068206787,0.7441806197166443,0.050488282,391,25.882849,1190.7,772.81086138
141312,3.6745288,-0.0018135926,0.0034319968,69,141312,375.0772638320923,0.8796660676598549,0.038867187,322,10.597626,1208.39,785.66130586
143360,3.6749012,-0.0056067733,0.003994544,70,143360,381.4276876449585,0.8837487176060677,0.044140626,410,15.638327,1164.37,756.8221321199999
145408,3.679399,-0.0027411866,0.0034858503,71,145408,386.41559886932373,0.9164592549204826,0.037109375,381,12.756768,1162.91,755.59254549
147456,3.6911767,-0.0042559872,0.0033489869,72,147456,391.7876362800598,0.8822328224778175,0.037109375,341,15.419911,1155.3,749.3434488700001
