n_updates,ep_reward_mean,time_elapsed,policy_loss,serial_timesteps,explained_variance,clipfrac,ep_len_mean,approxkl,value_loss,policy_entropy,total_timesteps,fps
26,360.33238843749996,184.84124326705933,-0.0032030616,53248,0.01531982421875,0.047753908,1629.5625,0.0043473253,2.3520057,1.4948614,53248,272
27,365.21597348484846,192.36975646018982,0.00053338957,55296,0.29818516969680786,0.018994141,1642.2727272727273,0.0021888327,2.762652,1.492463,55296,274
28,370.49252502941175,199.84106969833374,-0.0006504141,57344,-0.01681971549987793,0.025537109,1654.235294117647,0.0026403673,2.320225,1.4900539,57344,262
29,374.0205548285714,207.64221000671387,0.00044585616,59392,0.07471400499343872,0.012158203,1665.5142857142857,0.0019011634,2.0556498,1.4814024,59392,280
30,378.303658,214.94358825683594,-0.0036439844,61440,0.21538829803466797,0.03334961,1676.1666666666667,0.0034946476,2.1738064,1.4693887,61440,275
31,382.62935375675676,222.3913769721985,-0.0015757482,63488,0.25619369745254517,0.034521483,1686.2432432432433,0.0032075332,2.3162313,1.4506698,63488,274
32,386.8356654736842,229.8438310623169,-0.0004903878,65536,0.002185344696044922,0.024560547,1695.7894736842106,0.002610207,3.12184,1.440491,65536,253
33,392.66425689743585,237.92739033699036,0.0007441549,67584,0.2677823305130005,0.029443359,1704.8461538461538,0.00303408,3.4956214,1.4361331,67584,257
34,397.484854325,245.88317704200745,-0.001060276,69632,0.12711608409881592,0.024169922,1713.45,0.0026078376,2.8025613,1.430157,69632,269
35,402.34860207317075,253.4857578277588,-0.00045975516,71680,0.24288016557693481,0.038085938,1721.6341463414635,0.0034626075,2.4435778,1.4274594,71680,263
36,405.6995087619048,261.2472641468048,-0.00020325436,73728,0.19405227899551392,0.021337891,1729.4285714285713,0.0024508531,2.9177687,1.4207641,73728,258
37,411.646687255814,269.1855103969574,-0.0017227655,75776,0.051592469215393066,0.05356445,1736.860465116279,0.0043117004,2.8846838,1.4167526,75776,263
38,415.2576980227273,276.97174859046936,-0.0019789604,77824,-0.061861276626586914,0.061523438,1743.9545454545455,0.005159514,2.2565289,1.4208183,77824,264
39,418.9537939777778,284.7273325920105,-0.00042311364,79872,0.21013128757476807,0.031347655,1750.7333333333333,0.0030714807,2.1018398,1.4172314,79872,258
40,422.05860304347834,292.66340827941895,-0.0004203035,81920,0.12586045265197754,0.031445313,1757.2173913043478,0.0030663772,3.78246,1.417762,81920,262
41,428.6391723404256,300.4779028892517,1.8590323e-05,83968,-0.05029582977294922,0.034863282,1763.4255319148936,0.0032369941,4.164997,1.4259455,83968,240
