clipfrac,explained_variance,serial_timesteps,fps,total_timesteps,policy_loss,approxkl,ep_reward_mean,time_elapsed,ep_len_mean,value_loss,n_updates,policy_entropy
0.042529296,0.9020674899220467,2048,447,2048,-0.004436979,0.0037335393,611.621706,1.9073486328125e-06,889.5,9.826128,1,4.2563353
0.041259766,0.9474237076938152,4096,450,4096,-0.0022872966,0.0035009074,673.58821525,4.572797775268555,973.75,8.179193,2,4.263505
0.035449218,0.8571174293756485,6144,459,6144,-0.0008977767,0.0032879417,853.5179326,9.118241310119629,1188.8,11.582437,3,4.2698226
0.028564453,0.816794291138649,8192,452,8192,-0.0014469988,0.0028371518,964.4371941666667,13.57953953742981,1332.1666666666667,13.642611,4,4.2704563
0.06196289,0.8719829469919205,10240,436,10240,-0.001180222,0.0056890314,1046.0206224285714,18.10146403312683,1434.5714285714287,10.478477,5,4.267987
0.062158205,0.8633673787117004,12288,441,12288,-0.006261093,0.0057692537,1114.3792575,22.796723127365112,1511.375,11.955387,6,4.26901
0.030126953,0.8495693355798721,14336,452,14336,-0.0040642866,0.003169074,1156.202371,27.434037446975708,1571.111111111111,12.33464,7,4.2666078
0.043554686,0.8009656071662903,16384,431,16384,-0.0025981674,0.0039220094,1200.6270349000001,31.96014904975891,1618.9,15.791809,8,4.2723465
0.051220704,0.9009810164570808,18432,404,18432,-0.0042737443,0.004615332,1226.9121936363636,36.710598945617676,1658.0,8.736675,9,4.2809596
0.031933594,0.8811848685145378,20480,415,20480,-0.0025850378,0.0029591813,1259.5021205833334,41.772704124450684,1690.5833333333333,12.105464,10,4.2926264
0.034814455,0.5995007455348969,22528,436,22528,-0.00487738,0.0030772877,1265.5446241538461,46.70031237602234,1718.1538461538462,13.011084,11,4.3023267
0.032324217,0.8278841823339462,24576,441,24576,-0.004351259,0.0030486328,1281.3237993571427,51.391624450683594,1741.7857142857142,12.32772,12,4.2999134
0.04448242,0.8242090791463852,26624,465,26624,-0.0019451298,0.0038150072,1244.4317696666665,56.03427815437317,1697.8,9.251909,13,4.3060656
0.05239258,0.8711903393268585,28672,441,28672,-0.004322736,0.004460955,1245.7697540625002,60.437219858169556,1719.75,11.778116,14,4.314797
0.035839844,0.7902686595916748,30720,455,30720,-0.001835766,0.003452219,1267.0032472352943,65.07974600791931,1739.1176470588234,16.518196,15,4.3109713
0.058984376,0.7989680469036102,32768,446,32768,-0.0029675453,0.005329821,1188.9054722000003,69.58031010627747,1627.75,31.752237,16,4.3047066
0.057763673,0.5990797281265259,34816,445,34816,-0.0016668022,0.005459826,1193.0891268571431,74.16923308372498,1647.8095238095239,12.168896,17,4.3192434
0.02841797,0.845660462975502,36864,450,36864,-0.0032610155,0.002836288,1119.2389364782612,78.77101945877075,1553.0434782608695,16.802046,18,4.3198714
0.07446289,0.8881180137395859,38912,454,38912,-0.008176972,0.006104941,1110.6710795600002,83.3132700920105,1535.84,13.014246,19,4.312049
0.03330078,0.876179464161396,40960,453,40960,-0.00668597,0.0032321673,1068.2764793703705,87.82244110107422,1482.0740740740741,13.258898,20,4.2990866
0.050488282,0.8316134959459305,43008,432,43008,-0.0015891045,0.0042958707,1076.4164642500002,92.3429627418518,1502.3214285714287,12.809779,21,4.3039427
0.07651367,0.8661281168460846,45056,428,45056,-0.008084614,0.005881729,1082.2243024000002,97.07996535301208,1498.6,19.325865,22,4.31668
0.03178711,0.9281626865267754,47104,453,47104,-0.0027879332,0.0032008593,1078.386247483871,101.8577663898468,1491.258064516129,6.9557242,23,4.321874
0.036474608,0.8420864343643188,49152,455,49152,-0.0040252632,0.0033943995,1093.3810746249999,106.36959028244019,1508.6875,12.376836,24,4.307857
0.06342773,0.747393935918808,51200,438,51200,-0.0040632514,0.0055859117,1082.6184605151514,110.86552119255066,1496.1818181818182,8.407423,25,4.3078074
0.059375,0.8962135836482048,53248,451,53248,-0.0043058833,0.0056660483,1088.6031954411762,115.54736065864563,1512.4411764705883,14.175234,26,4.3091483
0.038720705,0.9465989805757999,55296,424,55296,-0.0032767064,0.004000458,1100.2072168857142,120.08155703544617,1524.8857142857144,6.973117,27,4.3065166
0.020751953,0.7271339893341064,57344,456,57344,-0.00082502,0.0022786802,1079.5646208421051,124.9118664264679,1500.7894736842106,32.2088,28,4.302491
0.0769043,0.9022876098752022,59392,453,59392,-0.0066515813,0.0060164677,1083.829512076923,129.40146255493164,1506.7948717948718,8.256286,29,4.305185
0.039355468,0.9320808500051498,61440,424,61440,-0.003801243,0.0037891977,1097.176154125,133.91658854484558,1519.225,6.347465,30,4.3135767
0.04399414,0.888109564781189,63488,428,63488,-0.0056073098,0.003953573,1083.006604047619,138.74530863761902,1501.3809523809523,13.360202,31,4.31046
0.046289064,0.952823780477047,65536,464,65536,-0.005193166,0.004277935,1074.7370162790698,143.52576303482056,1491.9302325581396,5.4045105,32,4.305115
0.074121095,0.9156613275408745,67584,424,67584,-0.0007365222,0.0067332373,1083.4757801363637,147.93698525428772,1504.590909090909,10.336866,33,4.300448
0.04501953,0.8444521725177765,69632,434,69632,-0.0025802425,0.003990785,1095.8337258444446,152.76140570640564,1516.6888888888889,17.664173,34,4.304596
0.050976563,0.8810416162014008,71680,434,71680,-0.001622995,0.0041886554,1108.826027347826,157.4750678539276,1528.2608695652175,18.473898,35,4.30844
0.03803711,0.8962566629052162,73728,427,73728,-0.0035376684,0.0038849483,1108.258347106383,162.18622136116028,1530.6170212765958,10.634905,36,4.3132815
0.026171874,0.8843576163053513,75776,424,75776,-0.0031910776,0.0025729924,1122.5972331632654,166.97473168373108,1545.9591836734694,13.516627,37,4.3174224
0.046044923,0.8734973222017288,77824,426,77824,-0.0029129616,0.0040978324,1131.73446868,171.7993450164795,1556.02,16.474049,38,4.3231144
