serial_timesteps,ep_len_mean,value_loss,fps,approxkl,clipfrac,ep_reward_mean,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed
2048,402.25,18.121967,507,0.003519136,0.039208986,168.63751975,1,-0.0023819173,2048,3.5945714,0.686785876750946,1.9073486328125e-06
4096,731.6,10.363134,522,0.0023217772,0.022265624,396.2143316,2,-0.0034344613,4096,3.5903945,0.8304587006568909,4.034726142883301
6144,612.875,11.589214,489,0.004378952,0.04863281,311.8536275,3,-0.0059567527,6144,3.5835426,0.9324199259281158,7.952517509460449
8192,772.4444444444445,8.976488,515,0.0032928898,0.037988283,443.5217763333333,4,-0.0011789404,8192,3.575688,0.8859559521079063,12.135034799575806
10240,792.5,19.550274,520,0.004655202,0.050830077,461.5739993333334,5,-0.0034657042,10240,3.5812294,0.8330249935388565,16.10709309577942
12288,670.8333333333334,19.312016,509,0.005869004,0.06992187,378.47023144444444,6,-0.0055328994,12288,3.6003788,0.8762398436665535,20.03939461708069
14336,743.3684210526316,12.015069,494,0.0056834472,0.0625,421.82554884210526,7,-0.0049673063,14336,3.6182675,0.7237963080406189,24.055720806121826
16384,808.65,11.749929,509,0.0062760985,0.074560545,461.3757727,8,-0.0036158212,16384,3.624429,0.7603537738323212,28.199920654296875
18432,867.7142857142857,16.02866,524,0.0029696915,0.030078124,498.8157736666667,9,-0.001225242,18432,3.627791,0.7570875734090805,32.22353148460388
20480,813.8260869565217,8.849222,490,0.0054979604,0.06430664,463.0877047826087,10,-0.0061993995,20480,3.6353996,0.8832085356116295,36.12918138504028
22528,898.56,18.098587,512,0.0038737718,0.04243164,524.6588412,11,-0.005534549,22528,3.6414533,0.8621331006288528,40.304463386535645
24576,942.8076923076923,9.12369,467,0.006326128,0.081445314,552.1898699230769,12,-0.0037990916,24576,3.6434746,0.7864599823951721,44.298707008361816
26624,983.7777777777778,9.483797,492,0.0062356587,0.076416016,577.6301045185186,13,-0.0035890203,26624,3.6513228,0.7345574498176575,48.67704939842224
28672,1021.8214285714286,9.818911,495,0.002538811,0.028027344,606.2438214642858,14,-0.0025671632,28672,3.6561627,0.8725381940603256,52.839669942855835
30720,1057.2413793103449,11.058519,527,0.003509773,0.038183592,629.0713575862069,15,-0.0014786668,30720,3.6511402,0.7530286610126495,56.97724223136902
32768,1086.7,9.542654,484,0.004851411,0.05629883,657.4950246000001,16,-0.00752549,32768,3.656021,0.9254189878702164,60.85960054397583
34816,1068.375,14.902887,491,0.0043259864,0.05,644.9676963125,17,-0.004457442,34816,3.6649861,0.836293026804924,65.09143900871277
36864,1098.090909090909,16.247494,484,0.0043965997,0.053466797,668.7414954848484,18,-0.0033066578,36864,3.66572,0.8098792284727097,69.2554497718811
38912,1126.0588235294117,10.065336,480,0.00412862,0.0440918,687.2008890588235,19,-0.0040561426,38912,3.6643746,0.7855488955974579,73.47949194908142
40960,1126.861111111111,14.687136,488,0.004110151,0.04824219,691.2982141666666,20,-0.0061766533,40960,3.6664205,0.8939383253455162,77.74342036247253
43008,1151.7837837837837,12.539084,474,0.0061296476,0.07475586,715.3732783513512,21,-0.0016821442,43008,3.666808,0.8762708529829979,81.93455839157104
45056,1175.3947368421052,9.955428,508,0.005498172,0.06899414,730.4780770263158,22,-0.0036056265,45056,3.6741157,0.7381349802017212,86.25514936447144
47104,1187.8974358974358,6.734276,505,0.00288812,0.02626953,742.1328683076923,23,-0.0031587514,47104,3.6758618,0.9309353306889534,90.28454327583313
49152,1209.425,9.863539,487,0.0047109704,0.054003906,761.303337725,24,-0.004055737,49152,3.6724553,0.9198411330580711,94.33263659477234
51200,1229.9024390243903,12.020762,500,0.0022067637,0.022607422,775.2711263658535,25,-0.0036950759,51200,3.6735845,0.8285497426986694,98.53576445579529
53248,1249.404761904762,13.484995,514,0.00288937,0.028271485,791.864377547619,26,-0.003104298,53248,3.6702754,0.8746012300252914,102.64329266548157
55296,1268.0,11.514247,495,0.0069361804,0.076123044,803.0882711627906,27,-0.0035696917,55296,3.6500008,0.8065309822559357,106.62556457519531
57344,1240.5869565217392,18.924643,476,0.0068096914,0.06601562,789.1186297173913,28,-0.0018731576,57344,3.6353061,0.9110843613743782,110.75962352752686
59392,1236.7446808510638,8.361087,512,0.0037111968,0.03959961,787.0815525106382,29,-0.0065676207,59392,3.6255193,0.8835848644375801,115.05798983573914
61440,1253.6666666666667,15.369557,476,0.003063883,0.036132812,799.5662327291666,30,-0.0038952264,61440,3.6361413,0.8322768062353134,119.05090928077698
63488,1268.88,12.7493,475,0.005473207,0.06020508,814.75066182,31,-0.0035821155,63488,3.6466057,0.9092775955796242,123.35088181495667
65536,1284.1764705882354,18.24789,459,0.005572368,0.07602539,830.5665641568627,32,-0.006731593,65536,3.6519012,0.8732294291257858,127.6621561050415
67584,1298.8846153846155,11.789746,475,0.005101279,0.04765625,841.9930953846153,33,-0.0043006837,67584,3.6537137,0.8862055540084839,132.1198604106903
69632,1307.754716981132,6.4027467,464,0.008042989,0.074121095,853.3649454528302,34,-0.008789695,69632,3.659224,0.9632792733609676,136.42511820793152
71680,1293.388888888889,7.956875,477,0.0026586517,0.025683593,842.1722131666667,35,-0.004001351,71680,3.6591733,0.8520477861166,140.83211302757263
73728,1272.561403508772,20.159748,488,0.003993283,0.046289064,824.4517568245615,36,-0.003934852,73728,3.660565,0.7869160622358322,145.11859583854675
75776,1283.8305084745762,15.399264,474,0.0060014008,0.07304688,831.5777840847459,37,-0.0038351591,75776,3.684791,0.8598504513502121,149.31380534172058
77824,1265.2166666666667,5.3263483,484,0.0021408184,0.017626952,818.5242348333335,38,-0.00362603,77824,3.701467,0.9606160186231136,153.62811946868896
79872,1278.0655737704917,13.535954,462,0.004434755,0.053369142,830.5736704426231,39,-0.0029661038,79872,3.7026215,0.6545153558254242,157.85398387908936
81920,1274.2539682539682,13.549205,472,0.006020113,0.07832031,825.676853857143,40,-0.001249364,81920,3.7066836,0.7999196350574493,162.28612899780273
