approxkl,ep_len_mean,fps,n_updates,clipfrac,policy_loss,time_elapsed,value_loss,policy_entropy,total_timesteps,ep_reward_mean,explained_variance,serial_timesteps
0.001310722,591.0,419,1,0.013232422,-0.0030036904,2.1457672119140625e-06,20.29777,5.607597,2048,534.1715326666666,0.9536501057446003,2048
0.0032564984,503.0,426,2,0.035205077,-0.0028125008,4.886092901229858,13.454061,5.6070237,4096,463.67377550000003,0.9763400368392467,4096
0.002107628,574.6,430,3,0.019482423,-0.004921549,9.687971591949463,6.027798,5.5926323,6144,536.1715667000001,0.9755182024091482,6144
0.0020948364,476.2352941176471,432,4,0.018652344,-0.0026990836,14.447019577026367,13.041267,5.5716267,8192,442.3291590588235,0.9816417414695024,8192
0.0017028667,504.7894736842105,430,5,0.011328125,-0.0006096989,19.183940649032593,3.352864,5.5743914,10240,471.20553810526314,0.9872698495164514,10240
0.001489958,523.8095238095239,427,6,0.0086425785,-0.0014232912,23.937994718551636,1.5353906,5.5720296,12288,490.76911547619045,0.9938319972716272,12288
0.00320702,593.5652173913044,413,7,0.033496093,-0.004641953,28.727704286575317,29.345022,5.568353,14336,557.8037226521739,0.9085197299718857,14336
0.0014773719,646.24,410,8,0.011474609,-0.0009441891,33.67886209487915,22.409613,5.566458,16384,611.57657656,0.8454066812992096,16384
0.003622648,700.1923076923077,384,9,0.037988283,-0.0036326938,38.66663193702698,19.863659,5.558075,18432,666.2639555769231,0.03381234407424927,18432
0.0013510407,690.5862068965517,419,10,0.013623047,-0.002094761,43.99294185638428,15.15452,5.557107,20480,656.378097862069,0.9556246027350426,20480
0.00097327476,735.8666666666667,417,11,0.004248047,0.00013843236,48.88072371482849,17.364246,5.5614986,22528,702.1133129000001,0.2185702919960022,22528
0.0063431077,778.2258064516129,427,12,0.07836914,-0.0020585177,53.7809796333313,20.358812,5.559526,24576,745.3049123870968,-0.0008220672607421875,24576
0.0012558422,817.9375,438,13,0.00703125,-0.0016752534,58.575632095336914,13.151217,5.5572505,26624,784.52880509375,0.8861293196678162,26624
0.0016538668,828.3636363636364,429,14,0.017626952,-0.0063550323,63.241825342178345,4.82227,5.570857,28672,794.7679017575757,0.9603149592876434,28672
0.00050651835,863.0294117647059,441,15,0.0017089844,-0.001238093,68.00941491127014,20.494526,5.584197,30720,824.5015832941176,0.9482430554926395,30720
0.00062986737,881.0857142857143,414,16,0.0040527345,-0.0028211107,72.64753866195679,9.493168,5.5849714,32768,842.5153425142856,0.9652164354920387,32768
0.000986262,930.1621621621622,420,17,0.009277344,-0.0016218701,77.5931487083435,11.994104,5.5847173,34816,887.0866482702701,0.9675706513226032,34816
0.002924155,956.1842105263158,426,18,0.026367188,-0.0069649583,82.46964287757874,3.0217183,5.600876,36864,912.8539421052631,0.9740062225610018,36864
0.0011786424,984.2051282051282,438,19,0.008105469,-0.0028234604,87.26855707168579,16.799217,5.610976,38912,941.4586892051282,0.26147300004959106,38912
0.00029264047,999.475,429,20,0.0009765625,-0.0019015772,91.9343204498291,15.942955,5.608738,40960,954.2775015999999,0.9455236792564392,40960
0.0018093635,1025.0731707317073,426,21,0.011816407,-0.001347657,96.70157217979431,25.108494,5.6034136,43008,980.627110609756,0.8399185538291931,43008
0.0024270755,1044.3809523809523,409,22,0.024414062,-0.00202506,101.50506806373596,20.53676,5.6045213,45056,991.8218544999999,0.9588629938662052,45056
0.0006916015,1051.1818181818182,415,23,0.0010742188,-0.0007369945,106.50924158096313,29.111517,5.60374,47104,999.6555103409089,0.8181478530168533,47104
0.001734316,1073.3555555555556,415,24,0.013232422,-0.0012038171,111.44274568557739,20.46916,5.605962,49152,1022.6170195333332,-0.01503443717956543,49152
0.0026188823,1094.5652173913043,416,25,0.023388673,-0.001063585,116.3725688457489,20.29247,5.609823,51200,1044.6552565869563,-0.00020301342010498047,51200
0.0036797714,1114.872340425532,423,26,0.047607422,-0.002904838,121.30644822120667,34.586327,5.6084795,53248,1065.8545845531914,0.9071628451347351,53248
0.0002546886,1134.3333333333333,467,27,0.00068359374,-0.00076882297,126.14618992805481,16.207262,5.6091585,55296,1072.1175360625,0.9686307981610298,55296
0.0011968322,1141.1020408163265,422,28,0.0053222654,-0.0013882816,130.5262405872345,8.215779,5.603986,57344,1079.0000403061226,0.93565983325243,57344
0.00048847345,1135.9038461538462,437,29,0.0017578125,-0.0012875808,135.37795877456665,30.815907,5.592344,59392,1074.1391069807694,0.9073914885520935,59392
0.0023374555,1132.8333333333333,413,30,0.017626952,-0.0025401444,140.0647954940796,10.515213,5.5784307,61440,1070.3787172592595,0.9660025760531425,61440
0.0024166605,1111.701754385965,428,31,0.02055664,-0.0044183573,145.01868224143982,5.905522,5.559823,63488,1050.830680789474,0.9816896356642246,63488
0.004211217,1127.8620689655172,421,32,0.042333983,0.0001057951,149.80088257789612,20.168543,5.5541925,65536,1067.8133679827588,-0.002111673355102539,65536
0.006583019,1143.4745762711864,422,33,0.083300784,-0.0023563632,154.6611304283142,20.32124,5.548354,67584,1084.289832101695,-0.006729006767272949,67584
0.0038489618,1158.5666666666666,424,34,0.04506836,-0.004279868,159.51431918144226,20.381483,5.544326,69632,1100.2052361,-0.0027731657028198242,69632
0.0011429685,1173.1639344262296,413,35,0.0067382813,-7.410387e-05,164.3431851863861,20.253157,5.5558324,71680,1115.5224272295084,0.007062137126922607,71680
0.0021423353,1187.2903225806451,427,36,0.01694336,-0.0010984935,169.2951831817627,20.21264,5.5560365,73728,1130.2842659677422,0.005567014217376709,73728
