fps,serial_timesteps,policy_entropy,clipfrac,explained_variance,approxkl,n_updates,policy_loss,total_timesteps,value_loss,time_elapsed,ep_len_mean,ep_reward_mean
436,2048,2.444752,0.045898438,0.9767680168151855,0.004370638,1,-0.0051828427,2048,0.8168249,1.6689300537109375e-06,,
405,4096,2.4352345,0.016113281,0.8723755925893784,0.0019673132,2,-0.0007368817,4096,8.870615,4.691427946090698,1595.0,998.2662925
394,6144,2.4480605,0.074560545,0.7972346544265747,0.0057993494,3,-0.005172933,6144,13.101718,9.744911432266235,1746.3333333333333,1108.8837043333333
451,8192,2.4503238,0.021923829,0.7366366684436798,0.0022421903,4,-0.00226198,8192,12.098195,14.93163800239563,1822.0,1133.66108525
417,10240,2.4502568,0.046240233,0.819781631231308,0.004214585,5,-0.0035288192,10240,20.945059,19.46483540534973,1627.0,1037.1169831666666
447,12288,2.4502482,0.025390625,0.7735603749752045,0.0025033879,6,-0.0032003145,12288,13.04733,24.374785900115967,1687.2857142857142,1057.4337248571428
466,14336,2.4464731,0.04008789,0.5588492453098297,0.003485222,7,-0.003504017,14336,13.745995,28.94722628593445,1732.5,1081.4213531250002
451,16384,2.4442627,0.05805664,0.8870572969317436,0.0050665173,8,-0.005897981,16384,8.406187,33.33844351768494,1660.4444444444443,1021.7617982222224
360,18432,2.4546323,0.036621094,0.7522856295108795,0.0032779402,9,-0.0048345043,18432,30.562601,37.87179493904114,1400.6923076923076,857.7941272307694
130,20480,2.492063,0.08701172,-0.04781639575958252,0.00734952,10,-0.0010350177,20480,9.893257,43.55682396888733,1447.0,819.4526340714286
131,22528,2.5221848,0.07519531,-0.649795413017273,0.0064774826,11,-0.0071271,22528,16.130524,59.23945093154907,1374.75,732.4047701874999
151,24576,2.5303655,0.08134766,0.9285837262868881,0.0062402333,12,-0.0028512704,24576,8.781826,74.78392434120178,1414.4117647058824,706.106841235294
213,26624,2.523172,0.026660156,0.8934384882450104,0.0027319305,13,-0.0020234885,26624,13.366417,88.30516624450684,1449.6666666666667,737.7774802777777
109,28672,2.5284975,0.13041992,0.019658446311950684,0.009415905,14,-0.004921034,28672,12.576683,97.88563752174377,1481.2105263157894,716.0527524736841
136,30720,2.5374303,0.07744141,0.668866753578186,0.0061144233,15,-0.004756725,30720,12.5229435,116.54283571243286,1509.6,693.7640291499999
422,32768,2.542353,0.016113281,0.687607616186142,0.0017029246,16,-0.0023412057,32768,10.316972,131.4931366443634,1535.2857142857142,712.9343722380952
402,34816,2.5429409,0.019824218,0.7348130345344543,0.0019235553,17,-0.0017839078,34816,12.660244,136.34067559242249,1558.6363636363637,742.3058295909091
260,36864,2.543614,0.031591795,0.9179996475577354,0.0028873975,18,-0.0034500684,36864,11.894883,141.4248960018158,1579.9565217391305,768.1628407391305
142,38912,2.5401678,0.11489258,0.8843809515237808,0.007951377,19,-0.0053312937,38912,11.462643,149.27813339233398,1599.5,747.8052776666667
482,40960,2.5357184,0.044873048,0.7005276381969452,0.0035627964,20,-0.0015369086,40960,7.5402474,163.63498950004578,1617.48,755.94409904
252,43008,2.5382223,0.029345702,0.9163639917969704,0.0029900172,21,-0.0033805184,43008,12.101221,167.88412594795227,1634.076923076923,777.8003627307693
133,45056,2.5380337,0.070166014,0.9109590873122215,0.005577397,22,-0.0020273528,45056,7.591756,175.99167275428772,1649.4444444444443,760.4472187037037
392,47104,2.5378723,0.031689454,0.5971008539199829,0.003001272,23,-0.0055039604,47104,15.944048,191.2806420326233,1607.6206896551723,748.929624413793
416,49152,2.5480795,0.036328126,0.8806928098201752,0.003164038,24,-0.005450252,49152,8.798529,196.50265979766846,1528.6451612903227,714.8957006774193
432,51200,2.5583625,0.016503906,0.7569240182638168,0.0016139809,25,-0.0056430837,51200,9.457579,201.42120575904846,1544.90625,726.2944781875
131,53248,2.5557358,0.061083984,0.8763847053050995,0.006904225,26,-0.0076836674,53248,14.582133,206.16474843025208,1560.1818181818182,743.4675525454545
324,55296,2.5467372,0.02866211,0.9574722871184349,0.0028386798,27,-0.0025525487,55296,4.9226403,221.74114394187927,1574.5588235294117,730.5434200588235
138,57344,2.5477662,0.02709961,0.8948797211050987,0.0036520653,28,-0.0042386567,57344,14.043085,228.06262946128845,1588.1142857142856,745.9795168857144
320,59392,2.5446918,0.037646484,0.962204746901989,0.003883655,29,-0.004613634,59392,4.3748984,242.81079602241516,1600.9166666666667,733.5646565555556
