policy_loss,n_updates,serial_timesteps,explained_variance,clipfrac,policy_entropy,fps,total_timesteps,ep_reward_mean,time_elapsed,value_loss,ep_len_mean,approxkl
-0.0057330094,1,2048,0.4368448257446289,0.06137695,2.5525265,450,2048,132.8678651666667,2.1457672119140625e-06,32.273476,322.1666666666667,0.0053296313
-0.0039648213,2,4096,0.798086628317833,0.06098633,2.5570366,487,4096,308.31248,4.548192024230957,9.960675,568.8571428571429,0.005342791
-0.0014587783,3,6144,0.6960398852825165,0.049609374,2.5498295,516,6144,434.402009375,8.748542308807373,10.204684,753.875,0.00423365
-0.0021286802,4,8192,0.7828161716461182,0.0265625,2.5408154,513,8192,335.97777683333334,12.715687036514282,21.919147,609.0,0.0027608764
-0.00045286855,5,10240,0.7701119184494019,0.03261719,2.5382376,505,10240,382.3647582666666,16.701369047164917,19.443455,671.1333333333333,0.0031044483
-0.003880328,6,12288,0.6523657441139221,0.04575195,2.535625,508,12288,331.83547654999995,20.757236003875732,25.104008,600.25,0.0040064333
-0.0026542034,7,14336,0.7562733888626099,0.06948242,2.5377617,462,14336,375.8960405238095,24.78400230407715,9.086755,669.2380952380952,0.0054682638
-0.0027393238,8,16384,0.8329894691705704,0.05341797,2.5355804,476,16384,364.4074412608695,29.21669316291809,11.270876,654.6086956521739,0.0046115313
-0.0011954529,9,18432,0.7503390163183212,0.05131836,2.5359843,449,18432,367.64474760714285,33.51875829696655,33.203907,656.2142857142857,0.0044116653
-0.0040644244,10,20480,0.8642132133245468,0.025146484,2.532742,465,20480,346.74921648387095,38.07861304283142,14.081518,626.0,0.0024856734
-0.0030573425,11,22528,0.8666426986455917,0.035595704,2.5341182,482,22528,365.24529379411763,42.477880001068115,16.8916,647.9411764705883,0.0030035342
-0.002223564,12,24576,0.8424866497516632,0.018017579,2.5369692,473,24576,356.0466069444444,46.727134704589844,14.222326,636.1944444444445,0.0018836148
0.00015834998,13,26624,0.7406339347362518,0.025830079,2.5335639,473,26624,384.8128516756757,51.056699991226196,11.992127,674.3783783783783,0.0025929748
-0.0034385682,14,28672,0.8040065765380859,0.033447266,2.5381792,472,28672,407.7444586153846,55.37883281707764,18.763271,703.7692307692307,0.003157998
-0.0030414057,15,30720,0.8854816108942032,0.04609375,2.5397062,470,30720,424.486860902439,59.71434283256531,12.950546,725.4146341463414,0.0041697854
-0.0010340702,16,32768,0.7821664959192276,0.037890624,2.5345547,458,32768,436.4480658863637,64.06859374046326,22.74422,741.2954545454545,0.0033443705
-0.0010369725,17,34816,0.8478620946407318,0.03466797,2.5239062,464,34816,435.20220382222226,68.53759264945984,8.37849,740.5333333333333,0.0033613078
-0.0024103415,18,36864,0.8483646363019943,0.03769531,2.523584,482,36864,450.7219786382979,72.95148348808289,15.930926,762.2127659574468,0.0034356199
-0.00060497643,19,38912,0.7714132070541382,0.027294923,2.516993,454,38912,464.36530908163263,77.19415354728699,19.428654,780.3469387755102,0.002731871
-0.007164645,20,40960,0.8183528631925583,0.08276367,2.5052805,462,40960,483.32453652,81.69670295715332,13.4830675,805.72,0.006308322
-0.004109566,21,43008,0.8105666637420654,0.06435547,2.5048506,485,43008,495.13937740384614,86.1298987865448,19.570576,820.7884615384615,0.0058442755
0.00039848065,22,45056,0.9030343592166901,0.051367186,2.5143046,465,45056,488.7540011698113,90.34977388381958,7.3951178,812.0377358490566,0.0046925717
-0.0023497608,23,47104,0.8179678618907928,0.020654297,2.5095658,470,47104,499.80423279999997,94.74818134307861,17.57432,828.7636363636364,0.0022082657
-0.0029524318,24,49152,0.8208332806825638,0.05620117,2.5012035,471,49152,514.9583499821429,99.10541009902954,9.377108,850.5535714285714,0.004572446
-0.004225836,25,51200,0.8278620541095734,0.048339844,2.495301,495,51200,531.0773249649123,103.44797158241272,9.956044,871.578947368421,0.0042301593
-0.0030536114,26,53248,0.7940901964902878,0.051708985,2.4935222,453,53248,540.0236879661016,107.59854459762573,16.97,884.4745762711865,0.004912568
-0.0013918369,27,55296,0.7968748509883881,0.04472656,2.4995036,479,55296,546.786248147541,112.11851644515991,17.296984,896.4262295081967,0.0042896485
-0.0012181702,28,57344,0.704026609659195,0.043115236,2.5036235,487,57344,553.6833092857142,116.3897225856781,19.467594,907.8412698412699,0.003978844
-0.0040840916,29,59392,0.7703022807836533,0.057714842,2.5110307,474,59392,550.0162049692308,120.59547233581543,17.662588,903.4615384615385,0.00458797
-0.00563016,30,61440,0.8388917148113251,0.07216797,2.5120873,474,61440,557.2811483134328,124.91662216186523,15.684992,913.7462686567164,0.005863187
-0.0047233244,31,63488,0.8300888687372208,0.074365236,2.5007272,503,63488,569.934033235294,129.23189878463745,10.599714,930.4411764705883,0.006006221
-0.0018736148,32,65536,0.92050551623106,0.032177735,2.5026674,469,65536,560.6151992428572,133.29928827285767,9.355657,918.1,0.003076076
-0.0072505856,33,67584,0.8424406796693802,0.058740236,2.487256,474,67584,571.8805177083333,137.6639974117279,16.184671,933.25,0.0054148454
-0.004309611,34,69632,0.7907474339008331,0.044628907,2.4849544,471,69632,569.8752807702701,141.98121786117554,18.682884,931.4594594594595,0.004047957
-0.003913062,35,71680,0.8766408339142799,0.051757812,2.4927971,475,71680,568.8316319610389,146.32079982757568,16.769659,928.4025974025974,0.0048582545
-0.0030922557,36,73728,0.8938604891300201,0.06875,2.491187,497,73728,565.9481953974358,150.62960648536682,8.312161,924.3974358974359,0.005797064
-0.0022091586,37,75776,0.75517338514328,0.044140626,2.4806933,473,75776,577.5277904303797,154.74399781227112,13.84216,938.632911392405,0.0039921296
-0.0018416528,38,77824,0.8398721516132355,0.060498048,2.4712296,470,77824,586.5110973499999,159.07090663909912,9.236003,952.5125,0.0057214657
-0.0031070127,39,79872,0.8757936283946037,0.026367188,2.464807,481,79872,596.4683856172838,163.42508816719055,9.395104,965.8888888888889,0.002554337
0.00083591056,40,81920,0.7689470499753952,0.056103516,2.4658923,499,81920,606.2830015853657,167.67563152313232,13.868436,979.0975609756098,0.004899612
-0.003937566,41,83968,0.5285900831222534,0.05493164,2.4685445,462,83968,598.6069113488371,171.77222061157227,34.872097,971.4302325581396,0.004746533
-0.004404001,42,86016,0.8081497102975845,0.046777345,2.4600227,460,86016,584.6418328333332,176.20387864112854,21.957085,951.6666666666666,0.0041735973
-0.0029016812,43,88064,0.8633243441581726,0.07714844,2.4441571,480,88064,593.5541062197801,180.6489679813385,10.13025,963.7252747252747,0.0062039667
