total_timesteps,approxkl,explained_variance,clipfrac,policy_entropy,n_updates,fps,value_loss,policy_loss,time_elapsed,serial_timesteps,ep_len_mean,ep_reward_mean
319488,0.0049059656,0.7975068539381027,0.05698242,3.936306,156,499,15.603567,-0.005491956,648.9625132083893,319488,1356.05,896.1858872899998
321536,0.0034886636,0.8302958905696869,0.038867187,3.9309907,157,491,12.120406,-0.0032621822,653.0625591278076,321536,1365.83,903.6967202699999
323584,0.003030501,0.8508983701467514,0.02866211,3.928599,158,478,19.336594,-0.003304479,657.2310836315155,323584,1369.1,909.0305967499999
325632,0.0052392473,0.8543703109025955,0.058251955,3.9210677,159,471,12.2985,-0.0061636423,661.5154919624329,325632,1381.33,918.99502287
327680,0.005205753,0.9459033235907555,0.057373047,3.9164765,160,463,7.990304,-0.0039583542,665.8638560771942,327680,1379.01,917.1499419000002
329728,0.0029487298,0.9703440144658089,0.031689454,3.9094841,161,491,3.1085918,-0.0039511053,670.2869012355804,329728,1372.3,912.53791849
331776,0.0048719244,0.8814830556511879,0.059228517,3.9071064,162,472,11.422487,-0.0035799355,674.4506986141205,331776,1372.3,912.8910922499999
333824,0.004028375,0.8732700198888779,0.046240233,3.9035773,163,498,10.028181,-0.0052736374,678.7842438220978,333824,1380.45,918.6333214199999
335872,0.0045089545,0.9064639806747437,0.049316406,3.8944416,164,497,8.458123,-0.0053912634,682.8892657756805,335872,1379.28,918.44384322
337920,0.0035939948,0.8581252098083496,0.04018555,3.8960373,165,477,11.954675,-0.0036713544,687.0049524307251,337920,1379.28,918.94174646
339968,0.0049824645,0.8290931135416031,0.059033204,3.9069123,166,477,10.044939,-0.006456712,691.2958192825317,339968,1386.84,923.60292574
342016,0.004885649,0.8141915649175644,0.054541014,3.9223087,167,458,16.029245,-0.0028142205,695.5881171226501,342016,1374.11,913.9956979400001
344064,0.0062230714,0.8072591572999954,0.062451173,3.9330108,168,471,12.520952,-0.0029727924,700.0558114051819,344064,1389.58,926.0411009100003
346112,0.0066470145,0.8437248021364212,0.085839845,3.9341407,169,462,13.713118,-0.0060937325,704.3974723815918,346112,1384.03,918.7914844600002
348160,0.0037105088,0.8843254521489143,0.041503906,3.9364643,170,503,11.096553,-0.0021408137,708.8219063282013,348160,1384.03,921.6687480400001
350208,0.0028193588,0.9659977182745934,0.030615235,3.9403834,171,468,4.3852816,-0.0035326104,712.8865878582001,350208,1373.27,915.7404921100001
352256,0.0047605466,0.8459073752164841,0.055615235,3.941485,172,458,15.789531,-0.0063696206,717.2598598003387,352256,1382.81,924.8427034099998
354304,0.0023429557,0.8423539251089096,0.028564453,3.940186,173,477,12.480109,-0.0035422961,721.7223219871521,354304,1382.81,925.0265029799998
356352,0.0020182233,0.900785394012928,0.016992187,3.9453628,174,471,9.004796,-0.0018308405,726.0156576633453,356352,1394.22,935.6956298599999
358400,0.0044636694,0.8445239216089249,0.04814453,3.951859,175,477,9.988215,-0.0028443846,730.355907201767,358400,1409.56,946.58434757
360448,0.0033730257,0.9192397072911263,0.039013673,3.9656768,176,470,9.211393,-0.0039842343,734.6445226669312,360448,1415.12,952.2616047199999
362496,0.0031176596,0.826681837439537,0.03378906,3.9735055,177,470,19.451672,-0.0042237854,738.9957232475281,362496,1420.62,955.5822995999998
364544,0.0061328085,0.751909077167511,0.08071289,3.9776363,178,464,11.187716,-0.003060848,743.3524959087372,364544,1434.73,965.0969918899998
366592,0.007575173,0.7326784729957581,0.07280274,3.9809985,179,465,12.939444,-0.004313043,747.7598338127136,366592,1434.73,965.0918402299998
368640,0.0033783447,0.8793205469846725,0.041748047,3.98695,180,487,14.333677,-0.0051572896,752.1560025215149,368640,1409.09,946.2060748199999
370688,0.0034840864,0.872045561671257,0.03642578,3.9965134,181,474,17.981916,-0.005244566,756.3545019626617,370688,1387.29,928.2373171300001
372736,0.00277284,0.8986184298992157,0.028710937,4.0000525,182,498,11.372725,-0.0048413305,760.6700859069824,372736,1356.76,903.5981100799999
374784,0.0038462623,0.9045857787132263,0.03720703,4.0052824,183,493,10.206843,-0.0056512184,764.7817845344543,374784,1351.84,899.10780897
376832,0.002753247,0.916919581592083,0.031884767,4.0111623,184,486,8.819833,-0.003570225,768.9290993213654,376832,1345.13,892.62019262
378880,0.0018610585,0.8526723980903625,0.019042969,4.0098248,185,488,16.88795,-0.005884506,773.1358606815338,378880,1283.49,842.49550729
380928,0.0025802734,0.9721603784710169,0.02626953,3.9930387,186,489,4.0892787,-0.0034173182,777.3249773979187,380928,1275.82,834.3671311700001
382976,0.0028280513,0.9292866289615631,0.032568358,3.9863338,187,486,9.171114,-0.0032949462,781.5076174736023,382976,1279.82,837.0603712800001
385024,0.0024470913,0.9350350201129913,0.023925781,3.988425,188,466,14.780233,-0.0013515719,785.7215850353241,385024,1275.42,833.71360815
387072,0.004322608,0.9046420976519585,0.0390625,3.9865003,189,483,10.242589,-0.0046615573,790.1167600154877,387072,1265.73,824.13939249
389120,0.0017419823,0.8603481948375702,0.017236328,3.9901493,190,495,11.372805,-0.002702819,794.352915763855,389120,1230.33,799.2869977400001
391168,0.0051929196,0.9595916271209717,0.046289064,3.9955165,191,474,9.985693,-0.0033650876,798.4871470928192,391168,1210.38,786.6029896300001
