serial_timesteps,clipfrac,value_loss,fps,approxkl,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed,ep_len_mean,ep_reward_mean
393216,0.042236328,6.2850733,562,0.003592128,192,-0.005741613,393216,4.1710443,0.9594748169183731,692.9125616550446,1520.46,1073.37239182
395264,0.040625,11.287653,596,0.0036118869,193,-0.006834589,395264,4.1852374,0.9047207608819008,696.5507745742798,1504.41,1058.5362351400001
397312,0.029150391,17.010212,575,0.0029560667,194,-0.003007539,397312,4.2009435,0.8609238564968109,699.9835662841797,1502.39,1057.55303335
399360,0.07260742,9.528265,585,0.0064120055,195,-0.0034527383,399360,4.196609,0.8920104429125786,703.5450949668884,1512.23,1063.40011813
401408,0.064453125,6.695861,581,0.0058752666,196,-0.007201539,401408,4.1923647,0.9485173113644123,707.0426895618439,1509.84,1063.16179869
403456,0.023291016,22.987669,592,0.0022832681,197,-0.002390928,403456,4.1983576,0.8244867920875549,710.5667097568512,1516.35,1066.4333925300002
405504,0.04511719,5.092766,574,0.003855989,198,-0.0036329713,405504,4.219018,0.9709149245172739,714.0212776660919,1512.94,1062.78937165
407552,0.010009766,16.982334,584,0.0014486116,199,-0.0017059544,407552,4.226226,0.8386690318584442,717.5863642692566,1498.36,1052.83321073
409600,0.021923829,4.1739264,571,0.0023815036,200,-0.0052000233,409600,4.2150173,0.9729384183883667,721.0920848846436,1501.78,1054.2245195500002
411648,0.011425781,23.251879,592,0.0012400846,201,-0.0018408695,411648,4.2111664,0.8090225756168365,724.6784465312958,1500.31,1049.22564756
413696,0.053125,16.258823,549,0.0041349526,202,-0.0027973226,413696,4.215891,0.8852958455681801,728.1333248615265,1500.31,1049.88932433
415744,0.028710937,11.089235,599,0.002843997,203,-0.0029461645,415744,4.219959,0.8861218020319939,731.8595085144043,1487.22,1039.07244591
417792,0.052783202,5.625383,565,0.0056204894,204,-0.0030922226,417792,4.233508,0.9686106480658054,735.27547955513,1486.23,1038.2323740900001
419840,0.05341797,11.611002,555,0.0041106483,205,-0.001732038,419840,4.2504344,0.9143263176083565,738.8945021629333,1495.1,1048.67019886
421888,0.027734375,19.146168,575,0.002808196,206,-0.0011550563,421888,4.2643194,0.8734307587146759,742.5817306041718,1499.81,1055.68004199
423936,0.021484375,20.789276,587,0.0022324957,207,-0.00065393647,423936,4.269372,0.8705242872238159,746.1389517784119,1506.99,1062.24138015
425984,0.014892578,15.343999,616,0.0016538122,208,-0.0010565476,425984,4.2635956,0.6954770982265472,749.6239416599274,1506.99,1060.5868535500001
428032,0.051660158,16.191261,558,0.0045046457,209,-0.0033006892,428032,4.261355,0.8931678906083107,752.9476907253265,1506.99,1059.83928981
430080,0.056933593,19.142979,545,0.0050072847,210,-0.002592019,430080,4.2476687,0.8598565757274628,756.6157138347626,1506.99,1060.59359653
432128,0.025048828,19.120934,590,0.0026503792,211,-0.0012140956,432128,4.237347,0.8612199276685715,760.3728926181793,1506.99,1064.51906392
434176,0.025195312,23.87165,603,0.00254989,212,-0.004390682,434176,4.2404046,0.7905962020158768,763.8408946990967,1492.45,1045.62608811
436224,0.0421875,19.301662,576,0.003915536,213,-0.0036457921,436224,4.238882,0.8880807608366013,767.2370727062225,1510.22,1060.80107567
438272,0.048779298,20.19355,589,0.004277489,214,-0.0030235376,438272,4.2328825,0.7968093007802963,770.7878606319427,1510.22,1057.86257118
440320,0.03354492,20.080566,576,0.0029897979,215,-0.0024579293,440320,4.2282133,0.8790817782282829,774.2637591362,1523.72,1069.5442452999998
442368,0.01850586,28.084259,604,0.0019957398,216,-0.0028836802,442368,4.2297945,0.6258789300918579,777.8171541690826,1538.2,1079.51433082
444416,0.054003906,19.316547,575,0.0048302137,217,-0.0028048716,444416,4.243746,0.8809332549571991,781.2062561511993,1538.2,1081.51090013
446464,0.026806641,10.495561,593,0.0027159494,218,-0.0034798111,446464,4.2625756,0.9005483835935593,784.7681884765625,1538.2,1082.2995733300002
448512,0.06010742,13.32847,571,0.005516923,219,-0.0029257068,448512,4.26417,0.8709398508071899,788.2208757400513,1538.2,1081.39026923
450560,0.031689454,18.386568,564,0.0028810212,220,-0.0019797715,450560,4.2778964,0.8945176899433136,791.8046641349792,1538.2,1080.2584154400001
452608,0.0859375,17.681978,544,0.0064822137,221,-0.004357254,452608,4.2972918,0.8756194934248924,795.4351677894592,1538.2,1083.1763535
454656,0.027832031,19.402288,548,0.0027720667,222,-0.002241062,454656,4.303967,0.8836255148053169,799.19371342659,1538.2,1088.1671955400002
456704,0.0126953125,20.024008,569,0.0016569967,223,-0.0014314973,456704,4.2970767,0.8918006345629692,802.9268162250519,1555.91,1103.7883201400002
458752,0.024804687,9.898102,601,0.002385395,224,-0.0045826393,458752,4.294751,0.8625985532999039,806.5265896320343,1556.23,1104.05501207
460800,0.07060547,13.867327,588,0.0065482743,225,-0.0025595329,460800,4.3056417,0.7258737087249756,809.9313724040985,1564.69,1108.06010953
462848,0.017431641,19.221813,600,0.0018261012,226,-0.003337485,462848,4.3205237,0.7593487799167633,813.4119112491608,1562.29,1106.86104531
464896,0.0574707,10.180693,594,0.005036946,227,-0.0027613663,464896,4.3160276,0.8121364116668701,816.8200936317444,1562.29,1107.0116383
466944,0.052734375,23.963062,594,0.0049834047,228,-0.0051713837,466944,4.3217425,0.7597007900476456,820.2656953334808,1527.09,1085.02291749
468992,0.025390625,12.464735,599,0.002845359,229,-0.0020986767,468992,4.3359876,0.7585248202085495,823.7099359035492,1527.09,1085.3409431100001
471040,0.017578125,17.773232,590,0.0018169113,230,-0.0025493472,471040,4.3402605,0.7702352851629257,827.1283853054047,1509.52,1074.27310547
473088,0.041552734,9.308054,608,0.0037706338,231,-0.006174694,473088,4.3422437,0.93616983294487,830.5966274738312,1503.91,1067.1584558000002
475136,0.030419922,25.083174,562,0.0033014596,232,-0.003997139,475136,4.327231,0.9033390209078789,833.9646146297455,1499.36,1064.45168965
477184,0.061279297,19.42927,556,0.005287607,233,-0.003903816,477184,4.317686,0.896560326218605,837.6068797111511,1509.92,1074.9132081300002
479232,0.038867187,11.817728,575,0.003532968,234,-0.0013788609,479232,4.3088007,0.8751902058720589,841.2894215583801,1509.92,1077.63447864
481280,0.06914063,11.4805355,567,0.0057556266,235,-0.0050972006,481280,4.2976904,0.916274793446064,844.8511745929718,1509.92,1081.26809286
483328,0.05703125,10.934468,584,0.0050975815,236,-0.0027647787,483328,4.312726,0.7378318309783936,848.4626624584198,1509.92,1076.50299898
485376,0.051757812,11.865946,588,0.004321237,237,-0.0041915043,485376,4.341606,0.7152341902256012,851.9656193256378,1517.74,1080.34141653
487424,0.057373047,18.888723,557,0.0047876504,238,-0.0019505961,487424,4.355706,0.882224828004837,855.4457724094391,1531.01,1093.69478751
489472,0.03642578,9.325628,574,0.0033291045,239,-0.0037937176,489472,4.3525033,0.8974638059735298,859.1213862895966,1531.01,1096.76519302
491520,0.051123045,17.560953,560,0.004612728,240,-0.0025870292,491520,4.3500395,0.8647364228963852,862.6854157447815,1546.55,1111.8296837499997
493568,0.050488282,11.998369,592,0.004125892,241,-0.0040572444,493568,4.3524847,0.7262601852416992,866.3423504829407,1549.62,1110.8520594299998
495616,0.042919923,19.717037,559,0.0038785085,242,-0.0026918757,495616,4.3654475,0.8800379037857056,869.8016927242279,1560.83,1120.9520189599998
497664,0.051513672,10.676057,600,0.004149725,243,-0.003984246,497664,4.3652973,0.8399399518966675,873.464601278305,1560.83,1116.85173692
499712,0.082373045,9.183641,557,0.0066065527,244,-0.0044305655,499712,4.355979,0.9430408142507076,876.8742480278015,1546.27,1102.5991317199998
