serial_timesteps,clipfrac,value_loss,fps,approxkl,n_updates,policy_loss,total_timesteps,policy_entropy,explained_variance,time_elapsed,ep_len_mean,ep_reward_mean
331776,0.058447264,13.85939,544,0.0049586603,162,-0.0058849216,331776,4.06429,0.9048071801662445,585.167106628418,1654.32,1192.1317945399999
333824,0.022998046,12.227109,579,0.0023531746,163,-0.0015185844,333824,4.075483,0.9123315215110779,588.9260823726654,1633.23,1179.77289363
335872,0.03569336,11.396343,587,0.0033199165,164,-0.002454998,335872,4.080719,0.7263244986534119,592.4597556591034,1633.23,1179.63830351
337920,0.035839844,6.3697,558,0.0033793491,165,-0.0031521053,337920,4.08473,0.9617597833275795,595.9450306892395,1617.69,1167.42073655
339968,0.013769532,12.477365,562,0.00157508,166,-0.0019864428,339968,4.1002436,0.9283307045698166,599.6106986999512,1613.75,1166.47653068
342016,0.068359375,19.134644,544,0.0054008705,167,-0.0022618924,342016,4.098004,0.8621954619884491,603.252788066864,1617.09,1170.0341342899999
344064,0.03310547,20.164028,547,0.0033515214,168,-0.004837236,344064,4.0947733,0.9084021747112274,607.0151238441467,1604.26,1160.86591444
346112,0.03881836,10.035421,584,0.0034726155,169,-0.0035962607,346112,4.1001215,0.7877969741821289,610.7537302970886,1609.9,1162.8243676499999
348160,0.06669922,10.011512,572,0.0052299732,170,-0.0047145816,348160,4.1061287,0.7368603646755219,614.2575449943542,1609.9,1159.00524318
350208,0.06865235,12.792681,556,0.005623155,171,-0.005969876,350208,4.1354837,0.9004651755094528,617.8346898555756,1615.6,1163.85014217
352256,0.051367186,10.566298,581,0.003984094,172,-0.0016048427,352256,4.1585174,0.7820854336023331,621.5149109363556,1617.42,1162.73778539
354304,0.055517577,20.402859,548,0.0045667035,173,-0.0061775753,354304,4.159568,0.8673128634691238,625.0388286113739,1624.42,1170.3889503999999
356352,0.03720703,8.175076,566,0.0036113493,174,-0.0053178454,356352,4.1514616,0.9369053244590759,628.7764003276825,1616.28,1164.00661874
358400,0.04296875,17.831276,563,0.0035716307,175,-0.0030386515,358400,4.154383,0.8365894556045532,632.3924887180328,1618.38,1165.2180245
360448,0.035888672,17.249996,562,0.0032856215,176,-0.0036787787,360448,4.1716843,0.5563496649265289,636.0284585952759,1619.41,1165.96411045
362496,0.027246093,11.948723,556,0.002814171,177,-0.0030790984,362496,4.1929874,0.9201708659529686,639.6715979576111,1619.41,1163.79856686
364544,0.018115234,17.739262,580,0.0017097259,178,-0.00082577846,364544,4.1962867,0.5582660734653473,643.354593038559,1623.23,1167.60887002
366592,0.03959961,11.166016,581,0.003494447,179,-0.005037077,366592,4.2029595,0.8239973783493042,646.8808958530426,1623.23,1164.48710646
368640,0.011132812,24.384563,608,0.0013475851,180,-0.0020261072,368640,4.2069254,0.7565305233001709,650.4033579826355,1607.83,1148.8304806
370688,0.04423828,5.987119,581,0.004024242,181,-0.0022561504,370688,4.20419,0.9462441354990005,653.7705063819885,1598.47,1142.72671842
372736,0.04550781,5.8292756,566,0.0040434254,182,-0.0019867267,372736,4.1916513,0.9583792053163052,657.2915859222412,1600.85,1145.1588517
374784,0.046679687,19.502861,560,0.004194337,183,-0.0026718213,374784,4.187075,0.8231493085622787,660.9045262336731,1610.59,1153.48053583
376832,0.039013673,16.340036,570,0.0033830355,184,-0.0044731665,376832,4.181162,0.8576696813106537,664.5557363033295,1609.72,1152.67833971
378880,0.02890625,17.836779,593,0.0027016501,185,-0.001938421,378880,4.1805434,0.7450998723506927,668.1466014385223,1613.14,1153.53372179
380928,0.031396486,20.019703,603,0.0033241392,186,-0.0065072193,380928,4.1741886,0.7874816209077835,671.5948774814606,1589.32,1134.39326607
382976,0.042089842,17.317226,543,0.0037595578,187,-0.0018421352,382976,4.162137,0.8739204406738281,674.9891457557678,1589.32,1134.1882363700001
385024,0.046289064,5.994503,576,0.004153253,188,-0.0029574572,385024,4.150028,0.9625918194651604,678.7564921379089,1577.76,1125.6158607300001
387072,0.030664062,27.907398,567,0.0028839076,189,-0.0031521157,387072,4.1440897,0.8585434854030609,682.3121838569641,1553.88,1108.61550076
389120,0.027636718,9.217955,584,0.002930095,190,-0.0011783841,389120,4.156228,0.7733882665634155,685.9208428859711,1553.88,1107.8667839800003
391168,0.051708985,16.918396,587,0.004740608,191,-0.003974765,391168,4.161279,0.7462432086467743,689.4270026683807,1538.14,1089.86263118
