total_timesteps,clipfrac,policy_loss,fps,time_elapsed,serial_timesteps,value_loss,ep_reward_mean,ep_len_mean,approxkl,n_updates,policy_entropy,explained_variance
2048,0.0546875,-0.0059606815,524,2.1457672119140625e-06,2048,11.166705,621.256015,1115.0,0.0047134953,1,3.840833,0.8727374523878098
4096,0.08198242,-0.007941902,540,3.907496213912964,4096,27.703976,413.13544279999996,805.6,0.007316398,2,3.8264537,0.8155577331781387
6144,0.06020508,-0.007180619,560,7.694178819656372,6144,28.40263,292.8640339,613.8,0.0052710264,3,3.8288994,0.7110015749931335
8192,0.04873047,-0.0049255197,543,11.347668647766113,8192,19.867308,288.2118932857143,581.8571428571429,0.00455454,4,3.829968,0.9106441140174866
10240,0.040283203,-0.0039951457,527,15.114121675491333,10240,4.0619884,292.1591816666667,587.6,0.0037811797,5,3.8223102,0.9519290998578072
12288,0.060839843,-0.0027420497,552,18.99955654144287,12288,14.307391,377.5751724705883,712.1176470588235,0.0050949454,6,3.8160462,0.8840439394116402
14336,0.024169922,-0.003726599,562,22.708932876586914,14336,12.212908,344.4891987,662.65,0.0026413652,7,3.808551,0.9016084522008896
16384,0.027783204,-0.0040946896,537,26.351644039154053,16384,32.328384,376.86312830434775,702.1304347826087,0.0027328685,8,3.808988,0.8403353244066238
18432,0.033984374,-0.0030617497,544,30.16529369354248,18432,20.811419,349.06604092592596,660.7777777777778,0.0030947777,9,3.8033385,0.7869937568902969
20480,0.05415039,-0.0035915456,554,33.92381548881531,20480,12.591913,365.9277052666667,679.3,0.005488434,10,3.803009,0.9403694719076157
22528,0.033740234,-0.005057853,555,37.61497449874878,22528,7.7146187,386.05432643750004,702.5625,0.0036727216,11,3.7921696,0.9569199532270432
24576,0.033691406,-0.003675222,557,41.299317359924316,24576,14.873045,370.1735790833334,681.5277777777778,0.00304691,12,3.79408,0.887224979698658
26624,0.046533205,-0.0045834025,552,44.97009205818176,26624,14.246618,366.04635815384614,675.6666666666666,0.00406346,13,3.7929401,0.9076766073703766
28672,0.054248046,-0.0026591015,532,48.677273988723755,28672,8.961162,395.05380845,710.0,0.0046571307,14,3.7854779,0.9417559951543808
30720,0.042822264,-0.006031,536,52.52312421798706,30720,6.417777,398.42187675609756,715.3414634146342,0.0038877646,15,3.7801862,0.9414569698274136
32768,0.078027345,-0.002431534,497,56.337591886520386,32768,18.94719,426.1876169047619,747.0952380952381,0.006115423,16,3.759971,0.8734892159700394
34816,0.055615235,-0.0034783557,537,60.45175814628601,34816,18.1005,453.68951816279065,777.3720930232558,0.0046866233,17,3.7425117,0.8562193363904953
36864,0.017578125,-0.002106554,550,64.26247596740723,36864,21.44764,469.91536432608694,797.1304347826087,0.0018278414,18,3.741803,0.8711761683225632
38912,0.05517578,-0.0042071873,521,67.98437595367432,38912,12.637873,490.4172958723404,823.7659574468086,0.004785734,19,3.7410762,0.9155845791101456
