#{"t_start": 1747919232.2985759, "env_id": null}
r,l,t
320.5795,1878,3.755839
82.247872,427,5.024035
57.62592,313,5.53938
66.991614,377,6.249167
58.367569,291,6.834958
42.716,219,7.380758
47.14994,257,7.930372
35.669852,199,8.322315
43.698841,233,9.140201
44.832881,243,9.630316
157.517605,665,11.162832
51.663259,239,11.631027
70.370735,310,12.377416
31.491003,161,12.640319
37.13766,176,12.932005
30.343256,157,13.536568
547.447728,2049,17.866706
414.158233,1484,20.845086
550.845226,1847,25.498416
51.504856,248,26.056624
424.818643,1541,30.046418
204.541479,869,32.054015
275.511605,1068,34.495911
610.396676,2049,39.350597
26.097666,134,39.683202
44.364058,225,40.098235
597.954364,2049,44.872753
140.239896,560,46.037969
618.035869,2049,51.243695
256.040193,932,53.553139
645.672924,2049,58.206175
578.079541,2049,62.79096
34.599342,153,63.061602
338.819085,1123,65.399446
604.779242,2049,69.910444
69.970055,289,70.893808
58.778298,256,71.385206
34.968779,155,71.645424
20.581168,99,71.816013
122.770896,475,72.769223
112.632565,434,73.765052
32.196849,150,74.108428
640.769465,2049,79.806668
227.415866,806,82.617385
649.179645,2049,88.614831
677.883347,2049,94.480441
36.091858,166,94.896037
354.330111,1137,97.919836
317.949449,1039,100.971556
105.130057,364,101.924437
306.827348,1081,105.283556
697.035136,2049,111.07684
640.585152,2049,117.048234
696.459098,2049,122.983161
598.312392,2049,128.871875
678.575321,2049,134.958111
663.459269,2049,140.751693
656.278105,2049,146.638561
754.455829,2049,152.589813
609.974401,1919,157.812958
628.839819,2049,163.669323
524.077293,1569,167.877527
666.429468,2049,173.891402
648.163421,2049,179.935223
632.665945,2049,185.94368
618.211571,2049,191.967814
704.861886,2049,198.079703
741.173395,2049,204.199661
315.035093,919,207.004437
569.901712,1508,211.593452
146.027092,482,212.854667
142.61367,469,214.115103
174.448994,533,215.682423
34.447561,152,216.042721
17.433337,66,216.178192
148.116483,489,217.941967
36.1597,151,218.320422
85.904358,309,219.044662
164.507457,503,220.376336
53.925729,191,220.910885
43.778504,171,221.444507
697.795394,1799,226.625835
154.777504,496,228.114146
552.975716,1437,232.381698
139.760666,442,233.689229
729.116533,2049,240.044454
705.416822,2049,246.576041
722.103842,2049,252.668266
782.114003,2049,258.390104
759.382202,2049,263.995157
770.096915,2049,270.067395
805.17505,2049,275.974416
835.425265,2049,281.554719
827.853827,2049,287.389956
806.563667,2049,293.196325
847.855984,2049,298.63786
775.790355,2049,304.646265
671.370857,2049,310.604242
626.636189,2049,316.438307
23.107342,122,316.737875
20.531644,97,316.940581
640.889031,2049,322.754983
719.20084,2049,328.280313
707.950862,2049,333.733647
734.378892,2049,339.28416
709.475165,2049,344.625942
615.66979,2049,349.491776
670.52296,2049,354.371083
