ep_reward_mean,time_elapsed,fps,explained_variance,policy_entropy,n_updates,serial_timesteps,value_loss,clipfrac,ep_len_mean,policy_loss,approxkl,total_timesteps
320.5795,2.1457672119140625e-06,512,-0.27484750747680664,1.4155738,1,2048,3.9049041,0.03388672,1878.0,-0.0031347603,0.0031897228,2048
88.918533375,3.997091770172119,466,-0.23158693313598633,1.4122684,2,4096,4.051399,0.019335937,495.125,-0.0028341433,0.002171178,4096
76.53735006666669,8.3898606300354,446,-0.09257185459136963,1.4054409,3,6144,5.348678,0.024316406,399.2,-0.0025125218,0.0024643806,6144
73.6502191875,12.977027654647827,473,0.054200589656829834,1.40391,4,8192,8.92527,0.035058595,384.0625,-0.00393131,0.0033108252,8192
118.8894148888889,17.305790185928345,472,-0.06907594203948975,1.3894745,5,10240,8.954743,0.027832031,537.6666666666666,-0.0032189812,0.0030974206,10240
137.1179775,21.64003825187683,379,-0.1717069149017334,1.3847058,6,12288,9.351903,0.04472656,588.65,-0.004412672,0.0042689536,12288
153.2599850909091,27.034000158309937,399,-0.2085416316986084,1.3924922,7,14336,7.5204377,0.027636718,644.6818181818181,-0.002578698,0.003526327,14336
158.5752729130435,32.156038761138916,445,-0.00478363037109375,1.3958977,8,16384,7.510489,0.030566406,663.0869565217391,-0.001889085,0.0029452448,16384
166.46498757692308,36.753888845443726,425,0.04075157642364502,1.399947,9,18432,7.64034,0.042626955,679.1923076923077,-0.0034723622,0.0035873018,18432
180.9387120357143,41.564738750457764,438,-0.08296370506286621,1.394347,10,20480,7.7642717,0.03364258,723.8571428571429,-0.00479714,0.003583179,20480
196.01102779310347,46.23314571380615,389,-0.12975406646728516,1.4026676,11,22528,8.387449,0.051660158,769.551724137931,-0.0055996263,0.0042790817,22528
198.01199996666668,51.49835777282715,437,-0.059258103370666504,1.419667,12,24576,9.580749,0.024267578,774.9666666666667,-0.00065075967,0.0023451545,24576
212.45267493548388,56.17472457885742,446,-0.05904185771942139,1.4236734,13,26624,6.1781487,0.050048828,816.0645161290323,-0.0033641097,0.004312109,26624
221.69208502941177,60.76487636566162,452,0.16350990533828735,1.4319236,14,28672,6.564332,0.016308594,841.8529411764706,-0.001231564,0.0021963564,28672
232.63743237142856,65.29031991958618,455,0.18392807245254517,1.4466896,15,30720,6.7437415,0.045166016,876.3428571428572,-0.0027690665,0.0036241007,30720
204.62401769047617,69.78387331962585,430,0.3374789357185364,1.4570062,16,32768,3.3629956,0.07529297,774.5238095238095,-0.0060777892,0.0055051604,32768
214.7669350697674,74.54598665237427,360,0.21686065196990967,1.4562334,17,34816,6.8268356,0.039013673,804.1627906976744,-0.005108184,0.003546341,34816
215.05441077272724,80.22047734260559,318,0.37918972969055176,1.4582506,18,36864,5.893548,0.061669923,804.2045454545455,-0.0022109842,0.004984384,36864
224.70163819999996,86.65102458000183,352,0.2385883331298828,1.4732356,19,38912,6.0219398,0.027880859,831.8666666666667,-0.0021487374,0.0028647284,38912
232.9141465625,92.45747208595276,353,0.07906270027160645,1.4789476,20,40960,5.8725514,0.0076660155,849.7083333333334,-0.0012070059,0.0015086919,40960
232.05917082,98.24903726577759,351,0.4491915702819824,1.4869571,21,43008,4.4281473,0.028466797,843.78,-0.0032433525,0.002996585,43008
233.52521350980393,104.06851887702942,352,0.5749628841876984,1.5024899,22,45056,5.53863,0.02475586,848.4313725490196,-0.002609816,0.0025215647,45056
242.43886586538463,109.87186360359192,344,0.10963660478591919,1.5087712,23,47104,4.7306223,0.032128908,871.5192307692307,-0.0010524588,0.0032711301,47104
249.95105994339625,115.82228255271912,349,0.09223282337188721,1.5049433,24,49152,5.751819,0.044140626,893.7358490566038,-0.0029264917,0.004187463,49152
258.2197273148148,121.6786847114563,345,0.30699771642684937,1.4932361,25,51200,3.010139,0.03354492,915.1296296296297,-0.001332815,0.0032958507,51200
264.40323030909093,127.61550259590149,336,0.23653936386108398,1.4848773,26,53248,4.423121,0.019042969,935.7454545454545,-0.002104484,0.0023005437,53248
271.7991605,133.70000791549683,356,0.1359604001045227,1.4779007,27,55296,4.0594273,0.038085938,955.625,-0.0029449877,0.003628675,55296
278.6703904736842,139.45196175575256,348,0.0751839280128479,1.4737266,28,57344,3.6053615,0.059521485,974.8070175438596,-0.0030458027,0.004749677,57344
285.18086831034486,145.32628297805786,345,-0.06627810001373291,1.4635098,29,59392,5.9872737,0.039990235,993.3275862068965,-0.0035387143,0.0039301114,59392
293.1346812033898,151.25959658622742,365,0.14853531122207642,1.4501989,30,61440,4.3647776,0.057421874,1011.2203389830509,-0.0036280393,0.004726908,61440
298.4153432,156.85716438293457,351,0.36247795820236206,1.4473666,31,63488,3.0612485,0.02216797,1026.35,-0.0012294191,0.0022549874,63488
307.38447909677416,162.68154788017273,343,0.18102020025253296,1.4543847,32,65536,3.7829914,0.034863282,1051.5967741935483,-0.0031140253,0.0032208164,65536
313.08360590476184,168.6498420238495,347,0.13504254817962646,1.4552964,33,67584,3.2405057,0.025683593,1067.4285714285713,-0.0012743704,0.002711828,67584
318.319228015625,174.5400094985962,331,0.17677456140518188,1.4510846,34,69632,2.943587,0.045458984,1082.765625,-0.0015152104,0.003936781,69632
323.1553313538462,180.71581363677979,345,0.10962992906570435,1.4543648,35,71680,2.5391457,0.050878905,1097.6307692307691,-0.0017728092,0.0042847754,71680
327.62588043939394,186.6399405002594,330,0.1540643572807312,1.4590256,36,73728,2.3221154,0.028955078,1112.0454545454545,-0.0020901929,0.0030556975,73728
