n_updates,total_timesteps,policy_entropy,clipfrac,time_elapsed,approxkl,explained_variance,policy_loss,serial_timesteps,fps,value_loss,ep_len_mean,ep_reward_mean
24,49152,4.5859203,0.01977539,85.76669955253601,0.0019637565,0.9074649885296822,-0.0014890168,49152,525,8.022869,268.63,106.03067714000001
25,51200,4.577544,0.018847656,89.66315579414368,0.0021998363,0.8755538836121559,-0.0066972114,51200,486,9.301209,269.59,106.28922684999999
26,53248,4.571067,0.027001953,93.89562249183655,0.0023128553,0.8983628302812576,-0.0038158973,53248,464,8.165853,262.32,101.73337203999999
27,55296,4.5688305,0.009960937,98.30533385276794,0.0012601416,0.8575512021780014,-0.003438674,55296,556,9.06215,263.7,102.44559614000002
28,57344,4.561324,0.024853516,101.98495292663574,0.0022078764,0.6136491894721985,-0.003726466,57344,541,19.781118,267.79,104.79917280000001
29,59392,4.562234,0.023291016,105.76789784431458,0.0019508831,0.7202959656715393,-0.004114231,59392,561,14.131412,270.35,106.06896565000001
30,61440,4.5626097,0.0069335937,109.41406536102295,0.0008192528,0.7086570858955383,-0.0032014898,61440,586,18.814077,277.61,110.18013922
31,63488,4.5572844,0.016308594,112.90492081642151,0.0016069658,0.21582883596420288,-0.004724599,63488,571,26.100418,283.75,113.45312495
32,65536,4.549801,0.004345703,116.48879647254944,0.00076375285,0.5948607325553894,-0.0014451491,65536,552,13.981842,287.33,115.53215182
33,67584,4.5476675,0.011962891,120.20012092590332,0.0012338298,0.6849413812160492,-0.003411393,67584,531,16.619862,275.74,107.98286812999999
34,69632,4.5530496,0.018652344,124.0509033203125,0.0017972437,0.025270164012908936,-0.0035963927,69632,557,23.328487,268.51,102.95795791999998
35,71680,4.5518694,0.007958984,127.72442531585693,0.0009650521,0.7662485092878342,-0.0017607913,71680,579,8.431712,272.62,105.19177322
36,73728,4.5391407,0.025634766,131.26058316230774,0.0023107626,0.42950624227523804,-0.0040124836,73728,538,16.035349,280.68,109.66506465
37,75776,4.527343,0.02998047,135.0626084804535,0.0028414775,0.7657949328422546,-0.0025544236,75776,536,8.700908,286.34,112.62338179
38,77824,4.53805,0.05131836,138.87944316864014,0.004510914,0.7849605232477188,-0.0073604537,77824,543,14.006345,296.16,117.67208641999997
39,79872,4.547282,0.017480468,142.6476137638092,0.0017060157,0.8077871054410934,-0.0026239755,79872,547,18.91591,308.44,125.29320779999998
40,81920,4.540327,0.014208985,146.38680958747864,0.0014032553,0.4480888247489929,-0.0024012695,81920,577,13.477615,315.91,129.40799572
41,83968,4.5389986,0.027832031,149.9367597103119,0.0028942,0.7702882289886475,-0.0035735846,83968,592,13.818453,324.67,134.95093092
42,86016,4.544616,0.022265624,153.39409184455872,0.0020460158,0.6035768091678619,-0.0031045256,86016,585,14.987187,332.53,139.73290376
43,88064,4.5528107,0.030664062,156.89469051361084,0.002959847,0.6583943367004395,-0.0024767758,88064,550,14.479314,343.2,145.85074736
44,90112,4.555604,0.032910157,160.61750769615173,0.0032010272,0.7326707541942596,-0.0055559236,90112,586,13.77079,352.36,150.85263176
45,92160,4.5524793,0.025048828,164.1117820739746,0.0023306082,0.47297632694244385,-0.0029485316,92160,549,15.454401,361.02,155.93327293000002
46,94208,4.548933,0.012646484,167.84083795547485,0.0014369474,0.5580754578113556,-0.0025956114,94208,565,13.793524,363.36,157.01509962
47,96256,4.546546,0.033154298,171.4616503715515,0.0036029662,0.6703148186206818,-0.0057256245,96256,557,16.04459,371.46,161.50786243
48,98304,4.5402226,0.010546875,175.13352346420288,0.0011814843,0.748269110918045,-0.00021022404,98304,565,14.561786,381.25,166.92034993999997
49,100352,4.5353475,0.022216797,178.75408792495728,0.0022057367,0.7084840834140778,-0.00050057715,100352,557,13.081424,389.89,171.84759150000002
50,102400,4.5405726,0.018994141,182.42692041397095,0.0017612058,0.7148735821247101,-0.00259749,102400,583,13.434454,396.07,175.19989247000004
51,104448,4.5456657,0.026757812,185.9380705356598,0.002391604,0.725295901298523,-0.003706082,104448,588,9.052286,404.11,180.19515901000003
